,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.11,5.47,12.06,5.33
1,2012,1,1,0,30,11.07,4.41,12.27,4.28
2,2012,1,1,1,0,11.42,3.63,12.42,3.49
3,2012,1,1,1,30,12.03,2.94,12.82,2.78
4,2012,1,1,2,0,12.49,2.77,13.02,2.57
5,2012,1,1,2,30,12.16,2.12,12.94,1.95
6,2012,1,1,3,0,12.56,1.91,13.24,1.73
7,2012,1,1,3,30,13.75,2.07,14.35,1.88
8,2012,1,1,4,0,13.05,1.73,13.82,1.56
9,2012,1,1,4,30,13.68,1.58,14.45,1.4
10,2012,1,1,5,0,13.55,1.26,14.31,1.08
11,2012,1,1,5,30,14.08,0.97,14.89,0.79
12,2012,1,1,6,0,14.51,0.53,15.42,0.37
13,2012,1,1,6,30,13.69,0.03,14.58,-0.14
14,2012,1,1,7,0,13.79,-0.44,14.72,-0.6
15,2012,1,1,7,30,13.72,-0.86,14.67,-1.0
16,2012,1,1,8,0,13.63,-1.13,14.52,-1.28
17,2012,1,1,8,30,15.42,-0.93,16.12,-1.1
18,2012,1,1,9,0,13.13,-0.74,13.78,-0.94
19,2012,1,1,9,30,14.29,-0.39,14.75,-0.6
20,2012,1,1,10,0,14.0,-0.14,14.41,-0.36
21,2012,1,1,10,30,13.86,0.18,14.24,-0.05
22,2012,1,1,11,0,13.72,0.49,14.09,0.27
23,2012,1,1,11,30,13.5,0.85,13.87,0.63
24,2012,1,1,12,0,13.24,1.21,13.61,0.98
25,2012,1,1,12,30,13.16,1.47,13.53,1.24
26,2012,1,1,13,0,13.41,1.7,13.81,1.48
27,2012,1,1,13,30,13.57,1.88,13.98,1.65
28,2012,1,1,14,0,14.39,2.02,14.84,1.8
29,2012,1,1,14,30,14.4,2.08,14.86,1.86
30,2012,1,1,15,0,14.81,2.11,15.33,1.9
31,2012,1,1,15,30,14.37,2.07,14.92,1.87
32,2012,1,1,16,0,13.1,1.88,13.78,1.7
33,2012,1,1,16,30,11.87,1.57,12.77,1.44
34,2012,1,1,17,0,11.52,1.22,12.49,1.13
35,2012,1,1,17,30,11.47,0.87,12.5,0.79
36,2012,1,1,18,0,11.56,0.54,12.62,0.45
37,2012,1,1,18,30,11.38,0.23,12.51,0.16
38,2012,1,1,19,0,11.87,0.01,12.81,-0.07
39,2012,1,1,19,30,15.78,-0.51,17.13,-0.6
40,2012,1,1,20,0,13.84,-0.76,14.89,-0.89
41,2012,1,1,20,30,15.98,-0.86,16.93,-1.01
42,2012,1,1,21,0,11.98,-1.3,12.81,-1.44
43,2012,1,1,21,30,11.61,-1.66,12.49,-1.79
44,2012,1,1,22,0,15.47,-1.81,16.34,-1.97
45,2012,1,1,22,30,10.27,-2.18,11.08,-2.33
46,2012,1,1,23,0,14.93,-2.54,15.83,-2.72
47,2012,1,1,23,30,11.25,-2.68,11.84,-2.85
48,2012,1,2,0,0,15.27,-3.14,16.06,-3.33
49,2012,1,2,0,30,13.78,-3.43,14.46,-3.61
50,2012,1,2,1,0,8.83,-3.54,9.4,-3.73
51,2012,1,2,1,30,13.47,-3.76,14.13,-3.95
52,2012,1,2,2,0,9.47,-3.94,10.08,-4.13
53,2012,1,2,2,30,11.06,-4.0200000000000005,11.59,-4.21
54,2012,1,2,3,0,14.47,-4.32,15.18,-4.5200000000000005
55,2012,1,2,3,30,13.58,-4.5,14.27,-4.69
56,2012,1,2,4,0,13.43,-4.64,14.1,-4.82
57,2012,1,2,4,30,13.25,-4.78,13.92,-4.96
58,2012,1,2,5,0,12.68,-4.92,13.34,-5.11
59,2012,1,2,5,30,12.27,-5.07,12.94,-5.25
60,2012,1,2,6,0,12.28,-5.19,12.93,-5.38
61,2012,1,2,6,30,12.54,-5.32,13.2,-5.51
62,2012,1,2,7,0,12.57,-5.49,13.24,-5.68
63,2012,1,2,7,30,12.68,-5.68,13.33,-5.87
64,2012,1,2,8,0,12.37,-5.84,12.97,-6.04
65,2012,1,2,8,30,14.29,-5.92,14.76,-6.13
66,2012,1,2,9,0,14.91,-6.0,15.37,-6.22
67,2012,1,2,9,30,14.67,-6.01,15.12,-6.24
68,2012,1,2,10,0,14.79,-6.0,15.2,-6.22
69,2012,1,2,10,30,13.9,-5.89,14.3,-6.12
70,2012,1,2,11,0,14.16,-5.82,14.54,-6.05
71,2012,1,2,11,30,13.86,-5.74,14.22,-5.97
72,2012,1,2,12,0,13.96,-5.67,14.32,-5.9
73,2012,1,2,12,30,13.68,-5.6000000000000005,14.03,-5.83
