,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.71,8.31,14.24,8.44
1,2012,1,1,0,30,12.93,8.35,14.37,8.46
2,2012,1,1,1,0,13.38,8.22,14.7,8.31
3,2012,1,1,1,30,11.61,8.040000000000001,12.92,8.1
4,2012,1,1,2,0,11.22,7.73,12.45,7.75
5,2012,1,1,2,30,11.14,7.16,12.34,7.140000000000001
6,2012,1,1,3,0,11.48,6.2,12.69,6.12
7,2012,1,1,3,30,11.46,4.95,12.64,4.83
8,2012,1,1,4,0,10.9,4.22,11.94,4.11
9,2012,1,1,4,30,13.85,3.62,14.58,3.44
10,2012,1,1,5,0,13.08,3.03,13.92,2.87
11,2012,1,1,5,30,13.43,2.63,14.28,2.47
12,2012,1,1,6,0,11.62,2.24,12.53,2.09
13,2012,1,1,6,30,12.0,1.94,12.93,1.78
14,2012,1,1,7,0,12.65,1.81,13.63,1.66
15,2012,1,1,7,30,13.21,1.55,14.15,1.4
16,2012,1,1,8,0,13.74,1.39,14.53,1.21
17,2012,1,1,8,30,13.08,1.55,13.53,1.36
18,2012,1,1,9,0,11.83,1.57,12.35,1.36
19,2012,1,1,9,30,12.2,1.62,12.69,1.41
20,2012,1,1,10,0,12.96,1.83,13.45,1.61
21,2012,1,1,10,30,13.46,2.02,13.91,1.8
22,2012,1,1,11,0,13.24,2.3000000000000003,13.66,2.08
23,2012,1,1,11,30,13.31,2.58,13.72,2.35
24,2012,1,1,12,0,13.33,2.9,13.73,2.67
25,2012,1,1,12,30,13.14,3.22,13.54,2.99
26,2012,1,1,13,0,12.87,3.4,13.28,3.17
27,2012,1,1,13,30,12.74,3.47,13.13,3.24
28,2012,1,1,14,0,12.4,3.58,12.79,3.35
29,2012,1,1,14,30,12.15,3.71,12.59,3.5
30,2012,1,1,15,0,12.29,3.81,12.76,3.6
31,2012,1,1,15,30,12.06,3.76,12.62,3.56
32,2012,1,1,16,0,11.51,3.49,12.29,3.3200000000000003
33,2012,1,1,16,30,11.28,3.14,12.2,3.03
