,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,9.16,2.48,10.73,2.62
1,2012,1,1,0,30,8.93,2.52,10.53,2.66
2,2012,1,1,1,0,8.290000000000001,2.46,9.86,2.6
3,2012,1,1,1,30,9.17,2.56,10.75,2.7
4,2012,1,1,2,0,7.44,2.36,9.1,2.52
5,2012,1,1,2,30,7.75,2.51,9.19,2.67
6,2012,1,1,3,0,7.16,2.34,8.39,2.47
7,2012,1,1,3,30,7.36,2.26,8.620000000000001,2.37
8,2012,1,1,4,0,6.88,1.84,8.17,1.91
9,2012,1,1,4,30,8.84,1.18,10.0,1.21
10,2012,1,1,5,0,11.57,1.23,12.31,1.11
11,2012,1,1,5,30,12.14,0.8300000000000001,12.83,0.7000000000000001
12,2012,1,1,6,0,13.06,0.79,13.72,0.64
13,2012,1,1,6,30,13.87,0.5,14.53,0.36
14,2012,1,1,7,0,14.13,0.75,14.84,0.58
15,2012,1,1,7,30,13.76,0.65,14.5,0.47
16,2012,1,1,8,0,14.78,0.29,15.52,0.11
17,2012,1,1,8,30,15.06,-0.2,15.77,-0.39
18,2012,1,1,9,0,14.97,-0.68,15.59,-0.89
19,2012,1,1,9,30,15.36,-1.15,15.88,-1.36
20,2012,1,1,10,0,15.49,-1.53,15.99,-1.75
21,2012,1,1,10,30,15.51,-1.67,15.99,-1.9
22,2012,1,1,11,0,14.82,-1.56,15.28,-1.79
23,2012,1,1,11,30,14.94,-1.41,15.42,-1.63
24,2012,1,1,12,0,14.96,-1.43,15.41,-1.66
25,2012,1,1,12,30,14.84,-1.41,15.29,-1.64
26,2012,1,1,13,0,14.78,-1.48,15.23,-1.71
27,2012,1,1,13,30,15.23,-1.47,15.7,-1.69
28,2012,1,1,14,0,14.97,-1.55,15.43,-1.77
29,2012,1,1,14,30,14.97,-1.7,15.45,-1.91
30,2012,1,1,15,0,14.61,-1.92,15.09,-2.13
31,2012,1,1,15,30,14.93,-2.15,15.47,-2.36
32,2012,1,1,16,0,13.91,-2.47,14.49,-2.68
33,2012,1,1,16,30,13.7,-2.68,14.3,-2.87
34,2012,1,1,17,0,15.02,-2.91,15.65,-3.11
35,2012,1,1,17,30,14.68,-3.13,15.32,-3.33
36,2012,1,1,18,0,14.53,-3.37,15.13,-3.5700000000000003
37,2012,1,1,18,30,14.07,-3.5500000000000003,14.65,-3.76
38,2012,1,1,19,0,13.31,-3.73,13.96,-3.94
39,2012,1,1,19,30,13.11,-3.93,13.75,-4.14
40,2012,1,1,20,0,13.67,-4.12,14.26,-4.33
41,2012,1,1,20,30,13.56,-4.38,14.14,-4.59
42,2012,1,1,21,0,13.19,-4.55,13.78,-4.75
43,2012,1,1,21,30,13.12,-4.83,13.65,-5.04
44,2012,1,1,22,0,13.24,-4.94,13.76,-5.15
45,2012,1,1,22,30,12.74,-5.16,13.28,-5.37
46,2012,1,1,23,0,12.84,-5.4,13.34,-5.61
47,2012,1,1,23,30,12.99,-5.62,13.46,-5.83
48,2012,1,2,0,0,13.49,-5.8,13.98,-6.0200000000000005
49,2012,1,2,0,30,12.99,-6.0,13.43,-6.21
50,2012,1,2,1,0,13.05,-6.23,13.5,-6.45
51,2012,1,2,1,30,12.19,-6.36,12.59,-6.58
52,2012,1,2,2,0,13.72,-6.54,14.18,-6.76
53,2012,1,2,2,30,13.69,-6.76,14.13,-6.98
54,2012,1,2,3,0,13.72,-7.04,14.14,-7.26
55,2012,1,2,3,30,13.17,-7.27,13.56,-7.48
56,2012,1,2,4,0,13.53,-7.48,13.93,-7.7
57,2012,1,2,4,30,13.6,-7.73,13.99,-7.95
58,2012,1,2,5,0,13.21,-7.94,13.61,-8.15
59,2012,1,2,5,30,12.91,-8.13,13.29,-8.35
60,2012,1,2,6,0,12.58,-8.33,12.96,-8.55
61,2012,1,2,6,30,12.82,-8.55,13.21,-8.77
62,2012,1,2,7,0,13.07,-8.76,13.47,-8.97
63,2012,1,2,7,30,12.96,-8.94,13.36,-9.16
64,2012,1,2,8,0,13.14,-9.22,13.54,-9.43
65,2012,1,2,8,30,12.53,-9.35,12.91,-9.56
66,2012,1,2,9,0,12.2,-9.38,12.56,-9.59
67,2012,1,2,9,30,12.56,-9.41,12.91,-9.64
68,2012,1,2,10,0,12.2,-9.36,12.53,-9.59
69,2012,1,2,10,30,12.19,-9.27,12.52,-9.5
70,2012,1,2,11,0,12.24,-9.18,12.56,-9.4
71,2012,1,2,11,30,11.99,-9.03,12.3,-9.26
72,2012,1,2,12,0,11.74,-8.89,12.05,-9.12
73,2012,1,2,12,30,11.75,-8.75,12.06,-8.98
74,2012,1,2,13,0,11.85,-8.66,12.16,-8.89
75,2012,1,2,13,30,11.69,-8.57,11.99,-8.81
76,2012,1,2,14,0,11.51,-8.53,11.82,-8.76
77,2012,1,2,14,30,11.88,-8.540000000000001,12.21,-8.76
78,2012,1,2,15,0,11.98,-8.58,12.3,-8.8
79,2012,1,2,15,30,12.13,-8.69,12.47,-8.91
80,2012,1,2,16,0,12.08,-8.86,12.44,-9.07
81,2012,1,2,16,30,11.4,-9.02,11.77,-9.22
82,2012,1,2,17,0,10.61,-9.18,10.98,-9.39
83,2012,1,2,17,30,9.94,-9.37,10.33,-9.57
84,2012,1,2,18,0,10.28,-9.56,10.72,-9.76
85,2012,1,2,18,30,9.87,-9.74,10.31,-9.94
86,2012,1,2,19,0,9.52,-9.9,9.98,-10.1
87,2012,1,2,19,30,9.9,-10.06,10.37,-10.26
88,2012,1,2,20,0,9.12,-10.23,9.57,-10.42
89,2012,1,2,20,30,8.08,-10.44,8.58,-10.64
90,2012,1,2,21,0,8.8,-10.67,9.35,-10.87
91,2012,1,2,21,30,9.33,-10.89,9.87,-11.09
92,2012,1,2,22,0,9.0,-11.14,9.54,-11.34
93,2012,1,2,22,30,8.63,-11.37,9.16,-11.56
94,2012,1,2,23,0,8.21,-11.52,8.76,-11.71
95,2012,1,2,23,30,8.15,-11.64,8.73,-11.82
96,2012,1,3,0,0,7.72,-11.81,8.3,-11.99
97,2012,1,3,0,30,7.79,-11.93,8.35,-12.11
98,2012,1,3,1,0,7.26,-12.05,7.85,-12.23
99,2012,1,3,1,30,7.54,-12.19,8.11,-12.37
100,2012,1,3,2,0,7.16,-12.34,7.7,-12.51
101,2012,1,3,2,30,6.91,-12.47,7.46,-12.65
102,2012,1,3,3,0,6.46,-12.61,7.0600000000000005,-12.78
103,2012,1,3,3,30,6.34,-12.69,6.93,-12.85
104,2012,1,3,4,0,6.05,-12.71,6.5600000000000005,-12.87
105,2012,1,3,4,30,5.17,-12.77,5.71,-12.94
106,2012,1,3,5,0,4.74,-12.79,5.29,-12.95
107,2012,1,3,5,30,3.96,-12.8,4.44,-12.97
108,2012,1,3,6,0,3.21,-12.82,3.54,-12.99
109,2012,1,3,6,30,3.58,-12.83,3.92,-12.98
110,2012,1,3,7,0,4.16,-12.79,4.49,-12.91
111,2012,1,3,7,30,4.45,-12.75,4.62,-12.86
112,2012,1,3,8,0,4.28,-12.76,4.55,-12.89
113,2012,1,3,8,30,3.0500000000000003,-12.61,3.14,-12.78
114,2012,1,3,9,0,2.84,-12.15,2.88,-12.33
115,2012,1,3,9,30,2.53,-11.58,2.5500000000000003,-11.76
116,2012,1,3,10,0,2.6,-10.98,2.62,-11.17
117,2012,1,3,10,30,2.83,-10.41,2.85,-10.61
118,2012,1,3,11,0,3.0700000000000003,-9.86,3.11,-10.06
119,2012,1,3,11,30,3.61,-9.37,3.64,-9.58
120,2012,1,3,12,0,4.5,-8.85,4.55,-9.06
121,2012,1,3,12,30,4.79,-8.31,4.8500000000000005,-8.53
122,2012,1,3,13,0,4.92,-7.77,4.98,-7.98
123,2012,1,3,13,30,5.16,-7.31,5.24,-7.52
124,2012,1,3,14,0,5.73,-6.87,5.82,-7.09
125,2012,1,3,14,30,6.38,-6.51,6.48,-6.72
126,2012,1,3,15,0,6.62,-6.22,6.73,-6.43
127,2012,1,3,15,30,6.96,-6.0,7.12,-6.21
128,2012,1,3,16,0,7.17,-5.8100000000000005,7.47,-6.01
