,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.37,5.76,14.64,5.8100000000000005
1,2012,1,1,0,30,13.4,5.64,14.65,5.71
2,2012,1,1,1,0,13.6,5.65,14.86,5.74
3,2012,1,1,1,30,13.21,5.6000000000000005,14.45,5.7
4,2012,1,1,2,0,13.0,5.51,14.29,5.63
5,2012,1,1,2,30,12.57,5.37,13.9,5.47
6,2012,1,1,3,0,12.13,5.36,13.47,5.42
7,2012,1,1,3,30,12.4,5.4,13.68,5.44
8,2012,1,1,4,0,12.82,5.17,13.99,5.14
9,2012,1,1,4,30,12.78,4.57,13.86,4.45
10,2012,1,1,5,0,12.23,3.5,13.13,3.33
11,2012,1,1,5,30,11.91,2.62,12.67,2.43
12,2012,1,1,6,0,12.24,2.56,12.88,2.36
13,2012,1,1,6,30,12.65,2.27,13.32,2.07
14,2012,1,1,7,0,13.91,1.91,14.98,1.73
15,2012,1,1,7,30,13.54,2.02,14.29,1.84
16,2012,1,1,8,0,13.35,1.92,14.11,1.73
17,2012,1,1,8,30,13.55,1.93,14.28,1.73
18,2012,1,1,9,0,13.78,1.69,14.34,1.48
19,2012,1,1,9,30,14.57,1.49,15.05,1.28
20,2012,1,1,10,0,14.57,1.49,15.03,1.27
21,2012,1,1,10,30,14.45,1.33,14.88,1.11
22,2012,1,1,11,0,14.26,1.42,14.71,1.19
23,2012,1,1,11,30,14.58,1.47,15.01,1.24
24,2012,1,1,12,0,14.05,1.56,14.48,1.33
25,2012,1,1,12,30,14.21,1.58,14.65,1.35
26,2012,1,1,13,0,14.43,1.62,14.87,1.39
27,2012,1,1,13,30,14.69,1.67,15.14,1.44
28,2012,1,1,14,0,14.75,1.66,15.22,1.44
29,2012,1,1,14,30,15.11,1.52,15.6,1.29
30,2012,1,1,15,0,15.29,1.31,15.81,1.09
31,2012,1,1,15,30,15.01,1.13,15.56,0.92
32,2012,1,1,16,0,14.18,0.93,14.81,0.73
33,2012,1,1,16,30,12.98,0.6900000000000001,13.85,0.51
34,2012,1,1,17,0,12.8,0.47,13.72,0.3
35,2012,1,1,17,30,12.72,0.3,13.68,0.12
36,2012,1,1,18,0,12.31,0.07,13.32,-0.1
37,2012,1,1,18,30,12.98,-0.18,13.85,-0.35
38,2012,1,1,19,0,12.01,-0.45,13.0,-0.62
39,2012,1,1,19,30,15.57,-0.63,16.41,-0.8300000000000001
40,2012,1,1,20,0,13.92,-1.24,14.68,-1.42
41,2012,1,1,20,30,10.91,-1.53,11.48,-1.73
42,2012,1,1,21,0,11.94,-1.95,12.66,-2.14
43,2012,1,1,21,30,14.87,-2.59,15.64,-2.78
44,2012,1,1,22,0,14.31,-2.88,15.06,-3.0700000000000003
45,2012,1,1,22,30,12.94,-3.0500000000000003,13.59,-3.23
46,2012,1,1,23,0,9.86,-3.2,10.48,-3.4
47,2012,1,1,23,30,12.82,-3.62,13.41,-3.81
48,2012,1,2,0,0,12.47,-3.79,13.06,-3.99
49,2012,1,2,0,30,11.79,-3.89,12.32,-4.09
50,2012,1,2,1,0,11.52,-4.01,12.04,-4.21
51,2012,1,2,1,30,11.38,-4.09,11.88,-4.3
52,2012,1,2,2,0,11.0,-4.21,11.46,-4.41
53,2012,1,2,2,30,11.5,-4.42,12.0,-4.63
54,2012,1,2,3,0,11.29,-4.54,11.73,-4.75
55,2012,1,2,3,30,12.0,-4.7700000000000005,12.48,-4.98
56,2012,1,2,4,0,11.52,-4.95,11.94,-5.16
57,2012,1,2,4,30,12.03,-5.17,12.49,-5.38
58,2012,1,2,5,0,12.29,-5.41,12.74,-5.62
59,2012,1,2,5,30,12.7,-5.67,13.16,-5.88
60,2012,1,2,6,0,12.19,-5.98,12.6,-6.19
61,2012,1,2,6,30,12.64,-6.13,13.08,-6.34
62,2012,1,2,7,0,12.05,-6.390000000000001,12.42,-6.6000000000000005
63,2012,1,2,7,30,13.03,-6.57,13.44,-6.79
64,2012,1,2,8,0,13.52,-6.9,13.92,-7.12
65,2012,1,2,8,30,14.02,-7.04,14.41,-7.26
66,2012,1,2,9,0,13.27,-7.09,13.62,-7.32
67,2012,1,2,9,30,13.5,-7.15,13.86,-7.38
68,2012,1,2,10,0,13.12,-7.11,13.47,-7.35
69,2012,1,2,10,30,13.08,-7.11,13.42,-7.35
70,2012,1,2,11,0,12.83,-7.09,13.15,-7.32
71,2012,1,2,11,30,12.85,-6.96,13.17,-7.19
72,2012,1,2,12,0,12.72,-6.82,13.05,-7.0600000000000005
73,2012,1,2,12,30,12.57,-6.71,12.91,-6.94
74,2012,1,2,13,0,12.45,-6.65,12.78,-6.890000000000001
75,2012,1,2,13,30,12.27,-6.67,12.61,-6.9
76,2012,1,2,14,0,12.43,-6.68,12.77,-6.91
77,2012,1,2,14,30,12.38,-6.79,12.7,-7.0200000000000005
78,2012,1,2,15,0,12.11,-6.84,12.44,-7.0600000000000005
79,2012,1,2,15,30,12.04,-6.93,12.37,-7.15
80,2012,1,2,16,0,11.68,-7.05,12.04,-7.27
81,2012,1,2,16,30,11.2,-7.26,11.57,-7.47
82,2012,1,2,17,0,11.06,-7.43,11.44,-7.63
