,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.89,7.84,14.21,7.92
1,2012,1,1,0,30,13.6,8.14,14.95,8.27
2,2012,1,1,1,0,13.53,8.19,14.88,8.3
3,2012,1,1,1,30,14.22,8.27,15.56,8.370000000000001
4,2012,1,1,2,0,14.32,8.09,15.61,8.14
5,2012,1,1,2,30,14.19,7.61,15.46,7.640000000000001
6,2012,1,1,3,0,14.15,7.08,15.36,7.12
7,2012,1,1,3,30,13.82,6.75,15.05,6.82
8,2012,1,1,4,0,13.99,6.63,15.16,6.68
9,2012,1,1,4,30,13.97,6.36,15.05,6.34
10,2012,1,1,5,0,13.98,5.64,15.02,5.54
11,2012,1,1,5,30,13.5,4.54,14.38,4.38
12,2012,1,1,6,0,12.99,3.38,13.83,3.22
13,2012,1,1,6,30,14.02,3.06,14.54,2.86
14,2012,1,1,7,0,15.67,2.81,16.25,2.6
15,2012,1,1,7,30,12.72,2.26,13.31,2.05
16,2012,1,1,8,0,13.63,2.3000000000000003,14.16,2.11
17,2012,1,1,8,30,12.9,1.92,13.53,1.74
18,2012,1,1,9,0,13.51,2.25,14.01,2.06
19,2012,1,1,9,30,14.82,2.25,15.23,2.04
20,2012,1,1,10,0,15.16,2.33,15.53,2.11
21,2012,1,1,10,30,15.23,2.49,15.59,2.27
22,2012,1,1,11,0,14.84,2.57,15.2,2.34
23,2012,1,1,11,30,14.5,2.66,14.84,2.43
24,2012,1,1,12,0,14.66,2.76,15.01,2.53
25,2012,1,1,12,30,14.44,2.87,14.78,2.64
26,2012,1,1,13,0,14.78,2.94,15.12,2.71
27,2012,1,1,13,30,14.65,2.96,15.01,2.74
28,2012,1,1,14,0,14.69,2.99,15.06,2.77
29,2012,1,1,14,30,14.58,2.97,14.98,2.75
30,2012,1,1,15,0,14.81,2.76,15.23,2.5500000000000003
31,2012,1,1,15,30,14.1,2.44,14.6,2.24
32,2012,1,1,16,0,13.06,2.11,13.73,1.94
33,2012,1,1,16,30,11.85,1.81,12.67,1.68
34,2012,1,1,17,0,10.79,1.48,11.6,1.37
35,2012,1,1,17,30,12.33,1.3,13.17,1.19
36,2012,1,1,18,0,11.04,0.9,12.09,0.8200000000000001
37,2012,1,1,18,30,11.04,0.65,11.96,0.56
38,2012,1,1,19,0,11.72,0.29,12.72,0.19
39,2012,1,1,19,30,12.08,0.08,12.88,-0.03
40,2012,1,1,20,0,12.67,-0.16,13.55,-0.28
41,2012,1,1,20,30,8.61,-0.6,9.26,-0.72
42,2012,1,1,21,0,14.98,-0.58,15.93,-0.73
43,2012,1,1,21,30,11.44,-0.93,12.27,-1.08
44,2012,1,1,22,0,10.95,-1.22,11.67,-1.37
45,2012,1,1,22,30,8.32,-1.58,9.15,-1.72
46,2012,1,1,23,0,10.66,-1.84,11.42,-2.0
47,2012,1,1,23,30,13.08,-2.32,13.77,-2.5
48,2012,1,2,0,0,12.08,-2.64,12.68,-2.82
49,2012,1,2,0,30,12.86,-2.89,13.55,-3.0700000000000003
50,2012,1,2,1,0,12.66,-3.02,13.29,-3.2
51,2012,1,2,1,30,8.46,-3.04,8.82,-3.22
52,2012,1,2,2,0,11.43,-3.28,11.92,-3.48
53,2012,1,2,2,30,10.67,-3.48,11.14,-3.68
54,2012,1,2,3,0,11.24,-3.65,11.72,-3.85
55,2012,1,2,3,30,11.36,-3.8,11.88,-3.99
56,2012,1,2,4,0,9.86,-3.96,10.27,-4.16
57,2012,1,2,4,30,12.05,-4.2,12.56,-4.4
58,2012,1,2,5,0,11.49,-4.36,11.98,-4.5600000000000005
59,2012,1,2,5,30,11.23,-4.5600000000000005,11.68,-4.76
60,2012,1,2,6,0,11.89,-4.79,12.38,-4.99
61,2012,1,2,6,30,10.78,-4.97,11.24,-5.17
62,2012,1,2,7,0,11.23,-5.21,11.69,-5.41
63,2012,1,2,7,30,11.94,-5.44,12.42,-5.65
64,2012,1,2,8,0,12.82,-5.63,13.23,-5.84
65,2012,1,2,8,30,12.9,-5.8500000000000005,13.26,-6.07
66,2012,1,2,9,0,13.68,-5.95,14.03,-6.18
67,2012,1,2,9,30,13.88,-5.94,14.24,-6.17
68,2012,1,2,10,0,14.08,-5.95,14.41,-6.19
69,2012,1,2,10,30,13.43,-5.92,13.76,-6.15
70,2012,1,2,11,0,13.03,-5.96,13.35,-6.2
71,2012,1,2,11,30,13.09,-5.94,13.41,-6.18
72,2012,1,2,12,0,12.96,-5.86,13.26,-6.1000000000000005
73,2012,1,2,12,30,12.87,-5.79,13.17,-6.03
74,2012,1,2,13,0,12.96,-5.72,13.25,-5.96
75,2012,1,2,13,30,12.95,-5.76,13.25,-5.99
76,2012,1,2,14,0,13.23,-5.68,13.54,-5.92
77,2012,1,2,14,30,12.93,-5.73,13.24,-5.97
78,2012,1,2,15,0,13.19,-6.0,13.49,-6.23
79,2012,1,2,15,30,13.06,-5.98,13.39,-6.2
80,2012,1,2,16,0,12.43,-6.3100000000000005,12.72,-6.53
81,2012,1,2,16,30,10.53,-6.26,10.99,-6.46
82,2012,1,2,17,0,10.58,-6.48,11.02,-6.69
83,2012,1,2,17,30,11.12,-6.68,11.57,-6.88
84,2012,1,2,18,0,10.93,-6.73,11.33,-6.93
85,2012,1,2,18,30,10.27,-6.76,10.68,-6.97
86,2012,1,2,19,0,10.95,-6.94,11.41,-7.140000000000001
87,2012,1,2,19,30,10.88,-7.09,11.3,-7.3
88,2012,1,2,20,0,8.950000000000001,-7.15,9.33,-7.35
89,2012,1,2,20,30,8.65,-7.3,9.09,-7.49
90,2012,1,2,21,0,8.91,-7.52,9.34,-7.71
91,2012,1,2,21,30,8.65,-7.7,9.09,-7.890000000000001
92,2012,1,2,22,0,9.04,-7.84,9.49,-8.03
93,2012,1,2,22,30,7.88,-7.99,8.31,-8.19
94,2012,1,2,23,0,7.47,-8.16,7.930000000000001,-8.35
95,2012,1,2,23,30,7.99,-8.35,8.47,-8.540000000000001
96,2012,1,3,0,0,8.4,-8.52,8.89,-8.71
97,2012,1,3,0,30,7.63,-8.65,8.11,-8.84
98,2012,1,3,1,0,7.52,-8.86,7.99,-9.04
99,2012,1,3,1,30,7.8,-9.07,8.27,-9.25
100,2012,1,3,2,0,7.57,-9.26,8.08,-9.44
101,2012,1,3,2,30,6.7,-9.41,7.2,-9.59
102,2012,1,3,3,0,5.69,-9.6,6.15,-9.78
103,2012,1,3,3,30,7.21,-9.87,7.72,-10.05
104,2012,1,3,4,0,6.0200000000000005,-10.0,6.53,-10.18
105,2012,1,3,4,30,5.91,-10.15,6.47,-10.32
106,2012,1,3,5,0,5.92,-10.33,6.48,-10.49
107,2012,1,3,5,30,5.46,-10.44,5.98,-10.61
108,2012,1,3,6,0,5.36,-10.6,5.93,-10.77
109,2012,1,3,6,30,5.58,-10.74,6.15,-10.88
110,2012,1,3,7,0,5.41,-10.81,5.88,-10.96
111,2012,1,3,7,30,5.66,-10.91,6.15,-11.05
112,2012,1,3,8,0,5.32,-10.81,5.62,-10.96
113,2012,1,3,8,30,5.11,-10.53,5.18,-10.72
114,2012,1,3,9,0,4.43,-10.15,4.45,-10.34
115,2012,1,3,9,30,4.13,-9.63,4.15,-9.83
116,2012,1,3,10,0,3.65,-9.06,3.68,-9.26
117,2012,1,3,10,30,3.78,-8.46,3.82,-8.66
118,2012,1,3,11,0,3.83,-7.86,3.87,-8.07
119,2012,1,3,11,30,3.89,-7.33,3.94,-7.54
120,2012,1,3,12,0,4.19,-6.7700000000000005,4.25,-6.98
121,2012,1,3,12,30,3.63,-6.2,3.68,-6.41
122,2012,1,3,13,0,3.43,-5.71,3.48,-5.93
123,2012,1,3,13,30,3.85,-5.2700000000000005,3.9,-5.48
124,2012,1,3,14,0,3.7,-4.96,3.75,-5.18
125,2012,1,3,14,30,4.01,-4.71,4.0600000000000005,-4.92
126,2012,1,3,15,0,4.82,-4.51,4.89,-4.72
127,2012,1,3,15,30,4.84,-4.42,4.92,-4.63
128,2012,1,3,16,0,5.2,-4.46,5.36,-4.66
129,2012,1,3,16,30,6.13,-4.47,6.38,-4.65
130,2012,1,3,17,0,6.92,-4.5600000000000005,7.29,-4.69
131,2012,1,3,17,30,7.48,-4.68,8.03,-4.75
132,2012,1,3,18,0,7.97,-4.78,8.68,-4.84
133,2012,1,3,18,30,8.18,-4.88,8.92,-4.94
134,2012,1,3,19,0,8.15,-4.92,8.92,-4.98
135,2012,1,3,19,30,8.3,-4.94,9.06,-5.01
136,2012,1,3,20,0,8.43,-4.99,9.24,-5.05
137,2012,1,3,20,30,8.94,-4.89,9.81,-4.93
138,2012,1,3,21,0,9.25,-4.8100000000000005,10.07,-4.88
