,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.49,8.96,14.05,9.25
1,2012,1,1,0,30,12.34,9.0,13.97,9.25
2,2012,1,1,1,0,12.24,8.74,13.82,8.92
3,2012,1,1,1,30,12.18,8.27,13.74,8.45
4,2012,1,1,2,0,13.0,8.35,14.47,8.51
5,2012,1,1,2,30,13.63,8.4,15.0,8.5
6,2012,1,1,3,0,13.12,8.14,14.42,8.18
7,2012,1,1,3,30,12.77,7.73,13.98,7.72
8,2012,1,1,4,0,12.28,7.17,13.49,7.12
9,2012,1,1,4,30,11.66,6.13,12.82,6.0
10,2012,1,1,5,0,9.77,5.04,10.61,4.94
11,2012,1,1,5,30,12.14,4.12,12.83,3.94
12,2012,1,1,6,0,13.01,3.58,13.61,3.37
13,2012,1,1,6,30,11.15,3.14,11.84,2.97
14,2012,1,1,7,0,12.09,2.49,12.99,2.33
15,2012,1,1,7,30,12.47,2.19,13.29,2.03
16,2012,1,1,8,0,13.03,2.13,13.76,1.96
17,2012,1,1,8,30,12.29,2.36,13.07,2.17
18,2012,1,1,9,0,12.67,2.48,13.13,2.27
19,2012,1,1,9,30,13.86,2.68,14.28,2.47
20,2012,1,1,10,0,13.65,2.75,14.07,2.53
21,2012,1,1,10,30,13.55,2.8000000000000003,13.95,2.57
22,2012,1,1,11,0,13.3,2.98,13.69,2.76
23,2012,1,1,11,30,12.95,3.23,13.33,3.0
24,2012,1,1,12,0,12.99,3.44,13.37,3.21
25,2012,1,1,12,30,13.31,3.68,13.69,3.45
26,2012,1,1,13,0,13.37,3.86,13.73,3.64
27,2012,1,1,13,30,13.01,4.05,13.39,3.83
28,2012,1,1,14,0,13.12,4.11,13.54,3.89
29,2012,1,1,14,30,13.57,4.01,14.0,3.8
30,2012,1,1,15,0,13.77,3.84,14.19,3.63
31,2012,1,1,15,30,12.46,3.72,12.92,3.53
32,2012,1,1,16,0,10.81,3.52,11.49,3.35
33,2012,1,1,16,30,10.91,3.21,11.87,3.1
34,2012,1,1,17,0,9.96,2.81,11.06,2.74
35,2012,1,1,17,30,10.53,2.42,12.24,2.4
36,2012,1,1,18,0,10.17,2.13,11.28,2.09
37,2012,1,1,18,30,10.2,1.77,11.35,1.76
38,2012,1,1,19,0,11.64,1.77,12.85,1.73
39,2012,1,1,19,30,11.04,1.14,12.47,1.14
40,2012,1,1,20,0,13.14,1.09,14.19,0.99
41,2012,1,1,20,30,11.58,0.56,13.24,0.56
42,2012,1,1,21,0,10.98,0.5700000000000001,11.76,0.46
43,2012,1,1,21,30,13.36,0.08,14.56,-0.01
44,2012,1,1,22,0,13.01,-0.21,13.98,-0.35
45,2012,1,1,22,30,9.06,-0.67,9.93,-0.79
46,2012,1,1,23,0,11.85,-0.76,12.99,-0.87
47,2012,1,1,23,30,12.07,-1.27,13.22,-1.41
48,2012,1,2,0,0,12.11,-1.38,12.89,-1.54
49,2012,1,2,0,30,8.68,-1.83,9.67,-1.98
50,2012,1,2,1,0,10.66,-1.91,11.39,-2.06
51,2012,1,2,1,30,10.99,-2.33,11.93,-2.49
52,2012,1,2,2,0,10.66,-2.6,11.35,-2.77
53,2012,1,2,2,30,12.26,-2.73,13.03,-2.9
54,2012,1,2,3,0,7.81,-2.84,8.38,-3.01
55,2012,1,2,3,30,11.6,-3.27,12.26,-3.45
56,2012,1,2,4,0,11.29,-3.5,11.96,-3.68
57,2012,1,2,4,30,11.55,-3.66,12.26,-3.84
58,2012,1,2,5,0,9.93,-3.69,10.49,-3.87
59,2012,1,2,5,30,8.38,-3.59,8.86,-3.8
60,2012,1,2,6,0,9.97,-4.12,10.48,-4.32
61,2012,1,2,6,30,12.44,-4.39,13.07,-4.59
62,2012,1,2,7,0,12.47,-4.51,13.07,-4.7
63,2012,1,2,7,30,10.81,-4.59,11.45,-4.8
64,2012,1,2,8,0,12.16,-4.7700000000000005,12.63,-4.98
65,2012,1,2,8,30,13.29,-4.8100000000000005,13.75,-5.03
66,2012,1,2,9,0,13.31,-4.7700000000000005,13.75,-4.99
67,2012,1,2,9,30,13.26,-4.71,13.68,-4.94
68,2012,1,2,10,0,13.41,-4.65,13.82,-4.88
69,2012,1,2,10,30,13.2,-4.63,13.58,-4.86
70,2012,1,2,11,0,13.17,-4.66,13.54,-4.9
71,2012,1,2,11,30,13.33,-4.51,13.71,-4.75
72,2012,1,2,12,0,12.89,-4.48,13.27,-4.72
73,2012,1,2,12,30,13.04,-4.44,13.43,-4.67
74,2012,1,2,13,0,12.76,-4.42,13.16,-4.66
75,2012,1,2,13,30,12.66,-4.38,13.06,-4.61
76,2012,1,2,14,0,12.47,-4.45,12.87,-4.68
77,2012,1,2,14,30,12.23,-4.5200000000000005,12.62,-4.76
78,2012,1,2,15,0,11.94,-4.72,12.34,-4.94
79,2012,1,2,15,30,11.66,-4.8100000000000005,12.06,-5.03
80,2012,1,2,16,0,11.51,-4.99,11.92,-5.21
81,2012,1,2,16,30,11.2,-5.26,11.67,-5.47
82,2012,1,2,17,0,9.91,-5.37,10.36,-5.57
83,2012,1,2,17,30,8.6,-5.49,9.01,-5.69
84,2012,1,2,18,0,10.21,-5.71,10.91,-5.91
85,2012,1,2,18,30,10.13,-5.8500000000000005,10.72,-6.04
86,2012,1,2,19,0,8.23,-5.98,8.78,-6.17
87,2012,1,2,19,30,9.27,-6.16,9.95,-6.36
88,2012,1,2,20,0,9.23,-6.36,9.78,-6.55
89,2012,1,2,20,30,8.71,-6.49,9.31,-6.68
90,2012,1,2,21,0,8.01,-6.65,8.58,-6.84
91,2012,1,2,21,30,7.98,-6.83,8.59,-7.0200000000000005
92,2012,1,2,22,0,8.07,-7.0200000000000005,8.67,-7.21
93,2012,1,2,22,30,8.09,-7.2,8.69,-7.38
94,2012,1,2,23,0,7.75,-7.34,8.33,-7.53
95,2012,1,2,23,30,7.43,-7.51,8.02,-7.7
96,2012,1,3,0,0,7.44,-7.72,8.06,-7.9
97,2012,1,3,0,30,7.11,-7.85,7.75,-8.03
98,2012,1,3,1,0,5.37,-7.99,5.9,-8.16
99,2012,1,3,1,30,5.65,-8.2,6.28,-8.38
100,2012,1,3,2,0,6.5,-8.46,7.15,-8.64
101,2012,1,3,2,30,6.58,-8.68,7.22,-8.85
102,2012,1,3,3,0,6.33,-8.75,6.87,-8.91
103,2012,1,3,3,30,5.48,-8.92,6.13,-9.09
104,2012,1,3,4,0,6.46,-9.11,7.05,-9.26
105,2012,1,3,4,30,5.5600000000000005,-9.27,6.1000000000000005,-9.43
106,2012,1,3,5,0,6.18,-9.43,6.84,-9.58
107,2012,1,3,5,30,5.71,-9.39,6.12,-9.51
108,2012,1,3,6,0,4.82,-9.57,5.4,-9.72
109,2012,1,3,6,30,5.72,-9.67,6.23,-9.82
110,2012,1,3,7,0,5.05,-9.69,5.46,-9.8
111,2012,1,3,7,30,5.2,-9.76,5.65,-9.88
112,2012,1,3,8,0,4.57,-9.81,4.9,-9.93
113,2012,1,3,8,30,3.82,-9.49,3.88,-9.69
114,2012,1,3,9,0,3.51,-9.02,3.54,-9.22
115,2012,1,3,9,30,3.02,-8.42,3.0500000000000003,-8.61
116,2012,1,3,10,0,3.35,-7.81,3.39,-8.01
117,2012,1,3,10,30,3.25,-7.18,3.29,-7.390000000000001
118,2012,1,3,11,0,2.94,-6.57,2.98,-6.7700000000000005
119,2012,1,3,11,30,2.67,-5.94,2.7,-6.16
120,2012,1,3,12,0,3.08,-5.38,3.13,-5.59
121,2012,1,3,12,30,2.8000000000000003,-4.8100000000000005,2.86,-5.0200000000000005
122,2012,1,3,13,0,2.98,-4.3,3.03,-4.51
123,2012,1,3,13,30,3.67,-3.89,3.74,-4.1
124,2012,1,3,14,0,3.9,-3.56,3.97,-3.78
125,2012,1,3,14,30,4.21,-3.25,4.29,-3.46
126,2012,1,3,15,0,4.33,-3.03,4.41,-3.25
127,2012,1,3,15,30,4.99,-2.95,5.09,-3.16
128,2012,1,3,16,0,5.48,-2.98,5.75,-3.18
129,2012,1,3,16,30,6.95,-3.2,7.3,-3.36
130,2012,1,3,17,0,7.35,-3.22,7.82,-3.3200000000000003
131,2012,1,3,17,30,7.62,-3.47,8.32,-3.46
132,2012,1,3,18,0,7.8,-3.52,8.55,-3.45
133,2012,1,3,18,30,8.0,-3.63,8.790000000000001,-3.5500000000000003
134,2012,1,3,19,0,8.42,-3.75,9.48,-3.66
135,2012,1,3,19,30,8.78,-3.77,9.92,-3.74
136,2012,1,3,20,0,8.46,-3.93,9.49,-3.95
137,2012,1,3,20,30,8.67,-3.98,9.79,-3.98
138,2012,1,3,21,0,8.64,-3.97,9.69,-4.01
139,2012,1,3,21,30,8.51,-4.04,9.65,-4.05
140,2012,1,3,22,0,8.23,-4.03,9.31,-4.05
141,2012,1,3,22,30,8.51,-4.05,9.59,-4.0600000000000005
142,2012,1,3,23,0,8.63,-3.98,9.7,-3.98
143,2012,1,3,23,30,8.53,-3.86,9.6,-3.88
144,2012,1,4,0,0,8.540000000000001,-3.74,9.65,-3.76
145,2012,1,4,0,30,8.47,-3.7,9.55,-3.72
146,2012,1,4,1,0,8.22,-3.62,9.2,-3.67
147,2012,1,4,1,30,8.36,-3.42,9.33,-3.5
148,2012,1,4,2,0,9.07,-3.34,10.2,-3.38
149,2012,1,4,2,30,9.19,-3.0,10.27,-3.0500000000000003
150,2012,1,4,3,0,9.12,-2.62,10.11,-2.7
151,2012,1,4,3,30,8.77,-2.4,9.81,-2.47
152,2012,1,4,4,0,9.25,-2.2,10.28,-2.25
153,2012,1,4,4,30,9.45,-1.95,10.47,-1.99
154,2012,1,4,5,0,8.44,-1.9,9.48,-1.96
155,2012,1,4,5,30,8.58,-1.89,9.6,-1.94
156,2012,1,4,6,0,8.8,-1.91,9.85,-1.94
157,2012,1,4,6,30,8.47,-1.89,9.52,-1.92
158,2012,1,4,7,0,8.43,-1.73,9.38,-1.78
159,2012,1,4,7,30,7.82,-1.56,8.72,-1.64
160,2012,1,4,8,0,7.95,-1.59,8.84,-1.66
161,2012,1,4,8,30,8.93,-1.02,9.52,-1.12
162,2012,1,4,9,0,6.97,-0.34,8.03,-0.49
163,2012,1,4,9,30,6.45,0.37,6.73,0.19
164,2012,1,4,10,0,6.53,1.22,6.71,1.01
165,2012,1,4,10,30,6.3100000000000005,1.87,6.44,1.66
166,2012,1,4,11,0,6.0200000000000005,2.44,6.13,2.23
167,2012,1,4,11,30,6.08,3.0500000000000003,6.18,2.84
168,2012,1,4,12,0,5.88,3.63,5.98,3.42
169,2012,1,4,12,30,5.87,4.19,5.96,3.97
170,2012,1,4,13,0,5.96,4.62,6.07,4.41
171,2012,1,4,13,30,6.21,4.9,6.32,4.69
172,2012,1,4,14,0,6.43,5.03,6.54,4.82
173,2012,1,4,14,30,6.55,5.17,6.69,4.96
174,2012,1,4,15,0,6.41,5.28,6.74,5.09
175,2012,1,4,15,30,7.51,5.24,7.97,5.09
176,2012,1,4,16,0,8.31,5.28,8.77,5.15
177,2012,1,4,16,30,8.83,5.16,9.54,5.12
178,2012,1,4,17,0,9.96,4.71,10.64,4.8500000000000005
179,2012,1,4,17,30,10.54,4.3100000000000005,11.34,4.51
180,2012,1,4,18,0,10.87,3.87,11.7,4.12
181,2012,1,4,18,30,10.42,3.3200000000000003,11.29,3.52
182,2012,1,4,19,0,10.81,2.67,12.15,3.0
183,2012,1,4,19,30,10.65,2.18,11.88,2.49
184,2012,1,4,20,0,10.21,1.93,11.3,2.2
185,2012,1,4,20,30,9.9,1.51,10.98,1.76
186,2012,1,4,21,0,9.27,1.22,10.31,1.44
187,2012,1,4,21,30,8.5,0.81,9.51,0.93
188,2012,1,4,22,0,8.08,0.34,9.17,0.53
189,2012,1,4,22,30,7.87,-0.04,8.950000000000001,0.22
190,2012,1,4,23,0,7.19,-0.51,8.36,-0.12
191,2012,1,4,23,30,7.33,-0.31,8.57,0.34
192,2012,1,5,0,0,7.25,0.2,8.19,0.77
193,2012,1,5,0,30,7.0,0.39,7.72,0.85
194,2012,1,5,1,0,6.8100000000000005,0.48,7.42,0.93
195,2012,1,5,1,30,6.640000000000001,0.58,7.07,1.1
196,2012,1,5,2,0,6.6000000000000005,0.65,6.75,1.26
197,2012,1,5,2,30,6.37,0.49,6.49,1.24
198,2012,1,5,3,0,6.24,0.42,6.33,1.17
199,2012,1,5,3,30,6.6000000000000005,0.9,6.71,1.63
200,2012,1,5,4,0,6.91,0.68,7.08,1.4
201,2012,1,5,4,30,6.44,0.39,6.98,1.25
202,2012,1,5,5,0,6.08,0.56,6.640000000000001,1.37
203,2012,1,5,5,30,6.69,0.86,7.31,1.68
204,2012,1,5,6,0,6.87,0.41,7.97,1.68
205,2012,1,5,6,30,7.0,0.61,7.91,1.92
206,2012,1,5,7,0,6.25,-0.04,7.24,1.19
207,2012,1,5,7,30,5.74,-1.88,6.43,-0.46
208,2012,1,5,8,0,5.1000000000000005,-1.58,6.01,-0.45
209,2012,1,5,8,30,5.48,-0.38,6.18,0.1
210,2012,1,5,9,0,4.74,0.62,5.9,0.93
211,2012,1,5,9,30,4.32,1.89,4.91,1.74
212,2012,1,5,10,0,4.24,3.04,4.43,2.88
213,2012,1,5,10,30,4.3100000000000005,4.18,4.45,4.01
214,2012,1,5,11,0,5.04,5.44,5.14,5.25
215,2012,1,5,11,30,5.73,6.38,5.82,6.18
216,2012,1,5,12,0,6.04,7.31,6.15,7.11
217,2012,1,5,12,30,6.26,8.1,6.390000000000001,7.890000000000001
218,2012,1,5,13,0,6.4,8.78,6.53,8.58
219,2012,1,5,13,30,6.24,9.14,6.38,8.94
220,2012,1,5,14,0,5.98,9.48,6.16,9.29
221,2012,1,5,14,30,6.25,9.73,6.62,9.55
222,2012,1,5,15,0,6.2,9.8,6.75,9.66
