,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,14.14,9.19,15.52,9.28
1,2012,1,1,0,30,14.51,9.2,15.84,9.28
2,2012,1,1,1,0,14.0,9.04,15.22,9.12
3,2012,1,1,1,30,13.35,8.91,14.63,9.02
4,2012,1,1,2,0,13.18,8.77,14.27,8.81
5,2012,1,1,2,30,13.03,8.11,14.03,8.11
6,2012,1,1,3,0,13.61,7.24,14.56,7.12
7,2012,1,1,3,30,11.72,6.140000000000001,12.78,5.98
8,2012,1,1,4,0,10.82,5.0600000000000005,11.85,4.96
9,2012,1,1,4,30,8.66,4.22,9.67,4.08
10,2012,1,1,5,0,12.34,3.4,13.28,3.24
11,2012,1,1,5,30,13.35,3.0700000000000003,14.28,2.92
12,2012,1,1,6,0,10.92,2.79,11.87,2.66
13,2012,1,1,6,30,13.08,2.44,13.98,2.29
14,2012,1,1,7,0,11.95,2.24,12.87,2.1
15,2012,1,1,7,30,12.28,1.99,13.18,1.85
16,2012,1,1,8,0,12.22,1.81,13.02,1.65
17,2012,1,1,8,30,13.13,1.99,13.72,1.8
18,2012,1,1,9,0,13.08,2.03,13.59,1.82
19,2012,1,1,9,30,13.12,2.12,13.56,1.91
20,2012,1,1,10,0,13.2,2.2,13.57,1.98
21,2012,1,1,10,30,12.5,2.45,12.84,2.23
22,2012,1,1,11,0,12.37,2.72,12.72,2.5
23,2012,1,1,11,30,12.8,3.01,13.17,2.79
24,2012,1,1,12,0,13.11,3.39,13.46,3.17
25,2012,1,1,12,30,13.23,3.72,13.56,3.5
26,2012,1,1,13,0,13.01,3.97,13.33,3.75
27,2012,1,1,13,30,12.55,4.11,12.88,3.89
28,2012,1,1,14,0,13.09,4.18,13.43,3.96
29,2012,1,1,14,30,13.1,4.3,13.45,4.08
30,2012,1,1,15,0,12.75,4.4,13.13,4.19
31,2012,1,1,15,30,11.98,4.37,12.45,4.17
32,2012,1,1,16,0,11.07,4.17,11.84,4.01
33,2012,1,1,16,30,11.0,3.82,12.05,3.72
34,2012,1,1,17,0,10.4,3.28,11.61,3.24
35,2012,1,1,17,30,10.34,2.93,11.5,2.9
36,2012,1,1,18,0,11.59,2.67,12.72,2.62
37,2012,1,1,18,30,10.64,2.36,12.06,2.37
38,2012,1,1,19,0,10.18,1.84,11.57,1.86
39,2012,1,1,19,30,7.88,1.01,9.4,1.07
40,2012,1,1,20,0,11.05,1.45,11.97,1.39
41,2012,1,1,20,30,10.92,0.84,12.43,0.9
42,2012,1,1,21,0,11.43,0.67,12.52,0.61
43,2012,1,1,21,30,11.51,0.24,12.67,0.18
44,2012,1,1,22,0,10.27,-0.07,11.44,-0.13
45,2012,1,1,22,30,10.26,-0.39,11.41,-0.44
46,2012,1,1,23,0,13.4,-0.51,14.42,-0.64
47,2012,1,1,23,30,10.1,-0.88,11.0,-1.0
48,2012,1,2,0,0,9.41,-1.42,10.7,-1.54
49,2012,1,2,0,30,12.64,-1.4,13.4,-1.56
50,2012,1,2,1,0,6.8,-1.75,7.43,-1.89
