,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.86,4.17,12.33,4.2
1,2012,1,1,0,30,10.79,4.18,12.23,4.22
2,2012,1,1,1,0,11.02,4.18,12.43,4.24
3,2012,1,1,1,30,10.56,4.16,11.95,4.21
4,2012,1,1,2,0,10.44,4.11,11.79,4.16
5,2012,1,1,2,30,10.04,4.01,11.45,4.0600000000000005
6,2012,1,1,3,0,10.68,4.0,12.11,4.0600000000000005
7,2012,1,1,3,30,10.67,3.85,12.03,3.93
8,2012,1,1,4,0,10.43,3.66,11.74,3.74
9,2012,1,1,4,30,9.23,3.38,10.46,3.45
10,2012,1,1,5,0,8.66,3.39,9.82,3.39
11,2012,1,1,5,30,8.6,3.19,9.67,3.13
12,2012,1,1,6,0,8.75,2.39,9.7,2.24
13,2012,1,1,6,30,9.26,2.06,10.0,1.92
14,2012,1,1,7,0,10.92,2.15,11.6,1.97
15,2012,1,1,7,30,12.04,1.8,12.67,1.61
16,2012,1,1,8,0,11.06,1.36,12.06,1.16
17,2012,1,1,8,30,12.24,1.59,12.83,1.39
18,2012,1,1,9,0,13.5,1.66,14.09,1.45
19,2012,1,1,9,30,14.37,1.45,14.92,1.24
20,2012,1,1,10,0,14.03,1.24,14.53,1.02
21,2012,1,1,10,30,14.26,0.8300000000000001,14.74,0.6
22,2012,1,1,11,0,14.51,0.63,15.0,0.4
23,2012,1,1,11,30,14.73,0.39,15.2,0.15
24,2012,1,1,12,0,14.0,0.31,14.46,0.08
25,2012,1,1,12,30,13.93,0.36,14.43,0.12
26,2012,1,1,13,0,14.8,0.24,15.28,0.0
27,2012,1,1,13,30,14.87,0.19,15.36,-0.04
28,2012,1,1,14,0,14.6,0.07,15.09,-0.16
29,2012,1,1,14,30,14.17,-0.16,14.65,-0.39
30,2012,1,1,15,0,14.42,-0.49,14.91,-0.71
31,2012,1,1,15,30,14.45,-0.79,14.97,-1.01
32,2012,1,1,16,0,14.6,-0.99,15.18,-1.2
33,2012,1,1,16,30,13.16,-1.31,13.73,-1.53
34,2012,1,1,17,0,13.87,-1.46,14.44,-1.68
35,2012,1,1,17,30,13.96,-1.68,14.54,-1.89
36,2012,1,1,18,0,13.94,-1.89,14.47,-2.1
37,2012,1,1,18,30,13.78,-2.11,14.28,-2.33
38,2012,1,1,19,0,13.53,-2.26,14.07,-2.47
39,2012,1,1,19,30,12.99,-2.57,13.52,-2.78
40,2012,1,1,20,0,13.02,-2.68,13.55,-2.89
41,2012,1,1,20,30,12.52,-2.87,13.04,-3.09
42,2012,1,1,21,0,12.1,-3.04,12.61,-3.26
43,2012,1,1,21,30,11.66,-3.22,12.13,-3.44
44,2012,1,1,22,0,12.01,-3.43,12.48,-3.65
45,2012,1,1,22,30,12.29,-3.62,12.74,-3.83
46,2012,1,1,23,0,12.0,-3.79,12.46,-4.01
47,2012,1,1,23,30,12.14,-3.97,12.6,-4.19
48,2012,1,2,0,0,11.99,-4.12,12.43,-4.34
49,2012,1,2,0,30,11.78,-4.2700000000000005,12.22,-4.5
50,2012,1,2,1,0,12.11,-4.59,12.56,-4.8100000000000005
51,2012,1,2,1,30,12.01,-4.7700000000000005,12.43,-5.0
52,2012,1,2,2,0,12.2,-4.92,12.63,-5.14
53,2012,1,2,2,30,12.26,-5.14,12.68,-5.37
54,2012,1,2,3,0,12.06,-5.39,12.48,-5.62
55,2012,1,2,3,30,13.3,-5.54,13.77,-5.76
56,2012,1,2,4,0,10.5,-5.64,10.84,-5.87
57,2012,1,2,4,30,11.84,-5.89,12.23,-6.12
58,2012,1,2,5,0,12.13,-6.15,12.54,-6.38
59,2012,1,2,5,30,12.14,-6.41,12.54,-6.640000000000001
60,2012,1,2,6,0,11.55,-6.62,11.93,-6.8500000000000005
61,2012,1,2,6,30,11.77,-6.9,12.16,-7.13
62,2012,1,2,7,0,11.62,-7.16,12.0,-7.390000000000001
63,2012,1,2,7,30,11.53,-7.36,11.91,-7.58
64,2012,1,2,8,0,11.55,-7.43,11.94,-7.66
65,2012,1,2,8,30,12.03,-7.54,12.43,-7.77
