,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.89,9.02,14.06,9.03
1,2012,1,1,0,30,13.94,9.26,15.23,9.32
2,2012,1,1,1,0,14.42,9.16,15.72,9.22
3,2012,1,1,1,30,13.84,8.790000000000001,15.19,8.84
4,2012,1,1,2,0,14.23,8.31,15.6,8.370000000000001
5,2012,1,1,2,30,13.76,7.95,15.05,8.01
6,2012,1,1,3,0,12.95,7.62,14.25,7.68
7,2012,1,1,3,30,12.53,7.32,13.9,7.43
8,2012,1,1,4,0,12.56,7.3,13.85,7.36
9,2012,1,1,4,30,12.9,7.0600000000000005,14.04,7.05
10,2012,1,1,5,0,13.14,6.29,14.14,6.19
11,2012,1,1,5,30,12.69,5.24,13.64,5.1000000000000005
12,2012,1,1,6,0,12.75,4.12,13.64,3.96
13,2012,1,1,6,30,12.21,3.61,12.81,3.42
14,2012,1,1,7,0,12.1,3.19,12.64,2.99
15,2012,1,1,7,30,12.72,2.6,13.26,2.4
16,2012,1,1,8,0,12.49,2.31,13.09,2.12
17,2012,1,1,8,30,12.23,2.0,12.9,1.82
18,2012,1,1,9,0,11.66,2.44,12.38,2.25
19,2012,1,1,9,30,13.53,2.59,14.05,2.38
20,2012,1,1,10,0,14.21,2.85,14.66,2.64
21,2012,1,1,10,30,14.14,2.91,14.57,2.69
22,2012,1,1,11,0,13.62,2.97,14.03,2.74
23,2012,1,1,11,30,13.53,3.04,13.95,2.82
24,2012,1,1,12,0,13.89,3.16,14.3,2.94
25,2012,1,1,12,30,13.49,3.28,13.9,3.06
26,2012,1,1,13,0,13.33,3.43,13.75,3.2
27,2012,1,1,13,30,13.71,3.48,14.15,3.26
28,2012,1,1,14,0,14.02,3.5500000000000003,14.47,3.33
29,2012,1,1,14,30,13.88,3.52,14.34,3.31
30,2012,1,1,15,0,13.77,3.37,14.26,3.16
31,2012,1,1,15,30,12.83,3.04,13.41,2.84
32,2012,1,1,16,0,12.14,2.68,12.92,2.5
33,2012,1,1,16,30,11.21,2.35,12.14,2.23
34,2012,1,1,17,0,10.91,2.07,11.78,1.97
35,2012,1,1,17,30,10.59,1.72,11.65,1.65
36,2012,1,1,18,0,10.78,1.47,11.75,1.4
37,2012,1,1,18,30,12.68,1.23,13.88,1.14
38,2012,1,1,19,0,10.41,0.85,11.4,0.77
39,2012,1,1,19,30,11.05,0.6,12.06,0.5
40,2012,1,1,20,0,10.71,0.26,11.65,0.18
41,2012,1,1,20,30,9.01,-0.18,10.21,-0.23
42,2012,1,1,21,0,12.82,-0.11,13.78,-0.24
43,2012,1,1,21,30,8.66,-0.53,9.54,-0.62
44,2012,1,1,22,0,9.06,-0.85,10.39,-0.89
45,2012,1,1,22,30,9.75,-1.15,10.81,-1.27
46,2012,1,1,23,0,10.75,-1.31,11.67,-1.46
47,2012,1,1,23,30,9.49,-1.67,10.4,-1.82
48,2012,1,2,0,0,8.82,-2.06,9.48,-2.22
49,2012,1,2,0,30,11.84,-2.35,12.6,-2.53
50,2012,1,2,1,0,11.52,-2.57,12.26,-2.74
51,2012,1,2,1,30,7.69,-2.78,8.36,-2.96
52,2012,1,2,2,0,12.55,-2.98,13.21,-3.16
53,2012,1,2,2,30,7.42,-3.09,7.86,-3.28
54,2012,1,2,3,0,10.13,-3.23,10.57,-3.42
55,2012,1,2,3,30,11.62,-3.51,12.17,-3.71
56,2012,1,2,4,0,11.99,-3.69,12.6,-3.88
57,2012,1,2,4,30,9.22,-3.71,9.65,-3.91
58,2012,1,2,5,0,11.35,-3.95,11.84,-4.15
59,2012,1,2,5,30,11.43,-4.24,12.0,-4.44
60,2012,1,2,6,0,11.14,-4.43,11.71,-4.62
61,2012,1,2,6,30,10.31,-4.55,10.86,-4.75
62,2012,1,2,7,0,11.55,-4.86,12.09,-5.0600000000000005
63,2012,1,2,7,30,12.39,-5.04,12.94,-5.24
64,2012,1,2,8,0,12.23,-5.15,12.68,-5.36
65,2012,1,2,8,30,13.93,-5.29,14.39,-5.51
66,2012,1,2,9,0,13.14,-5.3500000000000005,13.54,-5.57
67,2012,1,2,9,30,14.41,-5.43,14.82,-5.67
68,2012,1,2,10,0,14.33,-5.39,14.72,-5.62
69,2012,1,2,10,30,14.08,-5.4,14.46,-5.64
70,2012,1,2,11,0,13.49,-5.36,13.85,-5.6000000000000005
71,2012,1,2,11,30,13.15,-5.3500000000000005,13.51,-5.59
72,2012,1,2,12,0,13.37,-5.3,13.72,-5.54
73,2012,1,2,12,30,12.98,-5.29,13.33,-5.53
74,2012,1,2,13,0,13.07,-5.21,13.43,-5.45
75,2012,1,2,13,30,13.1,-5.3100000000000005,13.46,-5.54
76,2012,1,2,14,0,12.94,-5.19,13.31,-5.42
77,2012,1,2,14,30,12.73,-5.28,13.09,-5.51
78,2012,1,2,15,0,12.58,-5.2700000000000005,12.94,-5.5
