,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.33,7.0,14.68,7.22
1,2012,1,1,0,30,12.94,7.17,14.36,7.45
2,2012,1,1,1,0,13.25,7.42,14.73,7.72
3,2012,1,1,1,30,13.14,7.27,14.56,7.51
4,2012,1,1,2,0,12.66,7.11,14.05,7.28
5,2012,1,1,2,30,12.23,6.91,13.63,7.03
6,2012,1,1,3,0,12.54,6.97,13.9,7.07
7,2012,1,1,3,30,12.72,6.82,13.98,6.87
8,2012,1,1,4,0,12.82,6.44,13.94,6.43
9,2012,1,1,4,30,12.39,5.58,13.5,5.47
10,2012,1,1,5,0,12.56,4.36,13.53,4.22
11,2012,1,1,5,30,12.44,3.3200000000000003,13.33,3.17
12,2012,1,1,6,0,12.41,3.33,12.96,3.14
13,2012,1,1,6,30,13.31,2.67,13.84,2.46
14,2012,1,1,7,0,14.04,2.17,14.58,1.97
15,2012,1,1,7,30,13.04,1.98,13.75,1.81
16,2012,1,1,8,0,13.5,1.73,14.26,1.58
17,2012,1,1,8,30,14.32,1.76,14.96,1.58
18,2012,1,1,9,0,14.21,1.81,14.81,1.63
19,2012,1,1,9,30,15.32,2.11,15.73,1.9
20,2012,1,1,10,0,15.31,2.1,15.69,1.88
21,2012,1,1,10,30,15.11,2.12,15.46,1.9
22,2012,1,1,11,0,15.06,2.23,15.4,2.01
23,2012,1,1,11,30,14.37,2.35,14.7,2.13
24,2012,1,1,12,0,14.68,2.56,15.02,2.33
25,2012,1,1,12,30,14.69,2.71,15.02,2.48
26,2012,1,1,13,0,14.53,2.84,14.87,2.61
27,2012,1,1,13,30,14.66,2.99,15.03,2.76
28,2012,1,1,14,0,14.78,3.02,15.15,2.8000000000000003
29,2012,1,1,14,30,14.78,2.91,15.15,2.69
30,2012,1,1,15,0,14.61,2.66,15.02,2.45
31,2012,1,1,15,30,13.55,2.49,14.03,2.28
32,2012,1,1,16,0,11.89,2.26,12.57,2.09
33,2012,1,1,16,30,11.54,1.96,12.45,1.83
34,2012,1,1,17,0,12.07,1.69,12.95,1.57
35,2012,1,1,17,30,10.82,1.35,11.8,1.26
36,2012,1,1,18,0,11.07,1.09,12.12,1.0
37,2012,1,1,18,30,10.98,0.81,12.14,0.73
38,2012,1,1,19,0,12.59,0.62,13.55,0.52
39,2012,1,1,19,30,12.8,0.37,13.71,0.25
40,2012,1,1,20,0,10.18,-0.08,11.05,-0.18
41,2012,1,1,20,30,14.79,-0.18,15.74,-0.32
42,2012,1,1,21,0,12.36,-0.5700000000000001,13.35,-0.7000000000000001
43,2012,1,1,21,30,10.65,-0.9,11.49,-1.04
44,2012,1,1,22,0,8.72,-1.25,9.57,-1.39
45,2012,1,1,22,30,11.73,-1.38,12.55,-1.54
46,2012,1,1,23,0,8.76,-1.85,9.45,-2.02
47,2012,1,1,23,30,13.64,-2.21,14.31,-2.39
48,2012,1,2,0,0,12.7,-2.5,13.35,-2.67
49,2012,1,2,0,30,9.22,-2.67,9.94,-2.85
50,2012,1,2,1,0,13.58,-2.95,14.2,-3.13
51,2012,1,2,1,30,8.34,-3.03,8.73,-3.22
52,2012,1,2,2,0,11.59,-3.24,12.05,-3.43
53,2012,1,2,2,30,12.01,-3.5,12.52,-3.69
54,2012,1,2,3,0,12.27,-3.7,12.8,-3.9
55,2012,1,2,3,30,10.62,-3.77,11.03,-3.97
56,2012,1,2,4,0,10.97,-3.93,11.32,-4.14
57,2012,1,2,4,30,12.69,-4.24,13.14,-4.45
58,2012,1,2,5,0,12.48,-4.47,12.96,-4.67
59,2012,1,2,5,30,11.48,-4.6000000000000005,11.92,-4.8100000000000005
60,2012,1,2,6,0,12.9,-4.9,13.39,-5.1000000000000005
61,2012,1,2,6,30,11.65,-5.01,12.08,-5.21
62,2012,1,2,7,0,11.86,-5.28,12.31,-5.48
63,2012,1,2,7,30,12.35,-5.48,12.83,-5.68
64,2012,1,2,8,0,12.34,-5.57,12.75,-5.78
65,2012,1,2,8,30,14.78,-5.76,15.17,-5.98
66,2012,1,2,9,0,14.43,-5.84,14.8,-6.07
67,2012,1,2,9,30,14.08,-5.84,14.42,-6.07
68,2012,1,2,10,0,14.36,-5.84,14.69,-6.07
69,2012,1,2,10,30,14.16,-5.79,14.49,-6.0200000000000005
70,2012,1,2,11,0,13.99,-5.7700000000000005,14.3,-6.0
71,2012,1,2,11,30,13.59,-5.89,13.88,-6.12
72,2012,1,2,12,0,13.52,-5.82,13.8,-6.0600000000000005
73,2012,1,2,12,30,12.9,-5.76,13.19,-6.0
74,2012,1,2,13,0,12.86,-5.8100000000000005,13.14,-6.04
75,2012,1,2,13,30,12.88,-5.64,13.16,-5.87
76,2012,1,2,14,0,12.8,-5.57,13.1,-5.8
77,2012,1,2,14,30,12.34,-5.53,12.63,-5.76
78,2012,1,2,15,0,12.67,-5.62,12.98,-5.84
79,2012,1,2,15,30,12.74,-5.76,13.05,-5.99
80,2012,1,2,16,0,12.27,-5.86,12.6,-6.07
81,2012,1,2,16,30,11.39,-6.03,11.74,-6.24
82,2012,1,2,17,0,10.94,-6.18,11.36,-6.38
83,2012,1,2,17,30,11.28,-6.41,11.73,-6.61
84,2012,1,2,18,0,10.78,-6.53,11.14,-6.73
85,2012,1,2,18,30,10.09,-6.65,10.43,-6.8500000000000005
86,2012,1,2,19,0,9.52,-6.75,9.86,-6.95
87,2012,1,2,19,30,9.15,-6.88,9.55,-7.09
88,2012,1,2,20,0,9.05,-7.01,9.43,-7.21
89,2012,1,2,20,30,8.26,-7.15,8.68,-7.34
90,2012,1,2,21,0,8.24,-7.33,8.700000000000001,-7.52
91,2012,1,2,21,30,8.1,-7.48,8.540000000000001,-7.68
92,2012,1,2,22,0,7.9,-7.7,8.35,-7.9
93,2012,1,2,22,30,8.26,-7.91,8.74,-8.11
94,2012,1,2,23,0,8.33,-8.08,8.84,-8.28
95,2012,1,2,23,30,7.33,-8.23,7.81,-8.42
96,2012,1,3,0,0,6.29,-8.39,6.76,-8.58
97,2012,1,3,0,30,7.54,-8.66,8.07,-8.86
98,2012,1,3,1,0,7.32,-8.85,7.8,-9.04
99,2012,1,3,1,30,5.76,-9.01,6.2700000000000005,-9.2
100,2012,1,3,2,0,7.140000000000001,-9.31,7.67,-9.49
101,2012,1,3,2,30,6.86,-9.51,7.4,-9.69
102,2012,1,3,3,0,6.67,-9.68,7.21,-9.87
103,2012,1,3,3,30,6.57,-9.82,7.15,-10.0
104,2012,1,3,4,0,6.0600000000000005,-9.92,6.63,-10.1
105,2012,1,3,4,30,5.51,-10.04,6.11,-10.21
106,2012,1,3,5,0,5.5200000000000005,-10.22,6.09,-10.38
107,2012,1,3,5,30,5.73,-10.35,6.28,-10.51
108,2012,1,3,6,0,5.49,-10.45,5.98,-10.6
109,2012,1,3,6,30,5.46,-10.56,5.89,-10.71
110,2012,1,3,7,0,5.19,-10.58,5.63,-10.72
111,2012,1,3,7,30,4.59,-10.62,4.93,-10.75
112,2012,1,3,8,0,4.61,-10.59,4.93,-10.72
113,2012,1,3,8,30,3.86,-10.38,3.91,-10.57
