,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.49,3.48,14.75,3.69
1,2012,1,1,0,30,13.33,3.53,14.62,3.75
2,2012,1,1,1,0,12.3,3.36,13.64,3.6
3,2012,1,1,1,30,12.37,3.52,13.89,3.81
4,2012,1,1,2,0,12.25,3.38,13.67,3.66
5,2012,1,1,2,30,10.39,2.93,11.76,3.23
6,2012,1,1,3,0,9.97,2.82,11.28,3.12
7,2012,1,1,3,30,10.02,2.59,11.62,2.86
8,2012,1,1,4,0,9.79,2.47,11.2,2.53
9,2012,1,1,4,30,10.45,1.76,11.47,1.69
10,2012,1,1,5,0,11.24,1.59,12.08,1.48
11,2012,1,1,5,30,12.28,1.55,13.01,1.39
12,2012,1,1,6,0,13.68,1.13,14.37,0.96
13,2012,1,1,6,30,14.71,0.79,15.39,0.62
14,2012,1,1,7,0,15.47,0.61,16.12,0.45
15,2012,1,1,7,30,15.2,0.81,15.9,0.63
16,2012,1,1,8,0,14.89,0.43,15.63,0.24
17,2012,1,1,8,30,15.09,-0.08,15.77,-0.28
18,2012,1,1,9,0,14.86,-0.47,15.43,-0.68
19,2012,1,1,9,30,15.9,-0.8300000000000001,16.38,-1.05
20,2012,1,1,10,0,15.79,-1.18,16.23,-1.4
21,2012,1,1,10,30,15.41,-1.27,15.85,-1.49
22,2012,1,1,11,0,14.61,-1.21,15.05,-1.44
23,2012,1,1,11,30,14.92,-1.11,15.36,-1.34
24,2012,1,1,12,0,15.54,-1.01,15.97,-1.24
25,2012,1,1,12,30,15.76,-0.91,16.18,-1.14
26,2012,1,1,13,0,15.48,-0.85,15.92,-1.08
27,2012,1,1,13,30,15.6,-0.94,16.06,-1.18
28,2012,1,1,14,0,15.8,-1.01,16.27,-1.24
29,2012,1,1,14,30,15.79,-1.06,16.26,-1.29
30,2012,1,1,15,0,16.22,-1.4,16.71,-1.62
31,2012,1,1,15,30,15.84,-1.56,16.34,-1.77
32,2012,1,1,16,0,15.11,-1.96,15.73,-2.16
33,2012,1,1,16,30,14.8,-2.21,15.42,-2.4
34,2012,1,1,17,0,14.54,-2.41,15.17,-2.61
35,2012,1,1,17,30,14.65,-2.7,15.24,-2.9
36,2012,1,1,18,0,15.3,-2.93,15.92,-3.13
37,2012,1,1,18,30,15.55,-3.17,16.17,-3.37
38,2012,1,1,19,0,15.62,-3.4,16.23,-3.61
39,2012,1,1,19,30,15.05,-3.69,15.66,-3.9
40,2012,1,1,20,0,15.13,-3.89,15.69,-4.1
41,2012,1,1,20,30,14.87,-4.1,15.44,-4.3100000000000005
42,2012,1,1,21,0,14.97,-4.32,15.52,-4.53
43,2012,1,1,21,30,15.21,-4.53,15.75,-4.74
44,2012,1,1,22,0,14.96,-4.78,15.48,-4.99
45,2012,1,1,22,30,14.61,-4.96,15.14,-5.17
46,2012,1,1,23,0,14.08,-5.13,14.64,-5.34
47,2012,1,1,23,30,13.38,-5.28,13.92,-5.49
48,2012,1,2,0,0,13.29,-5.44,13.79,-5.65
49,2012,1,2,0,30,12.4,-5.65,12.83,-5.86
50,2012,1,2,1,0,13.47,-5.93,13.93,-6.140000000000001
51,2012,1,2,1,30,12.73,-6.0600000000000005,13.17,-6.2700000000000005
52,2012,1,2,2,0,12.93,-6.18,13.39,-6.4
