,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.17,6.25,14.62,6.33
1,2012,1,1,0,30,12.88,6.2700000000000005,14.32,6.33
2,2012,1,1,1,0,12.76,6.1000000000000005,14.18,6.16
3,2012,1,1,1,30,13.33,6.0200000000000005,14.71,6.09
4,2012,1,1,2,0,13.27,5.92,14.56,5.95
5,2012,1,1,2,30,12.1,5.72,13.36,5.73
6,2012,1,1,3,0,11.84,5.36,12.99,5.33
7,2012,1,1,3,30,11.88,4.54,12.91,4.43
8,2012,1,1,4,0,12.69,3.41,13.6,3.26
9,2012,1,1,4,30,13.47,2.52,14.22,2.35
10,2012,1,1,5,0,13.68,2.37,14.22,2.17
11,2012,1,1,5,30,13.63,2.25,14.21,2.06
12,2012,1,1,6,0,12.75,1.6,13.5,1.39
13,2012,1,1,6,30,13.84,1.19,14.53,1.03
14,2012,1,1,7,0,14.73,1.81,15.39,1.62
15,2012,1,1,7,30,14.72,1.63,15.4,1.44
16,2012,1,1,8,0,15.35,1.11,16.01,0.92
17,2012,1,1,8,30,14.64,0.8200000000000001,15.25,0.61
18,2012,1,1,9,0,15.25,0.56,15.72,0.35
19,2012,1,1,9,30,14.67,0.46,15.12,0.25
20,2012,1,1,10,0,14.59,0.49,15.03,0.27
21,2012,1,1,10,30,15.21,0.49,15.63,0.26
22,2012,1,1,11,0,14.71,0.65,15.1,0.42
23,2012,1,1,11,30,14.49,0.75,14.9,0.52
24,2012,1,1,12,0,14.52,0.92,14.91,0.6900000000000001
25,2012,1,1,12,30,14.54,1.13,14.94,0.9
26,2012,1,1,13,0,15.2,1.23,15.63,1.0
27,2012,1,1,13,30,15.1,1.22,15.53,1.0
28,2012,1,1,14,0,15.36,1.16,15.81,0.93
29,2012,1,1,14,30,15.59,1.17,16.07,0.95
30,2012,1,1,15,0,15.82,1.16,16.32,0.95
31,2012,1,1,15,30,15.15,1.12,15.65,0.91
32,2012,1,1,16,0,13.53,0.94,14.15,0.76
33,2012,1,1,16,30,12.84,0.67,13.57,0.5
34,2012,1,1,17,0,12.41,0.39,13.21,0.23
35,2012,1,1,17,30,13.38,0.2,14.16,0.04
36,2012,1,1,18,0,12.28,-0.08,13.14,-0.22
37,2012,1,1,18,30,13.51,-0.29,14.4,-0.44
38,2012,1,1,19,0,13.56,-0.55,14.47,-0.71
39,2012,1,1,19,30,17.25,-0.87,18.19,-1.04
40,2012,1,1,20,0,14.49,-1.34,15.31,-1.51
41,2012,1,1,20,30,15.02,-1.7,15.98,-1.88
42,2012,1,1,21,0,12.89,-2.07,13.41,-2.25
43,2012,1,1,21,30,9.62,-2.27,10.17,-2.44
44,2012,1,1,22,0,12.96,-2.71,13.46,-2.91
45,2012,1,1,22,30,13.78,-3.11,14.4,-3.3000000000000003
46,2012,1,1,23,0,13.79,-3.48,14.41,-3.68
47,2012,1,1,23,30,13.53,-3.71,14.1,-3.91
48,2012,1,2,0,0,13.56,-3.86,14.09,-4.0600000000000005
49,2012,1,2,0,30,13.57,-4.05,14.07,-4.26
50,2012,1,2,1,0,12.15,-4.12,12.6,-4.33
51,2012,1,2,1,30,12.36,-4.32,12.83,-4.5200000000000005
52,2012,1,2,2,0,12.39,-4.47,12.87,-4.67
53,2012,1,2,2,30,12.71,-4.64,13.21,-4.8500000000000005
54,2012,1,2,3,0,12.49,-4.83,12.97,-5.04
55,2012,1,2,3,30,12.7,-5.0600000000000005,13.18,-5.26
56,2012,1,2,4,0,12.85,-5.28,13.35,-5.49
57,2012,1,2,4,30,12.27,-5.46,12.74,-5.67
58,2012,1,2,5,0,12.44,-5.71,12.91,-5.91
59,2012,1,2,5,30,12.48,-5.97,12.97,-6.18
