,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.71,6.01,12.93,6.08
1,2012,1,1,0,30,11.18,5.96,12.48,6.04
2,2012,1,1,1,0,11.87,6.24,13.25,6.3500000000000005
3,2012,1,1,1,30,11.68,6.42,13.07,6.51
4,2012,1,1,2,0,11.85,6.390000000000001,13.23,6.47
5,2012,1,1,2,30,12.87,6.34,14.21,6.42
6,2012,1,1,3,0,12.41,6.28,13.72,6.3500000000000005
7,2012,1,1,3,30,11.89,6.04,13.11,6.0600000000000005
8,2012,1,1,4,0,12.6,5.87,13.84,5.86
9,2012,1,1,4,30,12.82,5.15,13.83,5.03
10,2012,1,1,5,0,11.79,3.94,12.77,3.79
11,2012,1,1,5,30,12.49,2.95,13.28,2.79
12,2012,1,1,6,0,13.24,2.67,13.76,2.47
13,2012,1,1,6,30,12.61,2.49,13.13,2.29
14,2012,1,1,7,0,13.12,2.39,13.7,2.21
15,2012,1,1,7,30,13.23,2.45,13.92,2.27
16,2012,1,1,8,0,13.36,2.17,14.0,1.98
17,2012,1,1,8,30,13.28,2.12,14.1,1.93
18,2012,1,1,9,0,14.25,1.83,14.69,1.62
19,2012,1,1,9,30,14.58,1.65,15.0,1.43
20,2012,1,1,10,0,15.43,1.73,15.81,1.5
21,2012,1,1,10,30,15.39,1.66,15.77,1.44
22,2012,1,1,11,0,15.06,1.75,15.43,1.52
23,2012,1,1,11,30,14.7,1.88,15.07,1.65
24,2012,1,1,12,0,14.82,1.99,15.19,1.76
25,2012,1,1,12,30,14.98,2.09,15.33,1.86
26,2012,1,1,13,0,14.43,2.2,14.79,1.98
27,2012,1,1,13,30,14.49,2.32,14.86,2.1
28,2012,1,1,14,0,14.52,2.33,14.91,2.11
29,2012,1,1,14,30,15.05,2.16,15.45,1.94
30,2012,1,1,15,0,15.06,1.95,15.49,1.73
31,2012,1,1,15,30,14.34,1.78,14.79,1.58
32,2012,1,1,16,0,12.6,1.59,13.21,1.4
33,2012,1,1,16,30,10.75,1.3,11.55,1.15
34,2012,1,1,17,0,11.67,0.97,12.67,0.84
35,2012,1,1,17,30,12.49,0.78,13.36,0.64
36,2012,1,1,18,0,12.43,0.47,13.43,0.34
37,2012,1,1,18,30,12.65,0.27,13.63,0.14
38,2012,1,1,19,0,12.7,-0.01,13.91,-0.14
39,2012,1,1,19,30,10.8,-0.28,11.6,-0.43
40,2012,1,1,20,0,15.88,-0.45,16.84,-0.61
41,2012,1,1,20,30,14.57,-0.86,15.44,-1.02
42,2012,1,1,21,0,10.04,-1.18,10.75,-1.33
43,2012,1,1,21,30,8.790000000000001,-1.52,9.58,-1.68
44,2012,1,1,22,0,9.31,-1.93,10.12,-2.11
45,2012,1,1,22,30,10.02,-2.19,10.65,-2.37
46,2012,1,1,23,0,9.0,-2.39,9.44,-2.59
47,2012,1,1,23,30,13.44,-2.91,14.06,-3.11
48,2012,1,2,0,0,10.35,-3.11,10.87,-3.3000000000000003
49,2012,1,2,0,30,12.28,-3.43,12.82,-3.63
50,2012,1,2,1,0,12.58,-3.58,13.11,-3.78
51,2012,1,2,1,30,11.68,-3.65,12.15,-3.86
52,2012,1,2,2,0,12.23,-3.79,12.72,-3.99
53,2012,1,2,2,30,10.86,-3.88,11.27,-4.09
54,2012,1,2,3,0,11.87,-4.04,12.34,-4.24
55,2012,1,2,3,30,12.0,-4.21,12.46,-4.42
56,2012,1,2,4,0,11.62,-4.41,12.09,-4.61
57,2012,1,2,4,30,11.93,-4.61,12.41,-4.82
58,2012,1,2,5,0,12.16,-4.86,12.62,-5.0600000000000005
59,2012,1,2,5,30,12.52,-5.12,13.0,-5.33
60,2012,1,2,6,0,11.84,-5.34,12.29,-5.54
61,2012,1,2,6,30,12.24,-5.6000000000000005,12.67,-5.8100000000000005
62,2012,1,2,7,0,12.95,-5.8500000000000005,13.37,-6.0600000000000005
63,2012,1,2,7,30,13.66,-6.08,14.09,-6.29
64,2012,1,2,8,0,13.73,-6.28,14.14,-6.49
65,2012,1,2,8,30,13.27,-6.5,13.62,-6.72
66,2012,1,2,9,0,14.68,-6.5200000000000005,15.04,-6.74
67,2012,1,2,9,30,14.15,-6.5200000000000005,14.5,-6.75
68,2012,1,2,10,0,13.48,-6.55,13.8,-6.78
69,2012,1,2,10,30,13.46,-6.41,13.78,-6.640000000000001
70,2012,1,2,11,0,13.24,-6.46,13.55,-6.69
71,2012,1,2,11,30,12.92,-6.4,13.22,-6.63
72,2012,1,2,12,0,12.86,-6.32,13.16,-6.55
73,2012,1,2,12,30,12.73,-6.21,13.02,-6.44
74,2012,1,2,13,0,12.74,-6.22,13.02,-6.45
75,2012,1,2,13,30,12.47,-6.18,12.75,-6.41
76,2012,1,2,14,0,12.4,-6.140000000000001,12.69,-6.38
77,2012,1,2,14,30,12.0,-6.2700000000000005,12.29,-6.5
78,2012,1,2,15,0,12.52,-6.42,12.81,-6.65
79,2012,1,2,15,30,12.43,-6.49,12.73,-6.71
80,2012,1,2,16,0,12.34,-6.68,12.64,-6.890000000000001
81,2012,1,2,16,30,12.05,-6.76,12.36,-6.97
82,2012,1,2,17,0,10.88,-6.78,11.2,-6.98
83,2012,1,2,17,30,10.99,-6.88,11.33,-7.09
84,2012,1,2,18,0,11.13,-7.01,11.49,-7.22
85,2012,1,2,18,30,11.39,-7.19,11.78,-7.390000000000001
86,2012,1,2,19,0,10.55,-7.28,10.95,-7.49
87,2012,1,2,19,30,10.03,-7.42,10.45,-7.62
88,2012,1,2,20,0,10.64,-7.62,11.09,-7.83
89,2012,1,2,20,30,10.43,-7.84,10.86,-8.040000000000001
90,2012,1,2,21,0,9.87,-8.01,10.28,-8.21
91,2012,1,2,21,30,9.21,-8.15,9.6,-8.35
92,2012,1,2,22,0,8.73,-8.32,9.12,-8.52
93,2012,1,2,22,30,8.9,-8.51,9.32,-8.71
94,2012,1,2,23,0,8.73,-8.700000000000001,9.16,-8.9
95,2012,1,2,23,30,8.11,-8.870000000000001,8.55,-9.07
96,2012,1,3,0,0,7.9,-9.04,8.35,-9.23
97,2012,1,3,0,30,7.32,-9.22,7.76,-9.41
98,2012,1,3,1,0,8.49,-9.49,8.96,-9.69
99,2012,1,3,1,30,7.67,-9.66,8.16,-9.85
100,2012,1,3,2,0,7.05,-9.84,7.55,-10.03
101,2012,1,3,2,30,7.19,-10.04,7.7,-10.23
102,2012,1,3,3,0,7.05,-10.2,7.57,-10.38
103,2012,1,3,3,30,6.54,-10.38,7.0200000000000005,-10.55
104,2012,1,3,4,0,6.87,-10.54,7.37,-10.71
105,2012,1,3,4,30,6.22,-10.66,6.69,-10.83
106,2012,1,3,5,0,5.99,-10.79,6.5200000000000005,-10.96
107,2012,1,3,5,30,5.8,-10.91,6.33,-11.07
108,2012,1,3,6,0,5.37,-10.95,5.8100000000000005,-11.1
109,2012,1,3,6,30,5.32,-11.06,5.82,-11.21
110,2012,1,3,7,0,5.4,-11.13,5.88,-11.28
111,2012,1,3,7,30,4.94,-11.16,5.44,-11.31
112,2012,1,3,8,0,4.32,-11.01,4.68,-11.17
113,2012,1,3,8,30,3.92,-10.83,3.98,-11.02
114,2012,1,3,9,0,3.3000000000000003,-10.4,3.34,-10.59
115,2012,1,3,9,30,2.81,-9.88,2.84,-10.08
116,2012,1,3,10,0,2.75,-9.34,2.78,-9.54
117,2012,1,3,10,30,3.37,-8.790000000000001,3.4,-9.0
118,2012,1,3,11,0,3.47,-8.21,3.52,-8.42
119,2012,1,3,11,30,3.65,-7.6,3.7,-7.81
120,2012,1,3,12,0,3.64,-7.0200000000000005,3.69,-7.23
121,2012,1,3,12,30,3.82,-6.48,3.88,-6.7
122,2012,1,3,13,0,3.31,-5.99,3.35,-6.2
123,2012,1,3,13,30,3.56,-5.5200000000000005,3.61,-5.74
124,2012,1,3,14,0,4.03,-5.12,4.09,-5.34
125,2012,1,3,14,30,4.47,-4.75,4.54,-4.97
126,2012,1,3,15,0,4.53,-4.53,4.61,-4.74
127,2012,1,3,15,30,4.98,-4.28,5.07,-4.49
128,2012,1,3,16,0,5.64,-4.24,5.88,-4.44
129,2012,1,3,16,30,6.36,-4.25,6.73,-4.42
130,2012,1,3,17,0,6.96,-4.45,7.49,-4.55
131,2012,1,3,17,30,7.57,-4.62,8.21,-4.7
132,2012,1,3,18,0,8.09,-4.75,8.83,-4.84
133,2012,1,3,18,30,8.22,-4.78,8.94,-4.88
134,2012,1,3,19,0,8.540000000000001,-4.79,9.3,-4.9
135,2012,1,3,19,30,8.59,-4.84,9.42,-4.94
136,2012,1,3,20,0,8.67,-4.73,9.44,-4.83
137,2012,1,3,20,30,8.76,-4.53,9.5,-4.65
138,2012,1,3,21,0,9.04,-4.34,9.7,-4.48
139,2012,1,3,21,30,9.0,-4.21,9.69,-4.3500000000000005
140,2012,1,3,22,0,9.24,-3.96,9.95,-4.11
141,2012,1,3,22,30,9.23,-3.78,9.95,-3.93
142,2012,1,3,23,0,9.25,-3.72,9.96,-3.86
143,2012,1,3,23,30,9.41,-3.72,10.13,-3.87
144,2012,1,4,0,0,9.81,-3.65,10.51,-3.79
145,2012,1,4,0,30,9.56,-3.48,10.33,-3.62
146,2012,1,4,1,0,9.46,-3.41,10.31,-3.54
147,2012,1,4,1,30,9.76,-3.34,10.64,-3.45
148,2012,1,4,2,0,10.35,-3.22,11.21,-3.3200000000000003
149,2012,1,4,2,30,10.51,-3.11,11.35,-3.21
150,2012,1,4,3,0,9.93,-2.92,10.77,-3.01
151,2012,1,4,3,30,10.02,-2.75,10.86,-2.83
152,2012,1,4,4,0,9.56,-2.61,10.39,-2.71
153,2012,1,4,4,30,9.21,-2.54,10.0,-2.65
154,2012,1,4,5,0,9.44,-2.39,10.16,-2.51
155,2012,1,4,5,30,8.67,-2.22,9.41,-2.34
156,2012,1,4,6,0,8.38,-2.14,9.16,-2.24
157,2012,1,4,6,30,8.76,-2.08,9.65,-2.16
158,2012,1,4,7,0,9.49,-2.14,10.49,-2.17
159,2012,1,4,7,30,9.67,-2.26,10.84,-2.21
160,2012,1,4,8,0,8.950000000000001,-2.45,10.02,-2.42
161,2012,1,4,8,30,8.870000000000001,-1.94,9.45,-2.06
162,2012,1,4,9,0,6.74,-1.4,7.74,-1.55
163,2012,1,4,9,30,5.75,-0.91,5.92,-1.1
164,2012,1,4,10,0,5.43,-0.36,5.51,-0.56
165,2012,1,4,10,30,5.79,0.14,5.8500000000000005,-0.06
166,2012,1,4,11,0,5.2700000000000005,0.76,5.33,0.56
167,2012,1,4,11,30,4.95,1.41,5.01,1.2
168,2012,1,4,12,0,5.32,2.02,5.39,1.81
169,2012,1,4,12,30,5.3500000000000005,2.59,5.43,2.38
170,2012,1,4,13,0,5.9,3.0700000000000003,5.98,2.86
171,2012,1,4,13,30,6.26,3.43,6.36,3.22
172,2012,1,4,14,0,6.49,3.65,6.6000000000000005,3.44
173,2012,1,4,14,30,6.5600000000000005,3.77,6.69,3.56
174,2012,1,4,15,0,6.74,3.82,7.12,3.63
175,2012,1,4,15,30,7.36,3.7,7.9,3.53
176,2012,1,4,16,0,8.24,3.38,8.82,3.22
177,2012,1,4,16,30,8.870000000000001,2.94,9.68,2.85
178,2012,1,4,17,0,9.05,2.27,10.07,2.29
179,2012,1,4,17,30,9.34,1.72,10.54,1.77
180,2012,1,4,18,0,10.07,1.54,11.26,1.58
181,2012,1,4,18,30,9.85,1.22,11.0,1.29
182,2012,1,4,19,0,9.91,0.78,11.22,0.88
183,2012,1,4,19,30,10.12,0.34,11.56,0.51
184,2012,1,4,20,0,9.68,0.09,11.05,0.3
185,2012,1,4,20,30,8.9,-0.17,10.2,-0.05
186,2012,1,4,21,0,8.4,-0.62,9.81,-0.41
187,2012,1,4,21,30,8.14,-0.7000000000000001,9.47,-0.52
188,2012,1,4,22,0,7.78,-0.71,8.97,-0.59
189,2012,1,4,22,30,7.24,-1.0,8.46,-0.85
190,2012,1,4,23,0,7.29,-1.11,8.49,-0.8
191,2012,1,4,23,30,6.9,-1.16,8.05,-0.8
192,2012,1,5,0,0,6.2,-1.22,7.35,-0.8200000000000001
193,2012,1,5,0,30,5.94,-1.04,6.96,-0.6
194,2012,1,5,1,0,5.49,-0.94,6.34,-0.45
195,2012,1,5,1,30,5.29,-0.75,5.96,-0.28
196,2012,1,5,2,0,5.32,-0.51,5.67,-0.13
197,2012,1,5,2,30,4.84,-0.61,5.23,-0.01
198,2012,1,5,3,0,4.68,-0.44,5.09,0.32
199,2012,1,5,3,30,4.98,-0.44,5.37,0.46
200,2012,1,5,4,0,5.5,-0.32,5.8500000000000005,0.59
201,2012,1,5,4,30,6.54,-0.5,7.0200000000000005,0.43
202,2012,1,5,5,0,6.88,-0.02,7.37,1.02
203,2012,1,5,5,30,7.55,-0.17,7.99,0.92
204,2012,1,5,6,0,7.7,-0.7000000000000001,8.620000000000001,0.32
205,2012,1,5,6,30,7.74,-0.92,9.05,-0.03
206,2012,1,5,7,0,7.69,-0.86,9.02,0.18
207,2012,1,5,7,30,7.77,-0.91,9.21,0.11
208,2012,1,5,8,0,7.23,-0.77,8.61,-0.02
209,2012,1,5,8,30,7.0,0.37,7.78,0.63
210,2012,1,5,9,0,6.86,1.28,7.61,1.42
211,2012,1,5,9,30,5.5600000000000005,2.3000000000000003,6.67,2.32
212,2012,1,5,10,0,5.11,3.22,5.7700000000000005,3.1
213,2012,1,5,10,30,5.14,4.17,5.4,4.01
214,2012,1,5,11,0,5.55,4.99,5.66,4.8
215,2012,1,5,11,30,6.0600000000000005,5.64,6.16,5.45
