,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.69,10.06,14.73,10.02
1,2012,1,1,0,30,14.52,10.0,15.53,9.94
2,2012,1,1,1,0,14.49,9.2,15.69,9.23
3,2012,1,1,1,30,15.16,9.11,16.34,9.14
4,2012,1,1,2,0,14.25,8.74,15.42,8.81
5,2012,1,1,2,30,13.79,8.57,15.1,8.71
6,2012,1,1,3,0,13.31,8.540000000000001,14.75,8.700000000000001
7,2012,1,1,3,30,13.75,8.6,15.1,8.67
8,2012,1,1,4,0,13.03,8.35,14.27,8.370000000000001
9,2012,1,1,4,30,13.02,7.63,14.16,7.6
10,2012,1,1,5,0,14.32,6.9,15.34,6.78
11,2012,1,1,5,30,14.72,5.44,15.72,5.29
12,2012,1,1,6,0,11.1,4.66,12.09,4.5200000000000005
13,2012,1,1,6,30,10.46,4.0600000000000005,11.02,3.86
14,2012,1,1,7,0,14.24,3.17,14.8,2.97
15,2012,1,1,7,30,13.92,2.66,14.68,2.5
16,2012,1,1,8,0,14.76,2.49,15.38,2.32
17,2012,1,1,8,30,13.48,2.75,14.08,2.56
18,2012,1,1,9,0,13.56,2.91,13.92,2.7
19,2012,1,1,9,30,14.23,3.06,14.58,2.85
20,2012,1,1,10,0,14.51,3.17,14.82,2.95
21,2012,1,1,10,30,14.49,3.37,14.8,3.14
22,2012,1,1,11,0,14.31,3.47,14.59,3.24
23,2012,1,1,11,30,14.06,3.65,14.35,3.43
24,2012,1,1,12,0,13.68,3.87,13.96,3.65
25,2012,1,1,12,30,13.21,4.08,13.49,3.85
26,2012,1,1,13,0,13.43,4.26,13.7,4.04
27,2012,1,1,13,30,12.76,4.43,13.04,4.21
28,2012,1,1,14,0,12.82,4.5200000000000005,13.13,4.3
29,2012,1,1,14,30,13.22,4.5200000000000005,13.53,4.3
30,2012,1,1,15,0,13.1,4.42,13.43,4.21
31,2012,1,1,15,30,11.96,4.22,12.36,4.0200000000000005
32,2012,1,1,16,0,11.04,3.89,11.69,3.72
33,2012,1,1,16,30,10.58,3.63,11.37,3.51
34,2012,1,1,17,0,10.69,3.25,11.73,3.2
35,2012,1,1,17,30,11.45,3.06,12.45,3.02
36,2012,1,1,18,0,11.0,2.67,12.08,2.66
37,2012,1,1,18,30,10.4,2.34,11.2,2.28
38,2012,1,1,19,0,12.76,2.18,14.18,2.18
39,2012,1,1,19,30,10.18,1.52,11.51,1.51
40,2012,1,1,20,0,12.83,1.73,13.7,1.65
41,2012,1,1,20,30,11.27,1.22,12.41,1.23
42,2012,1,1,21,0,12.03,0.77,13.16,0.71
43,2012,1,1,21,30,10.29,0.28,11.37,0.24
44,2012,1,1,22,0,14.02,0.19,15.02,0.08
45,2012,1,1,22,30,10.43,-0.12,11.24,-0.21
46,2012,1,1,23,0,9.94,-0.88,11.31,-0.9
47,2012,1,1,23,30,15.01,-0.79,16.06,-0.94
48,2012,1,2,0,0,8.33,-1.23,9.22,-1.35
49,2012,1,2,0,30,7.98,-1.65,8.89,-1.75
50,2012,1,2,1,0,9.17,-1.84,9.88,-1.98
51,2012,1,2,1,30,13.85,-1.92,14.51,-2.09
52,2012,1,2,2,0,8.86,-2.17,9.58,-2.32
53,2012,1,2,2,30,12.39,-2.54,13.1,-2.71
54,2012,1,2,3,0,12.6,-2.71,13.36,-2.88
55,2012,1,2,3,30,9.09,-2.84,9.56,-3.02
56,2012,1,2,4,0,12.51,-3.16,13.14,-3.35
57,2012,1,2,4,30,12.41,-3.4,13.01,-3.59
58,2012,1,2,5,0,13.08,-3.59,13.72,-3.78
59,2012,1,2,5,30,10.95,-3.66,11.44,-3.85
60,2012,1,2,6,0,8.620000000000001,-3.5500000000000003,8.94,-3.75
61,2012,1,2,6,30,12.11,-4.12,12.58,-4.3100000000000005
62,2012,1,2,7,0,13.07,-4.3500000000000005,13.64,-4.55
63,2012,1,2,7,30,13.24,-4.5,13.83,-4.7
64,2012,1,2,8,0,11.43,-4.43,11.84,-4.64
65,2012,1,2,8,30,14.33,-4.6000000000000005,14.71,-4.8100000000000005
66,2012,1,2,9,0,15.08,-4.63,15.47,-4.8500000000000005
67,2012,1,2,9,30,14.83,-4.55,15.2,-4.78
68,2012,1,2,10,0,14.63,-4.41,14.99,-4.65
69,2012,1,2,10,30,14.45,-4.32,14.8,-4.5600000000000005
70,2012,1,2,11,0,14.64,-4.24,14.98,-4.48
71,2012,1,2,11,30,14.34,-4.19,14.67,-4.42
72,2012,1,2,12,0,14.14,-4.16,14.46,-4.4
73,2012,1,2,12,30,14.64,-4.12,14.96,-4.36
74,2012,1,2,13,0,14.21,-4.08,14.55,-4.32
75,2012,1,2,13,30,13.81,-4.28,14.13,-4.5200000000000005
76,2012,1,2,14,0,13.77,-4.2700000000000005,14.11,-4.5
77,2012,1,2,14,30,13.46,-4.37,13.78,-4.6000000000000005
78,2012,1,2,15,0,13.31,-4.44,13.64,-4.67
