,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.29,5.33,13.67,5.38
1,2012,1,1,0,30,12.2,5.24,13.56,5.29
2,2012,1,1,1,0,12.35,5.14,13.72,5.19
3,2012,1,1,1,30,12.78,5.17,14.14,5.22
4,2012,1,1,2,0,12.99,5.15,14.33,5.2
5,2012,1,1,2,30,11.65,4.82,12.89,4.83
6,2012,1,1,3,0,10.86,4.65,12.21,4.71
7,2012,1,1,3,30,11.33,4.68,12.63,4.71
8,2012,1,1,4,0,11.64,4.41,12.88,4.39
9,2012,1,1,4,30,11.05,3.89,12.17,3.79
10,2012,1,1,5,0,11.45,3.03,12.48,2.88
11,2012,1,1,5,30,11.57,2.21,12.47,2.07
12,2012,1,1,6,0,12.75,2.4,13.5,2.24
13,2012,1,1,6,30,13.5,2.24,14.13,2.04
14,2012,1,1,7,0,14.32,1.62,14.93,1.44
15,2012,1,1,7,30,12.04,0.84,13.86,0.66
16,2012,1,1,8,0,13.16,0.61,13.56,0.42
17,2012,1,1,8,30,13.32,1.25,14.23,1.05
18,2012,1,1,9,0,14.92,1.16,15.5,0.95
19,2012,1,1,9,30,15.7,0.94,16.2,0.72
20,2012,1,1,10,0,15.75,0.72,16.22,0.5
21,2012,1,1,10,30,15.29,0.62,15.75,0.39
22,2012,1,1,11,0,15.34,0.61,15.81,0.38
23,2012,1,1,11,30,15.41,0.68,15.85,0.45
24,2012,1,1,12,0,15.2,0.79,15.64,0.56
25,2012,1,1,12,30,14.56,0.87,14.98,0.65
26,2012,1,1,13,0,14.54,0.94,14.98,0.71
27,2012,1,1,13,30,15.15,0.97,15.61,0.74
28,2012,1,1,14,0,15.69,0.95,16.15,0.73
29,2012,1,1,14,30,15.32,0.89,15.81,0.67
30,2012,1,1,15,0,15.04,0.7000000000000001,15.57,0.49
31,2012,1,1,15,30,14.94,0.49,15.49,0.29
32,2012,1,1,16,0,14.17,0.25,14.82,0.05
33,2012,1,1,16,30,13.39,0.0,14.11,-0.18
34,2012,1,1,17,0,12.96,-0.24,13.73,-0.42
35,2012,1,1,17,30,12.14,-0.5,12.86,-0.68
36,2012,1,1,18,0,11.78,-0.74,12.48,-0.91
37,2012,1,1,18,30,16.44,-1.01,17.27,-1.21
38,2012,1,1,19,0,15.66,-1.54,16.38,-1.73
39,2012,1,1,19,30,12.28,-1.92,12.8,-2.12
40,2012,1,1,20,0,14.95,-2.32,15.73,-2.51
41,2012,1,1,20,30,15.25,-2.72,16.03,-2.91
42,2012,1,1,21,0,13.16,-3.0,13.88,-3.19
43,2012,1,1,21,30,14.82,-3.28,15.54,-3.47
44,2012,1,1,22,0,10.09,-3.34,10.57,-3.53
45,2012,1,1,22,30,13.87,-3.74,14.45,-3.94
46,2012,1,1,23,0,13.34,-3.93,13.87,-4.14
47,2012,1,1,23,30,12.5,-4.07,13.04,-4.2700000000000005
48,2012,1,2,0,0,12.35,-4.21,12.86,-4.41
49,2012,1,2,0,30,11.48,-4.33,12.0,-4.54
50,2012,1,2,1,0,11.38,-4.42,11.91,-4.62
51,2012,1,2,1,30,12.02,-4.5600000000000005,12.49,-4.7700000000000005
52,2012,1,2,2,0,12.3,-4.73,12.75,-4.94
53,2012,1,2,2,30,12.98,-4.91,13.46,-5.12
54,2012,1,2,3,0,12.85,-5.09,13.31,-5.3100000000000005
55,2012,1,2,3,30,13.03,-5.39,13.5,-5.6000000000000005
56,2012,1,2,4,0,13.18,-5.65,13.65,-5.86
57,2012,1,2,4,30,12.99,-5.88,13.44,-6.09
58,2012,1,2,5,0,13.2,-6.13,13.63,-6.34
59,2012,1,2,5,30,13.01,-6.43,13.41,-6.640000000000001
60,2012,1,2,6,0,13.38,-6.68,13.79,-6.890000000000001
61,2012,1,2,6,30,13.23,-6.86,13.65,-7.08
62,2012,1,2,7,0,13.28,-7.0600000000000005,13.7,-7.27
63,2012,1,2,7,30,13.0,-7.28,13.44,-7.5
64,2012,1,2,8,0,12.96,-7.54,13.37,-7.76
65,2012,1,2,8,30,13.08,-7.65,13.49,-7.87
66,2012,1,2,9,0,12.9,-7.72,13.29,-7.94
67,2012,1,2,9,30,12.97,-7.78,13.34,-8.0
68,2012,1,2,10,0,12.59,-7.77,12.96,-7.99
69,2012,1,2,10,30,12.76,-7.66,13.1,-7.9
70,2012,1,2,11,0,12.84,-7.53,13.18,-7.76
71,2012,1,2,11,30,12.63,-7.48,12.97,-7.72
72,2012,1,2,12,0,12.73,-7.41,13.07,-7.65
