,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.29,6.34,12.74,6.54
1,2012,1,1,0,30,11.05,6.140000000000001,12.49,6.33
2,2012,1,1,1,0,10.38,5.64,11.63,5.72
3,2012,1,1,1,30,9.63,4.63,10.59,4.55
4,2012,1,1,2,0,10.22,3.69,11.31,3.53
5,2012,1,1,2,30,11.01,2.78,11.97,2.68
6,2012,1,1,3,0,11.51,2.5500000000000003,12.35,2.4
7,2012,1,1,3,30,12.63,2.53,13.29,2.35
8,2012,1,1,4,0,13.18,2.48,13.82,2.29
9,2012,1,1,4,30,13.66,1.88,14.38,1.72
10,2012,1,1,5,0,13.43,1.79,14.13,1.62
11,2012,1,1,5,30,14.32,2.01,15.03,1.83
12,2012,1,1,6,0,14.4,1.92,15.28,1.76
13,2012,1,1,6,30,14.92,1.33,15.81,1.16
14,2012,1,1,7,0,15.37,0.6,16.27,0.43
15,2012,1,1,7,30,15.51,-0.05,16.39,-0.22
16,2012,1,1,8,0,15.24,-0.5,16.1,-0.67
17,2012,1,1,8,30,15.63,-0.49,16.32,-0.67
18,2012,1,1,9,0,13.98,-0.39,14.59,-0.59
19,2012,1,1,9,30,14.55,-0.3,15.04,-0.51
20,2012,1,1,10,0,14.61,-0.08,15.05,-0.29
21,2012,1,1,10,30,14.61,0.15,15.05,-0.07
22,2012,1,1,11,0,14.67,0.36,15.12,0.14
23,2012,1,1,11,30,15.23,0.45,15.67,0.22
24,2012,1,1,12,0,14.85,0.59,15.29,0.36
25,2012,1,1,12,30,14.75,0.84,15.21,0.61
26,2012,1,1,13,0,14.66,1.04,15.12,0.81
27,2012,1,1,13,30,14.7,1.26,15.15,1.03
28,2012,1,1,14,0,15.13,1.39,15.6,1.17
29,2012,1,1,14,30,15.27,1.44,15.76,1.23
30,2012,1,1,15,0,15.02,1.43,15.53,1.21
31,2012,1,1,15,30,14.67,1.35,15.23,1.14
32,2012,1,1,16,0,13.99,1.15,14.71,0.96
33,2012,1,1,16,30,13.28,0.8300000000000001,14.14,0.68
34,2012,1,1,17,0,13.17,0.55,14.05,0.41
35,2012,1,1,17,30,13.09,0.2,14.0,0.07
36,2012,1,1,18,0,14.48,-0.1,15.54,-0.22
