,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.55,4.89,12.91,5.0200000000000005
1,2012,1,1,0,30,11.18,4.86,12.51,4.99
2,2012,1,1,1,0,11.04,4.8,12.38,4.96
3,2012,1,1,1,30,11.29,4.72,12.59,4.88
4,2012,1,1,2,0,10.85,4.5,12.11,4.7
5,2012,1,1,2,30,11.34,4.46,12.57,4.66
6,2012,1,1,3,0,11.18,4.62,12.44,4.76
7,2012,1,1,3,30,9.3,4.3,10.61,4.4
8,2012,1,1,4,0,9.58,4.33,10.78,4.3100000000000005
9,2012,1,1,4,30,9.93,4.03,10.98,3.94
10,2012,1,1,5,0,10.32,3.29,11.24,3.12
11,2012,1,1,5,30,12.16,2.43,12.85,2.27
12,2012,1,1,6,0,12.34,2.2,12.98,2.04
13,2012,1,1,6,30,12.75,1.97,13.33,1.79
14,2012,1,1,7,0,12.99,1.84,13.61,1.66
15,2012,1,1,7,30,13.82,1.69,14.44,1.5
16,2012,1,1,8,0,13.74,1.88,14.4,1.69
17,2012,1,1,8,30,14.78,1.5,15.42,1.31
18,2012,1,1,9,0,14.03,1.16,14.58,0.95
19,2012,1,1,9,30,14.81,0.96,15.28,0.74
20,2012,1,1,10,0,15.12,0.62,15.56,0.4
21,2012,1,1,10,30,14.93,0.4,15.37,0.18
22,2012,1,1,11,0,14.95,0.36,15.4,0.13
23,2012,1,1,11,30,14.8,0.42,15.25,0.19
24,2012,1,1,12,0,14.72,0.55,15.16,0.32
25,2012,1,1,12,30,14.8,0.61,15.24,0.37
26,2012,1,1,13,0,14.91,0.7000000000000001,15.35,0.47
27,2012,1,1,13,30,15.34,0.6900000000000001,15.81,0.47
28,2012,1,1,14,0,15.3,0.67,15.78,0.44
29,2012,1,1,14,30,15.8,0.53,16.31,0.31
30,2012,1,1,15,0,15.59,0.46,16.09,0.25
31,2012,1,1,15,30,15.64,0.16,16.17,-0.05
32,2012,1,1,16,0,15.27,-0.27,15.88,-0.47
33,2012,1,1,16,30,15.05,-0.5,15.76,-0.6900000000000001
34,2012,1,1,17,0,14.93,-0.76,15.63,-0.96
35,2012,1,1,17,30,12.79,-0.97,13.37,-1.17
36,2012,1,1,18,0,10.94,-1.21,11.65,-1.4
37,2012,1,1,18,30,11.7,-1.54,12.47,-1.72
