,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.32,4.8500000000000005,11.28,4.69
1,2012,1,1,0,30,9.6,3.86,10.59,3.69
2,2012,1,1,1,0,10.7,3.0,11.67,2.89
3,2012,1,1,1,30,11.71,2.6,12.57,2.47
4,2012,1,1,2,0,13.08,2.52,13.73,2.34
5,2012,1,1,2,30,13.36,2.34,13.94,2.16
6,2012,1,1,3,0,12.63,0.5,13.03,0.33
7,2012,1,1,3,30,12.92,2.06,13.52,1.88
8,2012,1,1,4,0,13.25,2.02,13.9,1.84
9,2012,1,1,4,30,14.26,2.0,14.96,1.81
10,2012,1,1,5,0,14.23,1.62,15.02,1.45
11,2012,1,1,5,30,14.36,1.15,15.21,0.98
12,2012,1,1,6,0,15.16,0.51,16.04,0.34
13,2012,1,1,6,30,14.46,-0.06,15.36,-0.22
14,2012,1,1,7,0,14.75,-0.55,15.67,-0.7000000000000001
15,2012,1,1,7,30,14.4,-0.89,15.34,-1.04
16,2012,1,1,8,0,13.98,-1.15,14.88,-1.3
17,2012,1,1,8,30,14.61,-1.1,15.29,-1.28
18,2012,1,1,9,0,13.55,-0.8200000000000001,14.22,-1.01
19,2012,1,1,9,30,14.5,-0.6,14.95,-0.81
20,2012,1,1,10,0,14.58,-0.4,14.98,-0.62
21,2012,1,1,10,30,14.41,-0.2,14.78,-0.43
22,2012,1,1,11,0,14.14,0.14,14.5,-0.08
23,2012,1,1,11,30,13.84,0.49,14.21,0.27
24,2012,1,1,12,0,13.55,0.75,13.91,0.53
25,2012,1,1,12,30,13.85,0.98,14.21,0.76
26,2012,1,1,13,0,13.95,1.15,14.33,0.93
27,2012,1,1,13,30,13.87,1.36,14.26,1.13
28,2012,1,1,14,0,14.15,1.5,14.55,1.28
29,2012,1,1,14,30,14.51,1.6,14.94,1.38
30,2012,1,1,15,0,14.52,1.61,14.97,1.4
31,2012,1,1,15,30,13.43,1.55,13.93,1.35
32,2012,1,1,16,0,12.14,1.37,12.83,1.2
33,2012,1,1,16,30,12.17,1.08,13.07,0.95
34,2012,1,1,17,0,11.51,0.68,12.52,0.59
35,2012,1,1,17,30,12.2,0.44,13.19,0.35
36,2012,1,1,18,0,12.18,0.2,13.17,0.11
37,2012,1,1,18,30,17.75,-0.01,18.82,-0.15
38,2012,1,1,19,0,12.07,-0.59,12.97,-0.72
39,2012,1,1,19,30,9.98,-0.93,10.9,-1.03
40,2012,1,1,20,0,13.71,-1.04,14.81,-1.17
41,2012,1,1,20,30,12.49,-1.27,13.46,-1.42
42,2012,1,1,21,0,10.11,-1.67,11.0,-1.81
43,2012,1,1,21,30,11.09,-1.84,12.07,-1.98
44,2012,1,1,22,0,13.96,-2.26,14.89,-2.43
45,2012,1,1,22,30,12.26,-2.49,12.92,-2.67
46,2012,1,1,23,0,10.72,-2.89,11.44,-3.0700000000000003
47,2012,1,1,23,30,14.09,-3.12,14.82,-3.3000000000000003
48,2012,1,2,0,0,9.0,-3.22,9.69,-3.4
49,2012,1,2,0,30,12.99,-3.76,13.58,-3.94
50,2012,1,2,1,0,13.8,-4.12,14.52,-4.3100000000000005
51,2012,1,2,1,30,14.84,-4.34,15.56,-4.53
52,2012,1,2,2,0,10.89,-4.3500000000000005,11.41,-4.54
53,2012,1,2,2,30,14.18,-4.62,14.83,-4.8100000000000005
54,2012,1,2,3,0,12.84,-4.7700000000000005,13.5,-4.96
55,2012,1,2,3,30,12.9,-4.93,13.55,-5.12
56,2012,1,2,4,0,12.89,-5.07,13.52,-5.26
57,2012,1,2,4,30,12.24,-5.19,12.88,-5.38
58,2012,1,2,5,0,12.0,-5.33,12.65,-5.51
59,2012,1,2,5,30,12.09,-5.46,12.76,-5.64
60,2012,1,2,6,0,11.93,-5.58,12.59,-5.7700000000000005
61,2012,1,2,6,30,12.2,-5.74,12.85,-5.93
62,2012,1,2,7,0,12.58,-5.95,13.22,-6.140000000000001
63,2012,1,2,7,30,12.92,-6.16,13.54,-6.36
64,2012,1,2,8,0,12.56,-6.34,13.14,-6.54
65,2012,1,2,8,30,14.38,-6.41,14.88,-6.62
66,2012,1,2,9,0,14.78,-6.49,15.23,-6.71
67,2012,1,2,9,30,15.37,-6.55,15.78,-6.78
68,2012,1,2,10,0,14.85,-6.55,15.24,-6.78
69,2012,1,2,10,30,14.93,-6.5,15.3,-6.73
70,2012,1,2,11,0,14.82,-6.43,15.17,-6.66
71,2012,1,2,11,30,14.17,-6.33,14.51,-6.5600000000000005
72,2012,1,2,12,0,13.82,-6.23,14.14,-6.47
73,2012,1,2,12,30,13.87,-6.15,14.21,-6.38
74,2012,1,2,13,0,13.75,-6.04,14.09,-6.2700000000000005
75,2012,1,2,13,30,13.57,-5.93,13.92,-6.16
76,2012,1,2,14,0,13.22,-5.82,13.56,-6.04
77,2012,1,2,14,30,13.0,-5.75,13.32,-5.98
78,2012,1,2,15,0,12.71,-5.76,13.03,-5.99
79,2012,1,2,15,30,12.15,-5.82,12.49,-6.03
80,2012,1,2,16,0,11.19,-5.92,11.59,-6.13
81,2012,1,2,16,30,10.31,-6.13,10.9,-6.3100000000000005
82,2012,1,2,17,0,10.14,-6.3100000000000005,10.74,-6.47
83,2012,1,2,17,30,8.950000000000001,-6.47,9.55,-6.63
