,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.79,5.2,13.27,5.29
1,2012,1,1,0,30,11.54,4.89,12.92,4.98
2,2012,1,1,1,0,11.27,4.57,12.56,4.65
3,2012,1,1,1,30,10.72,3.86,11.91,3.87
4,2012,1,1,2,0,9.92,2.79,10.95,2.7
5,2012,1,1,2,30,10.97,2.47,12.11,2.44
6,2012,1,1,3,0,12.73,2.48,13.51,2.33
7,2012,1,1,3,30,12.94,2.49,13.65,2.32
8,2012,1,1,4,0,14.05,2.19,14.72,2.0
9,2012,1,1,4,30,14.68,1.73,15.31,1.54
10,2012,1,1,5,0,14.54,1.6,15.19,1.41
11,2012,1,1,5,30,14.49,1.75,15.16,1.56
12,2012,1,1,6,0,14.94,1.61,15.63,1.42
13,2012,1,1,6,30,14.51,0.89,15.34,0.72
14,2012,1,1,7,0,15.03,0.08,15.9,-0.09
15,2012,1,1,7,30,15.74,-0.71,16.59,-0.87
16,2012,1,1,8,0,15.47,-1.14,16.27,-1.31
17,2012,1,1,8,30,15.43,-1.19,16.080000000000002,-1.38
18,2012,1,1,9,0,13.49,-1.27,14.03,-1.48
19,2012,1,1,9,30,14.27,-1.12,14.74,-1.34
20,2012,1,1,10,0,14.82,-1.0,15.28,-1.22
21,2012,1,1,10,30,15.57,-0.84,16.02,-1.06
22,2012,1,1,11,0,15.18,-0.68,15.63,-0.91
23,2012,1,1,11,30,15.71,-0.53,16.17,-0.76
24,2012,1,1,12,0,15.87,-0.43,16.31,-0.65
25,2012,1,1,12,30,15.38,-0.25,15.83,-0.48
26,2012,1,1,13,0,15.76,-0.13,16.23,-0.35
27,2012,1,1,13,30,15.7,0.01,16.18,-0.22
28,2012,1,1,14,0,15.9,0.09,16.39,-0.13
29,2012,1,1,14,30,15.48,0.15,15.98,-0.07
30,2012,1,1,15,0,14.93,0.03,15.47,-0.17
31,2012,1,1,15,30,13.68,-0.13,14.44,-0.31
32,2012,1,1,16,0,13.26,-0.42,13.97,-0.59
33,2012,1,1,16,30,11.2,-0.78,12.03,-0.93
34,2012,1,1,17,0,11.44,-1.13,12.21,-1.28
35,2012,1,1,17,30,12.32,-1.38,13.19,-1.54
36,2012,1,1,18,0,11.4,-1.74,12.3,-1.9
37,2012,1,1,18,30,11.13,-2.08,11.91,-2.25
38,2012,1,1,19,0,15.49,-2.51,16.28,-2.7
39,2012,1,1,19,30,13.43,-2.82,14.22,-3.01
40,2012,1,1,20,0,14.08,-3.16,14.79,-3.35
41,2012,1,1,20,30,13.58,-3.4,14.24,-3.59
42,2012,1,1,21,0,12.96,-3.65,13.56,-3.84
43,2012,1,1,21,30,13.28,-3.86,13.86,-4.0600000000000005
44,2012,1,1,22,0,13.72,-4.0600000000000005,14.28,-4.26
45,2012,1,1,22,30,13.13,-4.23,13.64,-4.44
46,2012,1,1,23,0,12.92,-4.39,13.43,-4.6000000000000005
47,2012,1,1,23,30,12.53,-4.55,13.01,-4.76
48,2012,1,2,0,0,12.64,-4.73,13.14,-4.93
