,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,14.08,10.71,15.31,10.76
1,2012,1,1,0,30,14.15,10.6,15.36,10.66
2,2012,1,1,1,0,13.47,10.23,14.69,10.26
3,2012,1,1,1,30,12.84,9.49,14.06,9.51
4,2012,1,1,2,0,11.98,8.92,13.18,9.0
5,2012,1,1,2,30,11.91,8.71,13.03,8.76
6,2012,1,1,3,0,10.6,8.21,11.69,8.23
7,2012,1,1,3,30,10.26,7.7,11.27,7.640000000000001
8,2012,1,1,4,0,13.28,6.2,14.27,6.0600000000000005
9,2012,1,1,4,30,11.74,5.18,12.77,5.05
10,2012,1,1,5,0,11.16,4.3,12.26,4.16
11,2012,1,1,5,30,9.64,3.84,10.88,3.72
12,2012,1,1,6,0,6.5200000000000005,3.3000000000000003,7.62,3.24
13,2012,1,1,6,30,5.68,2.82,6.75,2.74
14,2012,1,1,7,0,7.49,2.54,8.81,2.51
15,2012,1,1,7,30,9.09,2.56,10.39,2.47
16,2012,1,1,8,0,12.4,2.6,13.3,2.43
17,2012,1,1,8,30,12.56,2.71,13.8,2.51
18,2012,1,1,9,0,12.55,2.89,13.09,2.68
19,2012,1,1,9,30,12.38,3.0500000000000003,12.88,2.83
20,2012,1,1,10,0,11.92,3.18,12.4,2.96
21,2012,1,1,10,30,11.91,3.42,12.34,3.2
22,2012,1,1,11,0,11.66,3.69,12.05,3.47
23,2012,1,1,11,30,11.06,4.07,11.43,3.84
24,2012,1,1,12,0,10.22,4.44,10.55,4.22
25,2012,1,1,12,30,9.74,4.7700000000000005,10.07,4.54
26,2012,1,1,13,0,9.75,5.04,10.1,4.8100000000000005
27,2012,1,1,13,30,10.14,5.29,10.5,5.0600000000000005
28,2012,1,1,14,0,10.61,5.42,10.96,5.2
29,2012,1,1,14,30,10.19,5.55,10.55,5.34
30,2012,1,1,15,0,9.6,5.62,9.97,5.41
31,2012,1,1,15,30,8.6,5.58,8.99,5.38
32,2012,1,1,16,0,7.9,5.4,8.66,5.24
33,2012,1,1,16,30,9.57,5.1000000000000005,10.64,5.0200000000000005
34,2012,1,1,17,0,9.83,4.8,10.93,4.7700000000000005
35,2012,1,1,17,30,10.1,4.48,11.27,4.48
36,2012,1,1,18,0,10.61,3.99,11.99,4.03
37,2012,1,1,18,30,13.02,3.76,15.27,3.74
38,2012,1,1,19,0,7.38,2.69,8.5,2.69
39,2012,1,1,19,30,9.89,2.64,10.87,2.63
40,2012,1,1,20,0,8.05,1.77,9.2,1.82
41,2012,1,1,20,30,9.1,1.56,11.36,1.73
42,2012,1,1,21,0,9.95,1.59,11.38,1.58
43,2012,1,1,21,30,8.73,0.89,10.27,0.94
44,2012,1,1,22,0,8.25,0.5700000000000001,9.85,0.63
45,2012,1,1,22,30,7.17,0.13,8.66,0.17
46,2012,1,1,23,0,10.05,0.29,11.3,0.26
