,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.07,10.01,14.44,10.13
1,2012,1,1,0,30,13.73,9.85,15.05,9.94
2,2012,1,1,1,0,12.74,9.53,14.17,9.63
3,2012,1,1,1,30,12.64,9.45,14.07,9.54
4,2012,1,1,2,0,11.78,9.09,13.17,9.16
5,2012,1,1,2,30,12.24,8.65,13.64,8.71
6,2012,1,1,3,0,11.44,8.22,12.67,8.26
7,2012,1,1,3,30,9.38,7.390000000000001,10.59,7.4
8,2012,1,1,4,0,12.61,7.29,13.89,7.17
9,2012,1,1,4,30,14.37,5.68,15.49,5.54
10,2012,1,1,5,0,12.69,5.0600000000000005,13.51,4.87
11,2012,1,1,5,30,8.28,4.12,9.16,3.97
12,2012,1,1,6,0,12.05,3.2,13.01,3.08
13,2012,1,1,6,30,13.12,2.83,14.04,2.68
14,2012,1,1,7,0,12.6,2.46,13.56,2.32
15,2012,1,1,7,30,12.94,2.25,13.88,2.11
16,2012,1,1,8,0,13.16,2.21,13.94,2.04
17,2012,1,1,8,30,12.57,2.39,13.52,2.2
18,2012,1,1,9,0,13.79,2.47,14.25,2.27
19,2012,1,1,9,30,13.69,2.64,14.11,2.42
20,2012,1,1,10,0,13.64,2.72,14.04,2.5
21,2012,1,1,10,30,13.56,2.88,13.92,2.66
22,2012,1,1,11,0,12.7,3.1,13.03,2.88
23,2012,1,1,11,30,12.49,3.35,12.81,3.13
24,2012,1,1,12,0,12.45,3.67,12.78,3.44
25,2012,1,1,12,30,12.46,3.97,12.82,3.75
26,2012,1,1,13,0,13.34,4.23,13.68,4.01
27,2012,1,1,13,30,12.99,4.46,13.33,4.24
28,2012,1,1,14,0,12.3,4.59,12.65,4.37
29,2012,1,1,14,30,11.9,4.6000000000000005,12.27,4.39
30,2012,1,1,15,0,11.39,4.57,11.79,4.36
31,2012,1,1,15,30,10.75,4.51,11.21,4.3100000000000005
32,2012,1,1,16,0,9.99,4.33,10.69,4.17
33,2012,1,1,16,30,9.41,4.01,10.4,3.94
34,2012,1,1,17,0,10.78,3.85,11.79,3.8
35,2012,1,1,17,30,10.77,3.42,12.03,3.38
36,2012,1,1,18,0,10.05,2.84,11.37,2.83
37,2012,1,1,18,30,8.790000000000001,2.37,9.94,2.34
38,2012,1,1,19,0,10.17,2.2,11.26,2.17
39,2012,1,1,19,30,8.72,1.73,10.29,1.79
40,2012,1,1,20,0,8.99,1.34,10.54,1.33
41,2012,1,1,20,30,10.08,1.24,11.27,1.21
42,2012,1,1,21,0,8.71,0.65,10.72,0.7000000000000001
43,2012,1,1,21,30,9.6,0.24,10.97,0.24
44,2012,1,1,22,0,7.81,-0.15,9.2,-0.16
45,2012,1,1,22,30,9.68,-0.23,10.86,-0.31
46,2012,1,1,23,0,9.09,-0.55,10.27,-0.64
47,2012,1,1,23,30,7.91,-0.88,9.01,-0.95
48,2012,1,2,0,0,10.47,-1.16,11.77,-1.27
49,2012,1,2,0,30,11.06,-1.39,12.08,-1.54
50,2012,1,2,1,0,8.31,-1.65,9.19,-1.81
51,2012,1,2,1,30,12.91,-1.76,13.71,-1.92
52,2012,1,2,2,0,9.42,-2.0,10.11,-2.16
53,2012,1,2,2,30,8.97,-2.37,9.96,-2.52
54,2012,1,2,3,0,10.07,-2.51,10.83,-2.68
55,2012,1,2,3,30,10.86,-2.61,11.39,-2.78
56,2012,1,2,4,0,12.72,-3.0700000000000003,13.49,-3.25
57,2012,1,2,4,30,12.5,-3.3200000000000003,13.24,-3.5
58,2012,1,2,5,0,9.83,-3.44,10.35,-3.62
59,2012,1,2,5,30,13.17,-3.56,13.95,-3.74
60,2012,1,2,6,0,8.99,-3.66,9.46,-3.84
61,2012,1,2,6,30,12.58,-3.84,13.21,-4.0200000000000005
62,2012,1,2,7,0,11.87,-4.0600000000000005,12.65,-4.24
63,2012,1,2,7,30,12.38,-4.19,13.07,-4.38
64,2012,1,2,8,0,9.85,-4.19,10.65,-4.4
65,2012,1,2,8,30,14.7,-4.2,15.15,-4.41
66,2012,1,2,9,0,13.86,-4.16,14.27,-4.39
67,2012,1,2,9,30,13.77,-4.08,14.17,-4.3100000000000005
68,2012,1,2,10,0,13.39,-3.97,13.78,-4.2
69,2012,1,2,10,30,13.66,-3.88,14.03,-4.11
70,2012,1,2,11,0,13.62,-3.8,14.0,-4.04
71,2012,1,2,11,30,13.16,-3.78,13.54,-4.01
72,2012,1,2,12,0,13.09,-3.69,13.47,-3.93
73,2012,1,2,12,30,13.34,-3.64,13.72,-3.88
74,2012,1,2,13,0,13.22,-3.46,13.6,-3.7
75,2012,1,2,13,30,13.34,-3.43,13.71,-3.66
76,2012,1,2,14,0,13.53,-3.39,13.92,-3.62
77,2012,1,2,14,30,13.61,-3.45,14.01,-3.68
78,2012,1,2,15,0,13.35,-3.59,13.75,-3.81
79,2012,1,2,15,30,12.72,-3.7,13.12,-3.92
80,2012,1,2,16,0,11.61,-3.87,12.01,-4.08
81,2012,1,2,16,30,11.11,-4.17,11.63,-4.37
82,2012,1,2,17,0,11.08,-4.5200000000000005,11.84,-4.7
83,2012,1,2,17,30,8.700000000000001,-4.78,9.21,-4.96
84,2012,1,2,18,0,10.14,-5.04,11.03,-5.23
85,2012,1,2,18,30,12.15,-5.28,12.84,-5.47
86,2012,1,2,19,0,10.23,-5.45,10.81,-5.63
87,2012,1,2,19,30,8.15,-5.68,8.71,-5.87
88,2012,1,2,20,0,8.16,-5.88,8.83,-6.07
89,2012,1,2,20,30,10.75,-6.13,11.43,-6.32
90,2012,1,2,21,0,11.6,-6.33,12.26,-6.5200000000000005
91,2012,1,2,21,30,9.86,-6.45,10.53,-6.640000000000001
92,2012,1,2,22,0,6.88,-6.59,7.45,-6.7700000000000005
93,2012,1,2,22,30,6.76,-6.7700000000000005,7.38,-6.94
94,2012,1,2,23,0,7.68,-6.96,8.3,-7.140000000000001
95,2012,1,2,23,30,8.66,-7.12,9.3,-7.3
96,2012,1,3,0,0,7.83,-7.3,8.51,-7.48
97,2012,1,3,0,30,7.48,-7.45,8.2,-7.63
98,2012,1,3,1,0,6.83,-7.59,7.47,-7.76
99,2012,1,3,1,30,6.33,-7.77,7.1000000000000005,-7.95
100,2012,1,3,2,0,6.66,-7.95,7.33,-8.120000000000001
101,2012,1,3,2,30,4.5,-8.1,4.95,-8.27
102,2012,1,3,3,0,5.82,-8.32,6.55,-8.48
103,2012,1,3,3,30,5.7700000000000005,-8.43,6.43,-8.58
104,2012,1,3,4,0,5.14,-8.53,5.65,-8.68
105,2012,1,3,4,30,6.42,-8.8,7.07,-8.950000000000001
106,2012,1,3,5,0,6.25,-8.96,6.88,-9.11
107,2012,1,3,5,30,6.0200000000000005,-9.01,6.7,-9.14
108,2012,1,3,6,0,4.8100000000000005,-9.0,5.4,-9.12
109,2012,1,3,6,30,4.88,-8.92,5.5,-9.07
110,2012,1,3,7,0,5.13,-9.09,5.16,-9.24
111,2012,1,3,7,30,5.17,-9.13,5.43,-9.29
112,2012,1,3,8,0,4.0200000000000005,-9.18,4.25,-9.28
113,2012,1,3,8,30,2.82,-8.92,3.02,-9.08
114,2012,1,3,9,0,2.17,-8.33,2.22,-8.51
115,2012,1,3,9,30,2.14,-7.67,2.18,-7.87
116,2012,1,3,10,0,1.93,-7.04,1.96,-7.24
117,2012,1,3,10,30,2.35,-6.51,2.37,-6.71
118,2012,1,3,11,0,3.03,-5.96,3.0700000000000003,-6.18
119,2012,1,3,11,30,2.58,-5.32,2.62,-5.53
120,2012,1,3,12,0,3.27,-4.68,3.33,-4.9
121,2012,1,3,12,30,3.89,-4.1,3.96,-4.32
122,2012,1,3,13,0,3.37,-3.68,3.42,-3.9
123,2012,1,3,13,30,3.99,-3.23,4.05,-3.45
124,2012,1,3,14,0,4.24,-2.97,4.3,-3.18
125,2012,1,3,14,30,4.37,-2.68,4.44,-2.89
126,2012,1,3,15,0,4.94,-2.49,5.03,-2.7
127,2012,1,3,15,30,5.2,-2.35,5.32,-2.56
128,2012,1,3,16,0,5.68,-2.25,6.01,-2.44
129,2012,1,3,16,30,5.84,-2.21,6.36,-2.31
130,2012,1,3,17,0,6.7,-2.2,7.29,-2.22
131,2012,1,3,17,30,7.52,-2.24,8.3,-2.22
132,2012,1,3,18,0,7.52,-2.56,8.14,-2.56
133,2012,1,3,18,30,8.66,-3.0,9.53,-3.02
134,2012,1,3,19,0,9.2,-3.44,10.31,-3.42
135,2012,1,3,19,30,9.25,-3.64,10.32,-3.64
136,2012,1,3,20,0,9.11,-3.84,10.26,-3.8
137,2012,1,3,20,30,9.35,-3.76,10.42,-3.74
138,2012,1,3,21,0,9.15,-3.81,10.26,-3.76
139,2012,1,3,21,30,9.03,-3.76,10.12,-3.72
140,2012,1,3,22,0,8.93,-3.71,10.05,-3.67
141,2012,1,3,22,30,8.73,-3.69,9.89,-3.65
142,2012,1,3,23,0,8.700000000000001,-3.63,9.93,-3.5500000000000003
143,2012,1,3,23,30,9.21,-3.53,10.44,-3.44
144,2012,1,4,0,0,9.71,-3.4,10.99,-3.28
145,2012,1,4,0,30,9.99,-3.22,11.27,-3.1
146,2012,1,4,1,0,10.18,-2.95,11.48,-2.91
