,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,7.46,2.69,8.73,2.85
1,2012,1,1,0,30,7.75,2.7,9.03,2.83
2,2012,1,1,1,0,6.76,2.67,7.52,2.87
3,2012,1,1,1,30,5.08,2.24,6.23,2.41
4,2012,1,1,2,0,5.3100000000000005,2.24,6.19,2.26
5,2012,1,1,2,30,8.950000000000001,1.56,10.32,1.55
6,2012,1,1,3,0,13.19,1.45,14.06,1.34
7,2012,1,1,3,30,13.7,1.28,14.51,1.11
8,2012,1,1,4,0,13.92,0.88,14.73,0.72
9,2012,1,1,4,30,14.43,0.78,15.24,0.62
10,2012,1,1,5,0,14.08,0.79,14.89,0.62
11,2012,1,1,5,30,14.32,0.74,15.15,0.56
12,2012,1,1,6,0,14.19,0.37,15.05,0.19
13,2012,1,1,6,30,13.69,-0.19,14.58,-0.37
14,2012,1,1,7,0,13.79,-1.08,14.78,-1.25
15,2012,1,1,7,30,14.16,-1.86,15.17,-2.03
16,2012,1,1,8,0,14.55,-2.3000000000000003,15.51,-2.48
17,2012,1,1,8,30,15.0,-2.44,15.8,-2.63
18,2012,1,1,9,0,13.43,-2.46,14.14,-2.67
19,2012,1,1,9,30,14.52,-2.36,15.11,-2.57
20,2012,1,1,10,0,14.19,-2.22,14.75,-2.43
21,2012,1,1,10,30,14.47,-2.1,15.04,-2.32
22,2012,1,1,11,0,14.06,-1.93,14.61,-2.15
23,2012,1,1,11,30,14.19,-1.82,14.71,-2.05
24,2012,1,1,12,0,14.66,-1.74,15.18,-1.97
25,2012,1,1,12,30,14.58,-1.62,15.08,-1.85
26,2012,1,1,13,0,14.46,-1.53,14.97,-1.76
27,2012,1,1,13,30,14.18,-1.56,14.69,-1.78
28,2012,1,1,14,0,14.04,-1.55,14.56,-1.77
29,2012,1,1,14,30,14.05,-1.73,14.57,-1.95
30,2012,1,1,15,0,13.85,-1.91,14.4,-2.13
31,2012,1,1,15,30,13.1,-2.13,13.68,-2.35
32,2012,1,1,16,0,11.63,-2.42,12.28,-2.62
33,2012,1,1,16,30,12.32,-2.76,12.99,-2.95
34,2012,1,1,17,0,12.64,-3.03,13.35,-3.22
35,2012,1,1,17,30,13.22,-3.25,13.9,-3.45
36,2012,1,1,18,0,14.19,-3.56,14.9,-3.76
37,2012,1,1,18,30,14.69,-3.79,15.4,-3.99
38,2012,1,1,19,0,14.19,-4.05,14.92,-4.25
39,2012,1,1,19,30,13.82,-4.2700000000000005,14.5,-4.47
40,2012,1,1,20,0,14.15,-4.51,14.88,-4.71
