,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.03,10.07,11.11,10.04
1,2012,1,1,0,30,10.06,10.44,11.19,10.4
2,2012,1,1,1,0,10.12,10.41,11.43,10.51
3,2012,1,1,1,30,11.28,10.36,12.74,10.48
4,2012,1,1,2,0,11.62,10.08,13.31,10.25
5,2012,1,1,2,30,11.34,9.87,12.91,10.01
6,2012,1,1,3,0,10.65,9.47,12.06,9.5
7,2012,1,1,3,30,11.57,8.91,12.76,8.91
8,2012,1,1,4,0,11.7,8.44,12.85,8.41
9,2012,1,1,4,30,10.54,7.62,11.64,7.54
10,2012,1,1,5,0,9.78,6.32,10.99,6.21
11,2012,1,1,5,30,7.75,5.75,8.25,5.5600000000000005
12,2012,1,1,6,0,14.88,4.5600000000000005,16.01,4.4
13,2012,1,1,6,30,10.32,3.9,11.36,3.78
14,2012,1,1,7,0,10.46,3.35,11.6,3.22
15,2012,1,1,7,30,8.49,3.0700000000000003,9.65,3.0
16,2012,1,1,8,0,9.34,2.96,10.18,2.8000000000000003
17,2012,1,1,8,30,9.67,3.19,10.85,3.03
18,2012,1,1,9,0,10.44,3.47,10.92,3.26
19,2012,1,1,9,30,10.14,3.64,10.56,3.43
20,2012,1,1,10,0,10.03,3.92,10.43,3.7
21,2012,1,1,10,30,9.81,4.14,10.18,3.92
22,2012,1,1,11,0,9.85,4.41,10.21,4.19
23,2012,1,1,11,30,9.27,4.66,9.6,4.43
24,2012,1,1,12,0,9.39,4.95,9.72,4.73
25,2012,1,1,12,30,9.13,5.17,9.43,4.95
26,2012,1,1,13,0,9.12,5.4,9.43,5.18
27,2012,1,1,13,30,9.44,5.63,9.76,5.41
28,2012,1,1,14,0,9.74,5.82,10.08,5.61
29,2012,1,1,14,30,10.18,5.92,10.56,5.7
30,2012,1,1,15,0,10.26,5.94,10.67,5.74
31,2012,1,1,15,30,9.31,5.88,9.77,5.68
32,2012,1,1,16,0,7.6,5.69,8.28,5.54
33,2012,1,1,16,30,9.45,5.5200000000000005,10.3,5.44
34,2012,1,1,17,0,10.25,5.2700000000000005,11.37,5.23
35,2012,1,1,17,30,10.61,4.83,11.72,4.84
36,2012,1,1,18,0,9.0,4.26,10.03,4.29
37,2012,1,1,18,30,8.84,3.9,9.91,3.92
38,2012,1,1,19,0,14.88,3.91,15.73,3.82
39,2012,1,1,19,30,9.15,3.14,10.46,3.01
40,2012,1,1,20,0,7.73,2.52,8.92,2.47
41,2012,1,1,20,30,8.700000000000001,2.31,10.08,2.33
42,2012,1,1,21,0,8.82,2.08,10.33,2.1
43,2012,1,1,21,30,9.43,1.65,11.03,1.67
44,2012,1,1,22,0,8.5,1.14,9.62,1.1
45,2012,1,1,22,30,6.03,0.47,6.5,0.4
46,2012,1,1,23,0,7.34,0.26,8.24,0.24
47,2012,1,1,23,30,7.4,-0.15,8.65,-0.15
48,2012,1,2,0,0,10.0,-0.11,11.21,-0.18
49,2012,1,2,0,30,6.08,-0.37,6.8100000000000005,-0.45
50,2012,1,2,1,0,6.11,-1.03,6.87,-1.12
51,2012,1,2,1,30,8.05,-1.18,9.24,-1.22
52,2012,1,2,2,0,6.38,-1.38,7.38,-1.45
53,2012,1,2,2,30,6.09,-1.81,7.16,-1.89
54,2012,1,2,3,0,6.23,-2.02,7.42,-2.09
55,2012,1,2,3,30,5.67,-2.06,6.59,-2.17
56,2012,1,2,4,0,8.91,-2.39,9.9,-2.54
57,2012,1,2,4,30,6.97,-2.46,7.72,-2.61
