,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.84,2.88,13.43,3.0700000000000003
1,2012,1,1,0,30,11.98,2.93,13.58,3.15
2,2012,1,1,1,0,11.89,3.0,13.47,3.24
3,2012,1,1,1,30,11.66,3.0700000000000003,13.15,3.28
4,2012,1,1,2,0,11.78,3.03,13.13,3.26
5,2012,1,1,2,30,11.41,3.1,12.69,3.35
6,2012,1,1,3,0,11.29,3.11,12.33,3.31
7,2012,1,1,3,30,10.35,2.88,11.47,3.02
8,2012,1,1,4,0,10.08,2.85,11.38,3.03
9,2012,1,1,4,30,10.48,2.48,11.79,2.53
10,2012,1,1,5,0,10.5,1.54,11.44,1.48
11,2012,1,1,5,30,11.64,1.57,12.52,1.45
12,2012,1,1,6,0,12.89,1.4,13.62,1.23
13,2012,1,1,6,30,13.95,0.88,14.63,0.72
14,2012,1,1,7,0,14.36,0.6,15.03,0.45
15,2012,1,1,7,30,15.03,0.58,15.71,0.42
16,2012,1,1,8,0,15.09,0.6900000000000001,15.82,0.51
17,2012,1,1,8,30,15.31,0.31,16.03,0.13
18,2012,1,1,9,0,15.09,0.01,15.73,-0.19
19,2012,1,1,9,30,15.32,-0.32,15.81,-0.54
20,2012,1,1,10,0,15.99,-0.63,16.46,-0.85
21,2012,1,1,10,30,15.72,-0.98,16.16,-1.21
22,2012,1,1,11,0,15.41,-1.09,15.88,-1.32
23,2012,1,1,11,30,15.68,-1.1,16.14,-1.33
24,2012,1,1,12,0,15.94,-1.01,16.38,-1.24
25,2012,1,1,12,30,15.6,-0.95,16.04,-1.18
26,2012,1,1,13,0,15.27,-0.94,15.73,-1.18
27,2012,1,1,13,30,15.79,-1.06,16.27,-1.29
28,2012,1,1,14,0,15.48,-1.22,15.96,-1.45
29,2012,1,1,14,30,15.98,-1.32,16.48,-1.54
30,2012,1,1,15,0,16.06,-1.5,16.56,-1.72
31,2012,1,1,15,30,15.43,-1.77,15.95,-1.99
32,2012,1,1,16,0,15.05,-2.0,15.63,-2.21
33,2012,1,1,16,30,15.15,-2.24,15.81,-2.44
34,2012,1,1,17,0,13.28,-2.46,13.82,-2.66
35,2012,1,1,17,30,14.96,-2.79,15.56,-3.0
36,2012,1,1,18,0,14.76,-3.02,15.36,-3.22
37,2012,1,1,18,30,15.06,-3.2,15.69,-3.4
38,2012,1,1,19,0,14.07,-3.46,14.67,-3.66
39,2012,1,1,19,30,13.51,-3.68,14.06,-3.89
40,2012,1,1,20,0,12.7,-3.94,13.26,-4.14
41,2012,1,1,20,30,12.91,-4.04,13.45,-4.24
42,2012,1,1,21,0,12.86,-4.26,13.4,-4.47
43,2012,1,1,21,30,12.69,-4.48,13.25,-4.69
44,2012,1,1,22,0,12.32,-4.71,12.87,-4.92
45,2012,1,1,22,30,12.59,-4.86,13.11,-5.07
46,2012,1,1,23,0,12.52,-5.0,12.99,-5.21
47,2012,1,1,23,30,12.07,-5.15,12.55,-5.36
48,2012,1,2,0,0,12.43,-5.4,12.91,-5.61
49,2012,1,2,0,30,12.44,-5.62,12.89,-5.83
50,2012,1,2,1,0,11.8,-5.79,12.2,-6.01
51,2012,1,2,1,30,12.63,-5.99,13.05,-6.2
52,2012,1,2,2,0,12.34,-6.24,12.76,-6.45
53,2012,1,2,2,30,12.81,-6.33,13.24,-6.54
54,2012,1,2,3,0,10.46,-6.51,10.78,-6.73
55,2012,1,2,3,30,11.23,-6.84,11.56,-7.0600000000000005
56,2012,1,2,4,0,12.27,-7.05,12.67,-7.27
