,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.52,4.8,13.81,4.88
1,2012,1,1,0,30,12.04,4.87,13.36,4.98
2,2012,1,1,1,0,11.79,4.96,13.14,5.08
3,2012,1,1,1,30,11.42,4.86,12.76,4.94
4,2012,1,1,2,0,11.22,4.62,12.56,4.7
5,2012,1,1,2,30,10.71,4.34,12.03,4.43
6,2012,1,1,3,0,11.5,4.26,12.71,4.3500000000000005
7,2012,1,1,3,30,10.58,4.0600000000000005,11.81,4.13
8,2012,1,1,4,0,10.46,3.95,11.7,4.0200000000000005
9,2012,1,1,4,30,9.94,4.0200000000000005,11.0,4.01
10,2012,1,1,5,0,9.87,3.94,10.96,3.87
11,2012,1,1,5,30,10.3,3.5,11.26,3.37
12,2012,1,1,6,0,11.35,3.02,12.05,2.85
13,2012,1,1,6,30,12.9,2.66,13.52,2.48
14,2012,1,1,7,0,13.43,2.13,14.01,1.93
15,2012,1,1,7,30,13.62,1.91,14.2,1.72
16,2012,1,1,8,0,14.66,1.66,15.27,1.47
17,2012,1,1,8,30,11.65,1.01,12.39,0.81
18,2012,1,1,9,0,14.43,1.7,14.97,1.49
19,2012,1,1,9,30,14.97,1.53,15.46,1.31
20,2012,1,1,10,0,15.0,1.24,15.47,1.03
21,2012,1,1,10,30,15.54,1.14,15.96,0.91
22,2012,1,1,11,0,15.64,0.94,16.06,0.71
23,2012,1,1,11,30,15.56,0.76,15.97,0.54
24,2012,1,1,12,0,15.22,0.72,15.64,0.49
25,2012,1,1,12,30,15.47,0.78,15.9,0.55
26,2012,1,1,13,0,15.27,0.81,15.7,0.58
27,2012,1,1,13,30,15.45,0.81,15.88,0.58
28,2012,1,1,14,0,15.49,0.79,15.95,0.5700000000000001
29,2012,1,1,14,30,15.67,0.65,16.14,0.43
30,2012,1,1,15,0,15.39,0.53,15.88,0.31
31,2012,1,1,15,30,15.22,0.3,15.73,0.09
32,2012,1,1,16,0,15.61,-0.06,16.2,-0.27
33,2012,1,1,16,30,14.05,-0.37,14.75,-0.56
34,2012,1,1,17,0,15.16,-0.65,15.94,-0.8300000000000001
35,2012,1,1,17,30,15.82,-0.93,16.56,-1.12
36,2012,1,1,18,0,15.31,-1.18,15.92,-1.38
37,2012,1,1,18,30,13.6,-1.4,14.22,-1.59
38,2012,1,1,19,0,14.72,-1.69,15.4,-1.88
39,2012,1,1,19,30,14.16,-1.95,14.78,-2.14
40,2012,1,1,20,0,13.33,-2.24,14.0,-2.43
41,2012,1,1,20,30,14.37,-2.52,15.03,-2.72
42,2012,1,1,21,0,12.73,-2.75,13.29,-2.95
43,2012,1,1,21,30,12.87,-3.1,13.37,-3.31
44,2012,1,1,22,0,13.01,-3.28,13.44,-3.49
45,2012,1,1,22,30,12.26,-3.48,12.74,-3.69
46,2012,1,1,23,0,12.2,-3.61,12.67,-3.81
47,2012,1,1,23,30,12.09,-3.78,12.56,-3.99
48,2012,1,2,0,0,12.25,-3.91,12.73,-4.12
49,2012,1,2,0,30,12.56,-4.07,13.04,-4.2700000000000005
50,2012,1,2,1,0,12.65,-4.2700000000000005,13.13,-4.47
51,2012,1,2,1,30,12.43,-4.44,12.93,-4.65
52,2012,1,2,2,0,11.83,-4.54,12.29,-4.74
53,2012,1,2,2,30,12.82,-4.8,13.29,-5.0
54,2012,1,2,3,0,12.72,-4.99,13.19,-5.2
55,2012,1,2,3,30,11.74,-5.18,12.15,-5.39
56,2012,1,2,4,0,12.95,-5.4,13.39,-5.61
57,2012,1,2,4,30,12.52,-5.6000000000000005,12.94,-5.82
58,2012,1,2,5,0,13.27,-5.79,13.71,-6.01
59,2012,1,2,5,30,12.68,-5.98,13.08,-6.19
60,2012,1,2,6,0,11.16,-6.36,11.49,-6.58
61,2012,1,2,6,30,12.14,-6.47,12.5,-6.69
62,2012,1,2,7,0,13.06,-6.75,13.47,-6.97
63,2012,1,2,7,30,12.69,-7.0600000000000005,13.04,-7.28
64,2012,1,2,8,0,12.57,-7.29,12.93,-7.51
65,2012,1,2,8,30,12.58,-7.53,12.92,-7.75
66,2012,1,2,9,0,12.65,-7.66,12.98,-7.87
67,2012,1,2,9,30,12.77,-7.6,13.12,-7.82
68,2012,1,2,10,0,12.53,-7.59,12.86,-7.81
