,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.0,2.56,12.49,2.71
1,2012,1,1,0,30,10.46,2.5,11.97,2.67
2,2012,1,1,1,0,10.25,2.56,11.83,2.77
3,2012,1,1,1,30,10.28,2.6,11.89,2.84
4,2012,1,1,2,0,10.28,2.66,11.91,2.87
5,2012,1,1,2,30,10.33,2.7,12.06,2.96
6,2012,1,1,3,0,9.59,2.46,11.28,2.74
7,2012,1,1,3,30,10.76,2.67,12.29,2.95
8,2012,1,1,4,0,10.84,2.72,12.23,2.95
9,2012,1,1,4,30,10.99,2.76,12.31,2.93
10,2012,1,1,5,0,10.83,2.56,11.85,2.58
11,2012,1,1,5,30,9.96,1.45,10.88,1.42
12,2012,1,1,6,0,11.15,1.37,11.87,1.29
13,2012,1,1,6,30,11.63,1.39,12.36,1.21
14,2012,1,1,7,0,12.57,1.02,13.26,0.84
15,2012,1,1,7,30,13.38,0.98,14.1,0.8
16,2012,1,1,8,0,14.73,0.94,15.42,0.77
17,2012,1,1,8,30,14.6,0.87,15.25,0.68
18,2012,1,1,9,0,14.4,0.55,15.12,0.35
19,2012,1,1,9,30,15.71,0.61,16.240000000000002,0.4
20,2012,1,1,10,0,15.49,0.0,15.98,-0.22
21,2012,1,1,10,30,15.58,-0.54,16.03,-0.76
22,2012,1,1,11,0,16.26,-0.68,16.72,-0.91
23,2012,1,1,11,30,15.95,-0.81,16.38,-1.03
24,2012,1,1,12,0,15.38,-0.85,15.81,-1.08
25,2012,1,1,12,30,15.01,-0.85,15.43,-1.08
26,2012,1,1,13,0,15.12,-0.98,15.57,-1.2
27,2012,1,1,13,30,15.45,-1.11,15.88,-1.34
28,2012,1,1,14,0,15.27,-1.33,15.72,-1.55
29,2012,1,1,14,30,15.31,-1.51,15.75,-1.73
30,2012,1,1,15,0,14.97,-1.73,15.4,-1.95
31,2012,1,1,15,30,14.93,-1.78,15.42,-1.99
32,2012,1,1,16,0,12.98,-2.1,13.55,-2.3000000000000003
33,2012,1,1,16,30,14.4,-2.34,14.93,-2.54
34,2012,1,1,17,0,14.97,-2.48,15.52,-2.68
35,2012,1,1,17,30,15.69,-2.69,16.28,-2.89
36,2012,1,1,18,0,15.19,-2.86,15.77,-3.06
37,2012,1,1,18,30,13.41,-3.19,13.98,-3.4
38,2012,1,1,19,0,13.15,-3.48,13.62,-3.68
39,2012,1,1,19,30,13.12,-3.52,13.59,-3.72
40,2012,1,1,20,0,13.29,-3.49,13.84,-3.7
41,2012,1,1,20,30,13.54,-3.69,14.03,-3.91
42,2012,1,1,21,0,13.41,-3.99,13.96,-4.19
43,2012,1,1,21,30,12.41,-4.17,12.95,-4.38
44,2012,1,1,22,0,12.16,-4.38,12.7,-4.59
45,2012,1,1,22,30,11.99,-4.58,12.5,-4.79
46,2012,1,1,23,0,11.71,-4.74,12.24,-4.95
47,2012,1,1,23,30,11.86,-4.99,12.37,-5.2
48,2012,1,2,0,0,11.12,-5.16,11.55,-5.37
49,2012,1,2,0,30,11.28,-5.5,11.69,-5.71
50,2012,1,2,1,0,12.17,-5.72,12.6,-5.93
51,2012,1,2,1,30,12.52,-6.04,12.97,-6.25
52,2012,1,2,2,0,13.19,-6.34,13.67,-6.55
53,2012,1,2,2,30,11.0,-6.42,11.4,-6.63
54,2012,1,2,3,0,11.83,-6.62,12.25,-6.84
55,2012,1,2,3,30,10.91,-6.94,11.25,-7.15
56,2012,1,2,4,0,12.78,-7.08,13.2,-7.29
57,2012,1,2,4,30,12.62,-7.1000000000000005,13.01,-7.31
58,2012,1,2,5,0,11.89,-7.37,12.27,-7.58
59,2012,1,2,5,30,11.99,-7.51,12.36,-7.73
60,2012,1,2,6,0,12.18,-7.72,12.55,-7.930000000000001
61,2012,1,2,6,30,11.85,-7.96,12.2,-8.18
62,2012,1,2,7,0,12.96,-8.17,13.35,-8.39
63,2012,1,2,7,30,12.86,-8.370000000000001,13.25,-8.58
64,2012,1,2,8,0,13.44,-8.55,13.84,-8.76
65,2012,1,2,8,30,12.85,-8.56,13.24,-8.77
66,2012,1,2,9,0,11.65,-8.64,11.97,-8.86
67,2012,1,2,9,30,13.03,-8.72,13.39,-8.950000000000001
68,2012,1,2,10,0,12.68,-8.68,13.02,-8.91
69,2012,1,2,10,30,12.57,-8.61,12.89,-8.84
70,2012,1,2,11,0,12.55,-8.540000000000001,12.86,-8.77
71,2012,1,2,11,30,12.39,-8.45,12.7,-8.68
72,2012,1,2,12,0,12.39,-8.33,12.7,-8.57
73,2012,1,2,12,30,12.39,-8.21,12.7,-8.45
74,2012,1,2,13,0,12.26,-8.08,12.57,-8.31
75,2012,1,2,13,30,12.37,-8.02,12.68,-8.24
76,2012,1,2,14,0,12.26,-8.0,12.59,-8.23
77,2012,1,2,14,30,12.37,-8.05,12.7,-8.27
78,2012,1,2,15,0,12.17,-8.11,12.52,-8.33
79,2012,1,2,15,30,11.88,-8.24,12.24,-8.46
80,2012,1,2,16,0,11.5,-8.42,11.88,-8.63
81,2012,1,2,16,30,10.81,-8.63,11.25,-8.84
82,2012,1,2,17,0,10.63,-8.86,11.06,-9.06
83,2012,1,2,17,30,9.99,-9.03,10.41,-9.23
84,2012,1,2,18,0,9.56,-9.2,10.04,-9.4
85,2012,1,2,18,30,10.61,-9.39,11.13,-9.58
86,2012,1,2,19,0,10.23,-9.56,10.77,-9.76
87,2012,1,2,19,30,9.42,-9.72,9.94,-9.92
88,2012,1,2,20,0,9.74,-9.97,10.28,-10.16
89,2012,1,2,20,30,9.85,-10.23,10.4,-10.42
90,2012,1,2,21,0,9.67,-10.47,10.23,-10.67
91,2012,1,2,21,30,9.69,-10.73,10.27,-10.92
92,2012,1,2,22,0,9.33,-10.99,9.91,-11.18
93,2012,1,2,22,30,9.13,-11.26,9.71,-11.45
94,2012,1,2,23,0,9.07,-11.5,9.66,-11.69
95,2012,1,2,23,30,9.04,-11.7,9.61,-11.89
96,2012,1,3,0,0,8.96,-11.89,9.54,-12.07
97,2012,1,3,0,30,8.55,-12.07,9.11,-12.25
