,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.07,9.41,14.07,9.4
1,2012,1,1,0,30,12.94,9.48,13.97,9.45
2,2012,1,1,1,0,13.51,9.19,14.65,9.21
3,2012,1,1,1,30,14.4,8.8,15.58,8.83
4,2012,1,1,2,0,14.22,8.5,15.38,8.540000000000001
5,2012,1,1,2,30,14.11,8.18,15.27,8.24
6,2012,1,1,3,0,13.59,8.11,14.81,8.18
7,2012,1,1,3,30,12.88,8.17,14.19,8.22
8,2012,1,1,4,0,13.18,8.14,14.4,8.13
9,2012,1,1,4,30,11.63,7.8,12.64,7.79
10,2012,1,1,5,0,14.01,7.27,15.09,7.18
11,2012,1,1,5,30,13.47,6.17,14.6,6.01
12,2012,1,1,6,0,9.65,5.21,10.38,5.08
13,2012,1,1,6,30,13.25,4.23,13.76,4.04
14,2012,1,1,7,0,12.3,3.7,12.89,3.5
15,2012,1,1,7,30,11.42,3.4,12.07,3.21
16,2012,1,1,8,0,12.58,2.65,13.28,2.47
17,2012,1,1,8,30,13.7,2.54,14.49,2.36
18,2012,1,1,9,0,13.21,2.93,13.64,2.73
19,2012,1,1,9,30,14.1,3.1,14.48,2.89
20,2012,1,1,10,0,14.56,3.28,14.91,3.0500000000000003
21,2012,1,1,10,30,14.67,3.4,15.0,3.18
22,2012,1,1,11,0,14.61,3.49,14.93,3.26
23,2012,1,1,11,30,13.77,3.5700000000000003,14.1,3.34
24,2012,1,1,12,0,13.63,3.69,13.96,3.47
25,2012,1,1,12,30,13.85,3.87,14.16,3.64
26,2012,1,1,13,0,13.76,4.0200000000000005,14.08,3.79
27,2012,1,1,13,30,13.34,4.12,13.66,3.9
28,2012,1,1,14,0,13.79,4.18,14.13,3.96
29,2012,1,1,14,30,13.86,4.14,14.22,3.93
30,2012,1,1,15,0,13.37,4.0600000000000005,13.76,3.85
31,2012,1,1,15,30,12.56,3.8,13.0,3.6
32,2012,1,1,16,0,11.46,3.4,12.12,3.23
33,2012,1,1,16,30,11.39,3.02,12.29,2.89
34,2012,1,1,17,0,10.21,2.73,11.33,2.64
35,2012,1,1,17,30,9.34,2.33,10.6,2.27
36,2012,1,1,18,0,11.46,2.16,12.84,2.12
37,2012,1,1,18,30,11.64,1.85,13.04,1.81
38,2012,1,1,19,0,10.75,1.65,11.83,1.59
39,2012,1,1,19,30,12.65,1.41,14.08,1.37
40,2012,1,1,20,0,12.39,1.11,13.9,1.06
41,2012,1,1,20,30,8.84,0.53,9.86,0.48
42,2012,1,1,21,0,10.3,0.29,11.48,0.23
43,2012,1,1,21,30,10.58,-0.14,11.7,-0.23
44,2012,1,1,22,0,10.98,-0.31,11.97,-0.4
45,2012,1,1,22,30,8.290000000000001,-0.55,9.04,-0.65
46,2012,1,1,23,0,10.6,-1.05,12.42,-1.13
47,2012,1,1,23,30,12.23,-1.21,12.94,-1.36
48,2012,1,2,0,0,6.26,-1.61,6.98,-1.76
