,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.72,5.61,15.02,5.67
1,2012,1,1,0,30,13.05,5.51,14.34,5.58
2,2012,1,1,1,0,13.42,5.61,14.75,5.71
3,2012,1,1,1,30,13.06,5.59,14.35,5.67
4,2012,1,1,2,0,11.84,5.3500000000000005,13.19,5.41
5,2012,1,1,2,30,11.26,5.1000000000000005,12.65,5.17
6,2012,1,1,3,0,11.22,5.01,12.56,5.07
7,2012,1,1,3,30,10.82,4.76,12.12,4.7700000000000005
8,2012,1,1,4,0,11.89,4.3500000000000005,12.95,4.26
9,2012,1,1,4,30,11.8,3.47,12.72,3.35
10,2012,1,1,5,0,12.12,2.84,12.99,2.69
11,2012,1,1,5,30,13.19,2.53,13.89,2.36
12,2012,1,1,6,0,13.37,2.29,13.96,2.11
13,2012,1,1,6,30,13.89,1.89,14.47,1.7
14,2012,1,1,7,0,14.79,1.46,15.33,1.28
15,2012,1,1,7,30,13.53,0.99,14.28,0.78
16,2012,1,1,8,0,15.14,1.58,15.76,1.39
17,2012,1,1,8,30,15.32,1.1,15.98,0.91
18,2012,1,1,9,0,15.02,0.8200000000000001,15.57,0.62
19,2012,1,1,9,30,15.81,0.5,16.240000000000002,0.29
20,2012,1,1,10,0,15.81,0.34,16.240000000000002,0.12
21,2012,1,1,10,30,15.84,0.25,16.25,0.02
22,2012,1,1,11,0,16.56,0.26,16.96,0.03
23,2012,1,1,11,30,16.28,0.37,16.67,0.14
24,2012,1,1,12,0,15.62,0.51,16.02,0.29
25,2012,1,1,12,30,15.72,0.68,16.12,0.45
26,2012,1,1,13,0,15.69,0.77,16.09,0.55
27,2012,1,1,13,30,15.33,0.79,15.75,0.56
28,2012,1,1,14,0,15.5,0.77,15.96,0.55
29,2012,1,1,14,30,16.04,0.63,16.53,0.41
30,2012,1,1,15,0,16.39,0.5700000000000001,16.89,0.36
31,2012,1,1,15,30,15.85,0.4,16.35,0.19
32,2012,1,1,16,0,14.78,0.25,15.34,0.05
33,2012,1,1,16,30,14.97,-0.07,15.63,-0.27
34,2012,1,1,17,0,14.37,-0.31,15.15,-0.49
35,2012,1,1,17,30,13.54,-0.52,14.18,-0.71
36,2012,1,1,18,0,18.53,-0.92,19.36,-1.11
37,2012,1,1,18,30,14.85,-1.27,15.58,-1.45
38,2012,1,1,19,0,11.58,-1.54,12.42,-1.71
39,2012,1,1,19,30,18.34,-2.12,19.12,-2.31
40,2012,1,1,20,0,11.0,-2.35,11.56,-2.52
41,2012,1,1,20,30,15.2,-2.82,15.86,-3.01
42,2012,1,1,21,0,14.26,-3.11,14.91,-3.3000000000000003
43,2012,1,1,21,30,13.67,-3.3200000000000003,14.25,-3.51
44,2012,1,1,22,0,13.21,-3.46,13.75,-3.66
45,2012,1,1,22,30,12.09,-3.63,12.59,-3.83
46,2012,1,1,23,0,12.13,-3.81,12.62,-4.01
47,2012,1,1,23,30,12.5,-4.0,12.96,-4.2
48,2012,1,2,0,0,12.02,-4.16,12.49,-4.36
49,2012,1,2,0,30,11.45,-4.28,11.94,-4.48
50,2012,1,2,1,0,11.57,-4.43,11.96,-4.63
51,2012,1,2,1,30,12.02,-4.57,12.4,-4.7700000000000005
52,2012,1,2,2,0,12.31,-4.71,12.71,-4.92
53,2012,1,2,2,30,13.08,-4.97,13.48,-5.19
54,2012,1,2,3,0,12.79,-5.22,13.19,-5.43
55,2012,1,2,3,30,13.04,-5.44,13.45,-5.65
56,2012,1,2,4,0,12.55,-5.65,12.93,-5.86
57,2012,1,2,4,30,13.19,-5.91,13.57,-6.12
58,2012,1,2,5,0,12.62,-6.13,12.98,-6.3500000000000005
59,2012,1,2,5,30,12.84,-6.34,13.17,-6.5600000000000005
60,2012,1,2,6,0,12.95,-6.62,13.28,-6.84
61,2012,1,2,6,30,13.34,-6.84,13.68,-7.0600000000000005
62,2012,1,2,7,0,13.38,-7.12,13.72,-7.34
63,2012,1,2,7,30,13.72,-7.37,14.08,-7.59
64,2012,1,2,8,0,13.67,-7.59,14.02,-7.81
65,2012,1,2,8,30,13.29,-7.7,13.63,-7.92
66,2012,1,2,9,0,13.24,-7.73,13.56,-7.95
67,2012,1,2,9,30,13.56,-7.7,13.88,-7.930000000000001
68,2012,1,2,10,0,13.33,-7.69,13.64,-7.92
69,2012,1,2,10,30,13.15,-7.67,13.46,-7.9
70,2012,1,2,11,0,13.06,-7.57,13.34,-7.81
71,2012,1,2,11,30,13.06,-7.45,13.34,-7.69
72,2012,1,2,12,0,12.82,-7.35,13.1,-7.59
73,2012,1,2,12,30,12.72,-7.28,13.0,-7.52
74,2012,1,2,13,0,12.39,-7.23,12.67,-7.47
75,2012,1,2,13,30,12.2,-7.18,12.49,-7.41
76,2012,1,2,14,0,12.3,-7.16,12.58,-7.390000000000001
77,2012,1,2,14,30,12.39,-7.21,12.67,-7.43
78,2012,1,2,15,0,12.21,-7.21,12.49,-7.44
79,2012,1,2,15,30,11.93,-7.2,12.23,-7.42
80,2012,1,2,16,0,11.91,-7.36,12.21,-7.58
81,2012,1,2,16,30,11.22,-7.49,11.55,-7.7
82,2012,1,2,17,0,11.15,-7.65,11.48,-7.85
83,2012,1,2,17,30,10.77,-7.8,11.1,-8.0
84,2012,1,2,18,0,10.86,-7.96,11.22,-8.17
85,2012,1,2,18,30,10.58,-8.14,10.96,-8.35
86,2012,1,2,19,0,9.79,-8.24,10.22,-8.44
87,2012,1,2,19,30,9.23,-8.33,9.69,-8.52
