,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.83,6.62,14.04,6.71
1,2012,1,1,0,30,12.74,6.59,13.98,6.71
2,2012,1,1,1,0,12.5,6.55,13.69,6.65
3,2012,1,1,1,30,12.27,6.43,13.47,6.5200000000000005
4,2012,1,1,2,0,11.43,6.19,12.61,6.25
5,2012,1,1,2,30,11.08,5.69,12.17,5.71
6,2012,1,1,3,0,11.44,4.7700000000000005,12.41,4.7
7,2012,1,1,3,30,12.17,3.8,13.15,3.67
8,2012,1,1,4,0,12.64,2.96,13.36,2.79
9,2012,1,1,4,30,12.65,2.79,13.22,2.6
10,2012,1,1,5,0,12.83,2.66,13.42,2.47
11,2012,1,1,5,30,11.62,1.93,12.23,1.69
12,2012,1,1,6,0,12.95,1.89,13.72,1.72
13,2012,1,1,6,30,14.35,2.25,14.99,2.05
14,2012,1,1,7,0,13.68,2.13,14.45,1.95
15,2012,1,1,7,30,13.61,1.54,14.45,1.37
16,2012,1,1,8,0,13.72,1.03,14.51,0.85
17,2012,1,1,8,30,13.49,0.7000000000000001,14.41,0.5
18,2012,1,1,9,0,14.22,0.64,14.76,0.43
19,2012,1,1,9,30,14.59,0.55,15.05,0.33
20,2012,1,1,10,0,14.51,0.63,14.94,0.41
21,2012,1,1,10,30,14.42,0.76,14.81,0.53
22,2012,1,1,11,0,14.06,0.92,14.46,0.6900000000000001
23,2012,1,1,11,30,14.37,1.2,14.77,0.97
24,2012,1,1,12,0,14.77,1.44,15.19,1.21
25,2012,1,1,12,30,14.99,1.57,15.4,1.34
26,2012,1,1,13,0,15.35,1.58,15.79,1.35
27,2012,1,1,13,30,14.97,1.63,15.4,1.41
28,2012,1,1,14,0,14.94,1.72,15.39,1.49
29,2012,1,1,14,30,14.91,1.82,15.37,1.6
30,2012,1,1,15,0,15.06,1.85,15.54,1.64
31,2012,1,1,15,30,14.18,1.78,14.69,1.57
32,2012,1,1,16,0,12.83,1.55,13.49,1.37
33,2012,1,1,16,30,11.87,1.25,12.71,1.1
34,2012,1,1,17,0,12.65,1.0,13.54,0.86
35,2012,1,1,17,30,12.12,0.77,13.02,0.64
36,2012,1,1,18,0,11.43,0.42,12.47,0.3
37,2012,1,1,18,30,11.07,0.13,12.01,0.02
38,2012,1,1,19,0,11.52,-0.35,13.01,-0.46
39,2012,1,1,19,30,11.11,-0.55,12.02,-0.68
40,2012,1,1,20,0,13.0,-0.73,14.02,-0.87
41,2012,1,1,20,30,9.69,-1.1,10.54,-1.23
42,2012,1,1,21,0,9.02,-1.41,9.87,-1.54
43,2012,1,1,21,30,8.46,-1.81,9.29,-1.95
44,2012,1,1,22,0,11.22,-2.23,12.19,-2.4
45,2012,1,1,22,30,14.64,-2.53,15.44,-2.71
46,2012,1,1,23,0,9.5,-2.75,10.35,-2.94
47,2012,1,1,23,30,13.23,-3.0,13.94,-3.19
48,2012,1,2,0,0,8.72,-3.06,9.24,-3.25
49,2012,1,2,0,30,9.13,-3.27,9.69,-3.47
50,2012,1,2,1,0,11.55,-3.58,12.1,-3.78
