,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.31,7.930000000000001,13.69,7.98
1,2012,1,1,0,30,11.65,7.72,13.0,7.77
2,2012,1,1,1,0,11.21,7.44,12.6,7.5
3,2012,1,1,1,30,11.22,6.97,12.56,7.0
4,2012,1,1,2,0,12.1,6.29,13.34,6.25
5,2012,1,1,2,30,12.57,5.22,13.64,5.1000000000000005
6,2012,1,1,3,0,12.66,4.38,13.66,4.24
7,2012,1,1,3,30,12.52,3.63,13.26,3.44
8,2012,1,1,4,0,11.1,3.3200000000000003,11.8,3.14
9,2012,1,1,4,30,13.34,2.77,14.05,2.59
10,2012,1,1,5,0,12.97,2.21,13.81,2.04
11,2012,1,1,5,30,13.28,1.9,14.13,1.73
12,2012,1,1,6,0,12.77,1.65,13.67,1.49
13,2012,1,1,6,30,13.54,1.42,14.42,1.26
14,2012,1,1,7,0,14.02,1.18,14.9,1.02
15,2012,1,1,7,30,13.96,0.89,14.84,0.73
16,2012,1,1,8,0,14.65,0.61,15.46,0.43
17,2012,1,1,8,30,14.54,0.53,15.34,0.33
18,2012,1,1,9,0,14.31,0.58,14.84,0.38
19,2012,1,1,9,30,14.47,0.67,14.91,0.45
20,2012,1,1,10,0,14.36,0.95,14.75,0.73
21,2012,1,1,10,30,13.7,1.16,14.06,0.94
22,2012,1,1,11,0,13.17,1.49,13.53,1.26
23,2012,1,1,11,30,12.98,1.92,13.32,1.69
24,2012,1,1,12,0,12.75,2.2,13.12,1.98
25,2012,1,1,12,30,12.83,2.35,13.21,2.12
26,2012,1,1,13,0,13.32,2.47,13.71,2.24
27,2012,1,1,13,30,13.45,2.7,13.84,2.48
28,2012,1,1,14,0,13.74,2.93,14.15,2.7
29,2012,1,1,14,30,13.96,3.03,14.39,2.82
30,2012,1,1,15,0,13.8,3.09,14.25,2.88
31,2012,1,1,15,30,13.54,2.94,14.06,2.74
32,2012,1,1,16,0,12.62,2.73,13.31,2.56
33,2012,1,1,16,30,11.17,2.37,12.0,2.24
34,2012,1,1,17,0,11.85,1.99,12.97,1.9
35,2012,1,1,17,30,12.02,1.71,13.09,1.63
36,2012,1,1,18,0,12.13,1.43,13.21,1.37
37,2012,1,1,18,30,12.69,1.27,13.82,1.21
38,2012,1,1,19,0,13.98,0.95,15.31,0.88
39,2012,1,1,19,30,12.09,0.44,13.13,0.36
40,2012,1,1,20,0,11.87,0.05,12.78,-0.03
41,2012,1,1,20,30,10.57,-0.27,11.87,-0.28
42,2012,1,1,21,0,11.71,-0.76,12.95,-0.8300000000000001
43,2012,1,1,21,30,12.18,-0.74,13.03,-0.87
44,2012,1,1,22,0,12.43,-1.23,13.69,-1.34
45,2012,1,1,22,30,11.4,-1.38,12.23,-1.52
46,2012,1,1,23,0,13.61,-1.63,14.68,-1.77
47,2012,1,1,23,30,11.32,-2.01,12.3,-2.17
48,2012,1,2,0,0,14.4,-2.41,15.3,-2.59
49,2012,1,2,0,30,12.13,-2.64,12.76,-2.82
50,2012,1,2,1,0,11.94,-2.81,12.96,-2.97
51,2012,1,2,1,30,12.09,-2.91,12.62,-3.09
52,2012,1,2,2,0,13.04,-3.0700000000000003,13.63,-3.27
53,2012,1,2,2,30,12.84,-3.54,13.45,-3.73
54,2012,1,2,3,0,14.94,-3.89,15.67,-4.08
55,2012,1,2,3,30,13.14,-3.95,13.73,-4.14
56,2012,1,2,4,0,10.61,-4.11,11.3,-4.3
57,2012,1,2,4,30,13.13,-4.38,13.8,-4.57
58,2012,1,2,5,0,12.46,-4.42,13.11,-4.61
59,2012,1,2,5,30,8.96,-4.51,9.49,-4.7
60,2012,1,2,6,0,13.84,-4.79,14.48,-4.98
61,2012,1,2,6,30,12.44,-4.93,13.08,-5.12
62,2012,1,2,7,0,12.0,-5.0600000000000005,12.64,-5.25
63,2012,1,2,7,30,11.94,-5.18,12.59,-5.37
64,2012,1,2,8,0,12.26,-5.23,12.84,-5.43
65,2012,1,2,8,30,14.02,-5.23,14.52,-5.44
66,2012,1,2,9,0,14.21,-5.29,14.66,-5.51
67,2012,1,2,9,30,14.25,-5.33,14.71,-5.5600000000000005
68,2012,1,2,10,0,14.46,-5.3500000000000005,14.89,-5.58
69,2012,1,2,10,30,13.87,-5.28,14.29,-5.5200000000000005
70,2012,1,2,11,0,13.73,-5.19,14.12,-5.42
71,2012,1,2,11,30,13.21,-5.1000000000000005,13.57,-5.34
72,2012,1,2,12,0,13.46,-5.0600000000000005,13.83,-5.29
73,2012,1,2,12,30,13.33,-4.95,13.7,-5.19
74,2012,1,2,13,0,12.74,-4.8500000000000005,13.12,-5.09
75,2012,1,2,13,30,12.73,-4.8100000000000005,13.1,-5.04
76,2012,1,2,14,0,12.44,-4.78,12.81,-5.0200000000000005
77,2012,1,2,14,30,12.41,-4.8100000000000005,12.78,-5.03
78,2012,1,2,15,0,12.37,-4.89,12.74,-5.11
79,2012,1,2,15,30,12.35,-5.01,12.75,-5.23
80,2012,1,2,16,0,11.55,-5.21,11.96,-5.42
81,2012,1,2,16,30,9.76,-5.47,10.35,-5.66
82,2012,1,2,17,0,10.03,-5.78,10.75,-5.95
83,2012,1,2,17,30,11.25,-5.95,12.02,-6.13
84,2012,1,2,18,0,10.88,-6.12,11.45,-6.3
85,2012,1,2,18,30,8.93,-6.3100000000000005,9.48,-6.5
86,2012,1,2,19,0,9.65,-6.48,10.36,-6.67
87,2012,1,2,19,30,10.32,-6.68,10.95,-6.87
88,2012,1,2,20,0,10.45,-6.8,11.02,-6.99
89,2012,1,2,20,30,9.1,-6.98,9.66,-7.17
90,2012,1,2,21,0,9.37,-7.12,10.03,-7.3
91,2012,1,2,21,30,8.39,-7.27,9.02,-7.45
