,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.92,9.32,15.26,9.38
1,2012,1,1,0,30,14.31,8.92,15.52,8.96
2,2012,1,1,1,0,13.25,8.540000000000001,14.33,8.620000000000001
3,2012,1,1,1,30,13.0,8.21,14.06,8.2
4,2012,1,1,2,0,13.06,7.390000000000001,14.09,7.29
5,2012,1,1,2,30,12.32,6.07,13.39,5.93
6,2012,1,1,3,0,10.86,5.11,11.8,5.0
7,2012,1,1,3,30,12.34,4.17,13.27,4.0200000000000005
8,2012,1,1,4,0,12.34,3.67,13.28,3.52
9,2012,1,1,4,30,11.49,3.25,12.28,3.09
10,2012,1,1,5,0,12.6,2.87,13.46,2.73
11,2012,1,1,5,30,14.86,2.62,15.72,2.46
12,2012,1,1,6,0,13.36,2.34,14.29,2.19
13,2012,1,1,6,30,12.2,2.11,13.17,1.96
14,2012,1,1,7,0,12.7,1.82,13.65,1.66
15,2012,1,1,7,30,12.34,1.49,13.24,1.34
16,2012,1,1,8,0,10.48,1.12,11.34,0.95
17,2012,1,1,8,30,11.82,1.16,12.3,0.97
18,2012,1,1,9,0,10.94,1.25,11.42,1.05
19,2012,1,1,9,30,11.86,1.41,12.27,1.19
20,2012,1,1,10,0,12.3,1.55,12.67,1.33
21,2012,1,1,10,30,12.56,1.77,12.93,1.55
22,2012,1,1,11,0,12.27,2.17,12.63,1.95
23,2012,1,1,11,30,12.84,2.56,13.21,2.33
24,2012,1,1,12,0,12.7,2.92,13.06,2.69
25,2012,1,1,12,30,12.92,3.2,13.27,2.98
26,2012,1,1,13,0,12.99,3.41,13.35,3.19
27,2012,1,1,13,30,12.63,3.68,12.98,3.46
28,2012,1,1,14,0,12.2,3.93,12.57,3.71
29,2012,1,1,14,30,12.08,4.08,12.46,3.87
30,2012,1,1,15,0,12.51,4.15,12.94,3.94
31,2012,1,1,15,30,12.49,4.01,12.98,3.81
32,2012,1,1,16,0,11.97,3.72,12.66,3.5500000000000003
33,2012,1,1,16,30,12.16,3.4,13.14,3.27
