,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.85,6.18,15.27,6.23
1,2012,1,1,0,30,13.76,6.08,15.2,6.140000000000001
2,2012,1,1,1,0,13.43,6.17,14.9,6.22
3,2012,1,1,1,30,12.65,6.07,14.1,6.09
4,2012,1,1,2,0,12.96,5.86,14.29,5.87
5,2012,1,1,2,30,13.09,5.44,13.85,5.2700000000000005
6,2012,1,1,3,0,10.78,4.36,11.31,4.16
7,2012,1,1,3,30,10.69,3.1,11.29,2.9
8,2012,1,1,4,0,10.66,2.49,11.26,2.35
9,2012,1,1,4,30,10.51,2.49,11.24,2.32
10,2012,1,1,5,0,11.25,2.42,11.89,2.23
11,2012,1,1,5,30,12.74,1.92,13.36,1.73
12,2012,1,1,6,0,14.23,1.65,14.86,1.47
13,2012,1,1,6,30,14.48,1.55,15.15,1.37
14,2012,1,1,7,0,14.13,1.74,14.88,1.56
15,2012,1,1,7,30,13.09,1.13,14.04,0.97
16,2012,1,1,8,0,13.68,0.4,14.54,0.22
17,2012,1,1,8,30,14.67,-0.02,15.37,-0.21
18,2012,1,1,9,0,13.28,-0.17,13.84,-0.37
19,2012,1,1,9,30,13.42,-0.19,13.92,-0.41
20,2012,1,1,10,0,13.48,-0.18,13.93,-0.4
21,2012,1,1,10,30,13.1,-0.14,13.53,-0.36
22,2012,1,1,11,0,13.47,0.0,13.89,-0.23
23,2012,1,1,11,30,13.38,0.18,13.81,-0.04
24,2012,1,1,12,0,13.89,0.35,14.33,0.12
25,2012,1,1,12,30,14.11,0.43,14.54,0.2
26,2012,1,1,13,0,14.16,0.5,14.61,0.27
27,2012,1,1,13,30,14.52,0.54,14.97,0.31
28,2012,1,1,14,0,14.66,0.56,15.14,0.34
29,2012,1,1,14,30,15.04,0.56,15.55,0.34
30,2012,1,1,15,0,15.25,0.52,15.79,0.31
31,2012,1,1,15,30,14.82,0.33,15.4,0.13
32,2012,1,1,16,0,14.03,0.16,14.67,-0.04
33,2012,1,1,16,30,13.68,-0.13,14.5,-0.3
34,2012,1,1,17,0,12.55,-0.44,13.39,-0.6
35,2012,1,1,17,30,16.18,-0.66,17.080000000000002,-0.84
36,2012,1,1,18,0,9.98,-1.11,10.76,-1.27
37,2012,1,1,18,30,16.01,-1.53,16.97,-1.71
38,2012,1,1,19,0,11.37,-1.85,12.12,-2.02
39,2012,1,1,19,30,11.36,-2.16,12.26,-2.32
40,2012,1,1,20,0,9.69,-2.52,10.5,-2.7
41,2012,1,1,20,30,13.69,-2.92,14.44,-3.1
42,2012,1,1,21,0,10.37,-3.11,11.04,-3.3000000000000003
43,2012,1,1,21,30,11.73,-3.42,12.37,-3.62
44,2012,1,1,22,0,11.75,-3.62,12.34,-3.82
45,2012,1,1,22,30,11.62,-3.8,12.2,-4.0
