,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.44,6.21,12.68,6.25
1,2012,1,1,0,30,10.82,5.09,11.83,5.0200000000000005
2,2012,1,1,1,0,10.12,4.05,11.4,3.9
3,2012,1,1,1,30,10.62,3.15,11.68,3.02
4,2012,1,1,2,0,10.86,2.75,11.73,2.6
5,2012,1,1,2,30,11.58,2.56,12.29,2.38
6,2012,1,1,3,0,11.35,2.35,12.14,2.17
7,2012,1,1,3,30,11.85,1.59,12.52,1.35
8,2012,1,1,4,0,12.35,1.65,12.97,1.46
9,2012,1,1,4,30,13.22,1.94,14.01,1.75
10,2012,1,1,5,0,13.52,2.12,14.13,1.92
11,2012,1,1,5,30,13.04,1.73,13.86,1.54
12,2012,1,1,6,0,13.26,1.19,14.14,1.0
13,2012,1,1,6,30,13.9,0.44,14.79,0.26
14,2012,1,1,7,0,13.79,-0.16,14.72,-0.34
15,2012,1,1,7,30,13.4,-0.6900000000000001,14.35,-0.87
16,2012,1,1,8,0,13.47,-1.0,13.95,-1.19
17,2012,1,1,8,30,13.57,-0.89,14.32,-1.08
18,2012,1,1,9,0,11.98,-0.79,12.6,-0.99
19,2012,1,1,9,30,13.1,-0.54,13.64,-0.76
20,2012,1,1,10,0,13.87,-0.32,14.4,-0.54
21,2012,1,1,10,30,14.36,-0.14,14.89,-0.36
22,2012,1,1,11,0,14.4,-0.02,14.89,-0.25
23,2012,1,1,11,30,14.74,0.16,15.24,-0.07
24,2012,1,1,12,0,14.79,0.46,15.28,0.23
25,2012,1,1,12,30,14.24,0.8200000000000001,14.72,0.59
26,2012,1,1,13,0,14.18,1.04,14.66,0.81
27,2012,1,1,13,30,14.27,1.21,14.77,0.98
28,2012,1,1,14,0,14.21,1.3,14.72,1.08
29,2012,1,1,14,30,14.13,1.37,14.66,1.15
30,2012,1,1,15,0,14.38,1.37,14.93,1.16
31,2012,1,1,15,30,13.61,1.3,14.19,1.1
32,2012,1,1,16,0,12.43,1.1,13.17,0.91
33,2012,1,1,16,30,11.4,0.72,12.29,0.56
34,2012,1,1,17,0,11.82,0.42,12.83,0.28
35,2012,1,1,17,30,10.59,0.06,11.61,-0.05
36,2012,1,1,18,0,13.54,-0.15,14.64,-0.28
37,2012,1,1,18,30,16.54,-0.27,17.57,-0.44
38,2012,1,1,19,0,13.78,-0.58,14.69,-0.75
39,2012,1,1,19,30,10.58,-1.03,11.63,-1.17
40,2012,1,1,20,0,10.29,-1.37,11.57,-1.47
41,2012,1,1,20,30,11.47,-1.48,12.35,-1.65
42,2012,1,1,21,0,8.84,-1.83,9.81,-1.98
43,2012,1,1,21,30,11.38,-2.11,12.18,-2.3000000000000003
44,2012,1,1,22,0,12.57,-2.48,13.44,-2.68
45,2012,1,1,22,30,10.44,-2.75,11.12,-2.93
46,2012,1,1,23,0,14.16,-3.14,14.89,-3.34
47,2012,1,1,23,30,10.86,-3.3200000000000003,11.46,-3.52
48,2012,1,2,0,0,11.16,-3.66,11.76,-3.87
49,2012,1,2,0,30,11.51,-3.97,12.11,-4.17
50,2012,1,2,1,0,11.22,-4.18,11.8,-4.38
51,2012,1,2,1,30,12.44,-4.47,13.08,-4.67
52,2012,1,2,2,0,12.56,-4.63,13.2,-4.83
53,2012,1,2,2,30,10.11,-4.7,10.71,-4.91
54,2012,1,2,3,0,11.67,-4.94,12.31,-5.14
55,2012,1,2,3,30,11.7,-5.11,12.35,-5.3100000000000005
56,2012,1,2,4,0,11.73,-5.26,12.38,-5.46
57,2012,1,2,4,30,11.83,-5.41,12.5,-5.61
58,2012,1,2,5,0,12.01,-5.58,12.68,-5.78
59,2012,1,2,5,30,11.39,-5.71,12.05,-5.92
60,2012,1,2,6,0,11.25,-5.86,11.9,-6.0600000000000005
61,2012,1,2,6,30,11.52,-5.96,12.16,-6.17
62,2012,1,2,7,0,11.85,-6.11,12.48,-6.3100000000000005
63,2012,1,2,7,30,12.31,-6.3500000000000005,12.94,-6.5600000000000005
64,2012,1,2,8,0,12.58,-6.6000000000000005,13.17,-6.8100000000000005
65,2012,1,2,8,30,13.61,-6.79,14.13,-7.01
66,2012,1,2,9,0,14.19,-6.87,14.69,-7.09
67,2012,1,2,9,30,14.02,-6.9,14.49,-7.13
