,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.61,7.15,14.0,7.32
1,2012,1,1,0,30,12.33,6.97,13.78,7.12
2,2012,1,1,1,0,10.79,6.67,12.16,6.75
3,2012,1,1,1,30,10.86,6.47,12.05,6.54
4,2012,1,1,2,0,10.83,5.8500000000000005,12.03,5.84
5,2012,1,1,2,30,10.72,4.8100000000000005,11.75,4.72
6,2012,1,1,3,0,11.18,3.73,12.24,3.59
7,2012,1,1,3,30,11.44,3.1,12.12,2.92
8,2012,1,1,4,0,12.13,2.82,12.73,2.62
9,2012,1,1,4,30,12.08,2.42,12.72,2.22
10,2012,1,1,5,0,13.18,2.46,13.84,2.28
11,2012,1,1,5,30,13.44,2.31,14.07,2.12
12,2012,1,1,6,0,13.25,2.17,14.0,1.99
13,2012,1,1,6,30,13.31,2.09,14.06,1.91
14,2012,1,1,7,0,13.38,1.59,14.2,1.42
15,2012,1,1,7,30,14.01,1.04,14.89,0.87
16,2012,1,1,8,0,13.83,0.47,14.63,0.29
17,2012,1,1,8,30,15.16,0.42,15.82,0.23
18,2012,1,1,9,0,12.67,0.27,13.2,0.07
19,2012,1,1,9,30,13.31,0.42,13.78,0.2
20,2012,1,1,10,0,14.33,0.51,14.77,0.29
21,2012,1,1,10,30,14.75,0.66,15.16,0.44
22,2012,1,1,11,0,14.7,0.96,15.1,0.74
23,2012,1,1,11,30,14.64,1.22,15.05,0.99
24,2012,1,1,12,0,14.47,1.4,14.88,1.17
25,2012,1,1,12,30,14.63,1.46,15.05,1.23
26,2012,1,1,13,0,14.33,1.61,14.75,1.38
27,2012,1,1,13,30,13.89,1.84,14.32,1.61
28,2012,1,1,14,0,14.29,2.01,14.75,1.79
29,2012,1,1,14,30,14.37,2.07,14.82,1.85
30,2012,1,1,15,0,14.47,2.03,14.95,1.82
31,2012,1,1,15,30,13.93,1.91,14.45,1.7
32,2012,1,1,16,0,12.84,1.74,13.5,1.56
33,2012,1,1,16,30,11.81,1.49,12.63,1.35
34,2012,1,1,17,0,11.77,1.2,12.74,1.08
35,2012,1,1,17,30,11.03,0.94,12.0,0.84
36,2012,1,1,18,0,12.86,0.81,13.97,0.72
37,2012,1,1,18,30,11.56,0.37,12.73,0.28
38,2012,1,1,19,0,15.08,0.11,16.11,-0.03
39,2012,1,1,19,30,12.68,-0.23,13.66,-0.36
