,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.38,5.28,12.65,5.4
1,2012,1,1,0,30,11.32,4.47,12.41,4.42
2,2012,1,1,1,0,11.04,2.79,12.21,2.66
3,2012,1,1,1,30,11.29,2.0,12.32,1.92
4,2012,1,1,2,0,12.09,2.49,12.82,2.35
5,2012,1,1,2,30,12.4,2.35,13.09,2.18
6,2012,1,1,3,0,13.29,2.09,13.93,1.91
7,2012,1,1,3,30,14.02,1.83,14.66,1.64
8,2012,1,1,4,0,14.24,1.65,14.88,1.46
9,2012,1,1,4,30,13.84,1.86,14.5,1.68
10,2012,1,1,5,0,13.69,1.73,14.39,1.55
11,2012,1,1,5,30,13.96,1.22,14.72,1.04
12,2012,1,1,6,0,13.54,0.47,14.42,0.3
13,2012,1,1,6,30,13.62,-0.29,14.51,-0.45
14,2012,1,1,7,0,13.25,-0.86,14.15,-1.01
15,2012,1,1,7,30,13.75,-1.16,14.65,-1.32
16,2012,1,1,8,0,14.43,-1.41,15.26,-1.57
17,2012,1,1,8,30,14.81,-1.43,15.47,-1.62
18,2012,1,1,9,0,13.54,-1.37,14.08,-1.58
19,2012,1,1,9,30,13.78,-1.13,14.23,-1.34
20,2012,1,1,10,0,14.49,-1.01,14.94,-1.23
21,2012,1,1,10,30,14.65,-0.85,15.09,-1.07
22,2012,1,1,11,0,15.35,-0.76,15.79,-0.99
23,2012,1,1,11,30,15.17,-0.47,15.62,-0.7000000000000001
24,2012,1,1,12,0,15.51,-0.26,15.97,-0.49
25,2012,1,1,12,30,15.82,-0.07,16.27,-0.3
26,2012,1,1,13,0,15.81,0.16,16.26,-0.07
27,2012,1,1,13,30,15.93,0.37,16.41,0.14
28,2012,1,1,14,0,16.02,0.43,16.51,0.21
29,2012,1,1,14,30,15.8,0.5,16.29,0.29
30,2012,1,1,15,0,15.89,0.56,16.39,0.34
31,2012,1,1,15,30,14.99,0.41,15.54,0.2
32,2012,1,1,16,0,13.17,0.21,13.82,0.02
33,2012,1,1,16,30,12.94,-0.21,13.79,-0.36
34,2012,1,1,17,0,15.0,-0.5700000000000001,16.06,-0.72
35,2012,1,1,17,30,15.1,-0.9,16.0,-1.06
36,2012,1,1,18,0,12.62,-1.21,13.45,-1.37
37,2012,1,1,18,30,11.02,-1.54,11.79,-1.69
38,2012,1,1,19,0,11.5,-1.87,12.38,-2.03
39,2012,1,1,19,30,15.39,-2.22,16.19,-2.4
40,2012,1,1,20,0,14.6,-2.57,15.41,-2.76
41,2012,1,1,20,30,14.55,-2.9,15.32,-3.09
42,2012,1,1,21,0,12.87,-3.17,13.57,-3.36
43,2012,1,1,21,30,12.74,-3.48,13.42,-3.67
44,2012,1,1,22,0,12.8,-3.76,13.43,-3.96
