,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.98,7.28,13.39,7.41
1,2012,1,1,0,30,11.95,7.28,13.36,7.390000000000001
2,2012,1,1,1,0,12.49,7.35,13.81,7.45
3,2012,1,1,1,30,12.94,7.37,14.16,7.45
4,2012,1,1,2,0,11.66,7.0600000000000005,12.8,7.08
5,2012,1,1,2,30,11.37,6.44,12.49,6.4
6,2012,1,1,3,0,11.1,5.37,12.29,5.25
7,2012,1,1,3,30,10.44,4.36,11.6,4.25
8,2012,1,1,4,0,11.68,3.68,12.34,3.49
9,2012,1,1,4,30,12.81,3.16,13.43,2.95
10,2012,1,1,5,0,12.03,2.79,12.86,2.61
11,2012,1,1,5,30,11.83,2.28,12.65,2.11
12,2012,1,1,6,0,12.35,1.93,13.22,1.76
13,2012,1,1,6,30,13.35,1.7,14.24,1.53
14,2012,1,1,7,0,13.72,1.5,14.57,1.33
15,2012,1,1,7,30,13.57,1.24,14.46,1.08
16,2012,1,1,8,0,14.56,1.06,15.34,0.88
17,2012,1,1,8,30,14.48,1.01,14.95,0.81
18,2012,1,1,9,0,14.22,0.95,14.76,0.74
19,2012,1,1,9,30,14.49,1.07,14.94,0.86
20,2012,1,1,10,0,14.54,1.19,14.93,0.97
21,2012,1,1,10,30,13.92,1.39,14.27,1.17
22,2012,1,1,11,0,13.36,1.66,13.71,1.44
23,2012,1,1,11,30,13.43,1.9,13.78,1.67
24,2012,1,1,12,0,13.32,2.27,13.68,2.04
25,2012,1,1,12,30,13.38,2.51,13.74,2.28
26,2012,1,1,13,0,13.5,2.61,13.88,2.38
27,2012,1,1,13,30,13.79,2.64,14.18,2.42
28,2012,1,1,14,0,13.49,2.81,13.88,2.59
29,2012,1,1,14,30,13.75,2.93,14.16,2.72
30,2012,1,1,15,0,14.08,2.93,14.51,2.72
31,2012,1,1,15,30,12.84,2.88,13.33,2.68
32,2012,1,1,16,0,11.22,2.63,11.96,2.45
33,2012,1,1,16,30,10.98,2.26,11.95,2.14
34,2012,1,1,17,0,11.13,1.92,12.12,1.82
35,2012,1,1,17,30,11.19,1.59,12.36,1.51
36,2012,1,1,18,0,10.77,1.29,11.9,1.21
37,2012,1,1,18,30,11.64,1.02,12.74,0.94
38,2012,1,1,19,0,11.8,0.88,12.87,0.79
39,2012,1,1,19,30,12.23,0.5700000000000001,13.39,0.49
40,2012,1,1,20,0,12.14,0.12,13.32,0.03
41,2012,1,1,20,30,10.88,-0.15,11.71,-0.26
42,2012,1,1,21,0,11.76,-0.49,12.84,-0.5700000000000001
43,2012,1,1,21,30,14.15,-0.77,15.23,-0.91
44,2012,1,1,22,0,11.99,-1.08,12.79,-1.22
45,2012,1,1,22,30,10.6,-1.48,11.96,-1.56
46,2012,1,1,23,0,9.33,-1.71,10.11,-1.87
47,2012,1,1,23,30,14.81,-2.1,15.59,-2.28
48,2012,1,2,0,0,14.14,-2.35,14.91,-2.52
49,2012,1,2,0,30,9.94,-2.47,10.54,-2.64
50,2012,1,2,1,0,11.73,-2.88,12.69,-3.0700000000000003
51,2012,1,2,1,30,14.01,-3.23,14.82,-3.41
52,2012,1,2,2,0,12.96,-3.29,13.66,-3.47
53,2012,1,2,2,30,9.22,-3.42,9.74,-3.61
54,2012,1,2,3,0,8.09,-3.52,8.64,-3.71
55,2012,1,2,3,30,14.38,-4.0,15.07,-4.19
56,2012,1,2,4,0,10.77,-4.22,11.39,-4.41
57,2012,1,2,4,30,14.0,-4.48,14.68,-4.67
58,2012,1,2,5,0,11.77,-4.49,12.27,-4.68
59,2012,1,2,5,30,14.17,-4.76,14.84,-4.96
60,2012,1,2,6,0,12.61,-4.93,13.26,-5.13
61,2012,1,2,6,30,13.25,-5.1000000000000005,13.89,-5.3
62,2012,1,2,7,0,13.43,-5.24,14.04,-5.44
63,2012,1,2,7,30,13.01,-5.39,13.61,-5.58
64,2012,1,2,8,0,13.01,-5.44,13.61,-5.64
65,2012,1,2,8,30,14.67,-5.44,15.12,-5.66
66,2012,1,2,9,0,15.01,-5.46,15.41,-5.68
67,2012,1,2,9,30,14.88,-5.5,15.29,-5.73
68,2012,1,2,10,0,14.58,-5.49,14.98,-5.72
69,2012,1,2,10,30,14.56,-5.45,14.93,-5.68
70,2012,1,2,11,0,14.22,-5.4,14.57,-5.64
71,2012,1,2,11,30,13.95,-5.3500000000000005,14.3,-5.59
72,2012,1,2,12,0,13.73,-5.28,14.08,-5.5200000000000005
73,2012,1,2,12,30,13.71,-5.21,14.06,-5.45
74,2012,1,2,13,0,13.79,-5.16,14.15,-5.4
75,2012,1,2,13,30,13.81,-5.12,14.16,-5.36
76,2012,1,2,14,0,13.8,-5.07,14.16,-5.3
77,2012,1,2,14,30,13.23,-5.0600000000000005,13.59,-5.29
78,2012,1,2,15,0,12.83,-5.14,13.2,-5.36
79,2012,1,2,15,30,12.38,-5.23,12.75,-5.45
80,2012,1,2,16,0,11.66,-5.3500000000000005,12.03,-5.5600000000000005
81,2012,1,2,16,30,9.75,-5.57,10.27,-5.7700000000000005
82,2012,1,2,17,0,9.06,-5.84,9.58,-6.03
83,2012,1,2,17,30,8.51,-6.04,9.03,-6.22
84,2012,1,2,18,0,9.1,-6.29,9.68,-6.48
85,2012,1,2,18,30,9.87,-6.44,10.43,-6.63
86,2012,1,2,19,0,9.64,-6.55,10.23,-6.75
87,2012,1,2,19,30,10.65,-6.72,11.23,-6.91
88,2012,1,2,20,0,10.18,-6.890000000000001,10.7,-7.08
89,2012,1,2,20,30,9.76,-7.05,10.32,-7.25
90,2012,1,2,21,0,9.48,-7.23,9.98,-7.42
91,2012,1,2,21,30,9.27,-7.38,9.85,-7.57
92,2012,1,2,22,0,8.99,-7.54,9.56,-7.73
93,2012,1,2,22,30,8.55,-7.75,9.12,-7.930000000000001
94,2012,1,2,23,0,9.34,-7.94,9.92,-8.13
95,2012,1,2,23,30,8.2,-8.11,8.77,-8.3
96,2012,1,3,0,0,7.49,-8.3,8.07,-8.48
97,2012,1,3,0,30,8.39,-8.49,9.06,-8.68
98,2012,1,3,1,0,7.27,-8.6,7.88,-8.77
99,2012,1,3,1,30,5.32,-8.72,5.86,-8.88
100,2012,1,3,2,0,5.95,-9.03,6.66,-9.2
101,2012,1,3,2,30,6.5600000000000005,-9.19,7.21,-9.36
102,2012,1,3,3,0,5.59,-9.26,6.09,-9.42
103,2012,1,3,3,30,5.3100000000000005,-9.49,5.9,-9.65
104,2012,1,3,4,0,6.13,-9.66,6.78,-9.8
105,2012,1,3,4,30,5.55,-9.71,6.22,-9.85
106,2012,1,3,5,0,5.23,-9.66,5.69,-9.79
107,2012,1,3,5,30,3.88,-9.77,4.11,-9.93
108,2012,1,3,6,0,4.82,-9.85,5.39,-9.97
109,2012,1,3,6,30,4.1,-9.94,4.2700000000000005,-10.06
110,2012,1,3,7,0,4.0,-10.03,4.25,-10.1
111,2012,1,3,7,30,3.33,-10.15,3.49,-10.21
112,2012,1,3,8,0,2.68,-9.96,2.86,-10.02
113,2012,1,3,8,30,2.06,-9.75,2.54,-9.74
114,2012,1,3,9,0,2.47,-9.23,2.53,-9.4
115,2012,1,3,9,30,2.48,-8.49,2.54,-8.68
116,2012,1,3,10,0,3.42,-7.76,3.46,-7.96
117,2012,1,3,10,30,3.56,-7.16,3.6,-7.37
118,2012,1,3,11,0,2.95,-6.5200000000000005,3.01,-6.73
119,2012,1,3,11,30,3.21,-5.8500000000000005,3.26,-6.0600000000000005
120,2012,1,3,12,0,3.48,-5.16,3.53,-5.37
121,2012,1,3,12,30,3.5500000000000003,-4.54,3.6,-4.76
122,2012,1,3,13,0,3.98,-4.0200000000000005,4.03,-4.24
123,2012,1,3,13,30,4.58,-3.5700000000000003,4.64,-3.78
124,2012,1,3,14,0,5.07,-3.17,5.15,-3.38
125,2012,1,3,14,30,5.8500000000000005,-2.87,5.95,-3.09
126,2012,1,3,15,0,5.9,-2.7,5.99,-2.91
127,2012,1,3,15,30,6.53,-2.66,6.66,-2.86
128,2012,1,3,16,0,6.79,-2.79,7.140000000000001,-2.97
129,2012,1,3,16,30,7.95,-2.95,8.47,-3.09
130,2012,1,3,17,0,8.64,-3.13,9.41,-3.18
131,2012,1,3,17,30,9.14,-3.26,10.04,-3.25
132,2012,1,3,18,0,9.65,-3.34,10.57,-3.35
133,2012,1,3,18,30,10.03,-3.36,11.01,-3.37
134,2012,1,3,19,0,10.37,-3.37,11.39,-3.4
135,2012,1,3,19,30,10.41,-3.46,11.47,-3.51
136,2012,1,3,20,0,10.21,-3.56,11.24,-3.62
137,2012,1,3,20,30,10.14,-3.65,11.22,-3.71
138,2012,1,3,21,0,10.03,-3.73,11.1,-3.79
139,2012,1,3,21,30,9.8,-3.85,10.86,-3.9
140,2012,1,3,22,0,10.08,-3.8,10.97,-3.87
141,2012,1,3,22,30,9.96,-3.62,10.77,-3.69
142,2012,1,3,23,0,9.73,-3.48,10.5,-3.5700000000000003
143,2012,1,3,23,30,9.81,-3.27,10.64,-3.33
144,2012,1,4,0,0,10.02,-3.22,10.88,-3.26
145,2012,1,4,0,30,9.86,-2.99,10.68,-3.04
146,2012,1,4,1,0,10.1,-2.79,10.94,-2.82
147,2012,1,4,1,30,10.01,-2.61,10.82,-2.64
148,2012,1,4,2,0,9.85,-2.39,10.64,-2.44
149,2012,1,4,2,30,9.9,-2.18,10.69,-2.23
150,2012,1,4,3,0,9.24,-2.03,10.09,-2.06
151,2012,1,4,3,30,9.35,-1.76,10.27,-1.77
152,2012,1,4,4,0,9.45,-1.49,10.42,-1.47
153,2012,1,4,4,30,9.28,-1.25,10.25,-1.23
154,2012,1,4,5,0,8.92,-1.01,9.8,-1.03
155,2012,1,4,5,30,8.73,-0.8300000000000001,9.63,-0.86
156,2012,1,4,6,0,8.78,-0.8,9.76,-0.79
157,2012,1,4,6,30,9.31,-0.8200000000000001,10.37,-0.76
158,2012,1,4,7,0,9.54,-0.95,10.66,-0.8
159,2012,1,4,7,30,9.37,-1.1,10.5,-0.88
160,2012,1,4,8,0,9.22,-1.36,10.38,-1.14
161,2012,1,4,8,30,7.58,-1.31,8.27,-1.38
162,2012,1,4,9,0,7.23,-0.66,7.7,-0.81
