,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,14.11,7.82,15.24,7.83
1,2012,1,1,0,30,12.83,7.5,13.97,7.53
2,2012,1,1,1,0,11.7,7.19,12.78,7.16
3,2012,1,1,1,30,10.74,6.29,11.69,6.21
4,2012,1,1,2,0,12.22,5.03,13.13,4.91
5,2012,1,1,2,30,12.36,3.9,13.3,3.75
6,2012,1,1,3,0,12.47,3.51,13.04,3.3200000000000003
7,2012,1,1,3,30,11.16,3.18,11.71,2.97
8,2012,1,1,4,0,11.98,2.61,12.76,2.43
9,2012,1,1,4,30,11.95,2.16,12.73,1.99
10,2012,1,1,5,0,12.28,2.27,13.01,2.09
11,2012,1,1,5,30,12.28,1.98,13.08,1.8
12,2012,1,1,6,0,12.31,1.69,13.17,1.52
13,2012,1,1,6,30,13.69,1.46,14.47,1.29
14,2012,1,1,7,0,13.7,1.09,14.57,0.92
15,2012,1,1,7,30,14.52,0.64,15.33,0.46
16,2012,1,1,8,0,14.09,0.17,14.98,-0.01
17,2012,1,1,8,30,15.16,0.11,15.88,-0.08
18,2012,1,1,9,0,13.39,0.14,13.9,-0.07
19,2012,1,1,9,30,12.74,0.41,13.18,0.19
20,2012,1,1,10,0,13.31,0.55,13.74,0.32
21,2012,1,1,10,30,13.86,0.8300000000000001,14.28,0.6
22,2012,1,1,11,0,14.15,1.17,14.57,0.95
23,2012,1,1,11,30,14.17,1.39,14.56,1.16
24,2012,1,1,12,0,13.93,1.55,14.31,1.32
25,2012,1,1,12,30,13.8,1.76,14.18,1.53
26,2012,1,1,13,0,13.6,2.06,13.98,1.83
27,2012,1,1,13,30,13.53,2.31,13.93,2.08
28,2012,1,1,14,0,14.22,2.46,14.64,2.24
29,2012,1,1,14,30,14.1,2.5,14.53,2.28
30,2012,1,1,15,0,14.61,2.48,15.08,2.26
31,2012,1,1,15,30,14.44,2.41,14.95,2.2
32,2012,1,1,16,0,12.69,2.23,13.32,2.04
33,2012,1,1,16,30,11.26,1.95,12.17,1.79
34,2012,1,1,17,0,9.65,1.52,10.65,1.41
35,2012,1,1,17,30,11.82,1.42,12.93,1.31
36,2012,1,1,18,0,12.51,1.22,13.51,1.11
37,2012,1,1,18,30,11.96,0.8200000000000001,13.1,0.73
38,2012,1,1,19,0,12.37,0.58,13.65,0.47
39,2012,1,1,19,30,12.96,0.11,14.04,-0.02
40,2012,1,1,20,0,10.1,-0.3,10.87,-0.42
41,2012,1,1,20,30,13.07,-0.5700000000000001,14.45,-0.67
42,2012,1,1,21,0,11.54,-0.79,12.39,-0.93
43,2012,1,1,21,30,9.94,-1.22,11.0,-1.3
44,2012,1,1,22,0,14.13,-1.41,15.39,-1.58
45,2012,1,1,22,30,13.4,-1.77,14.14,-1.95
46,2012,1,1,23,0,8.32,-1.98,8.89,-2.15
47,2012,1,1,23,30,12.85,-2.28,13.63,-2.47
48,2012,1,2,0,0,15.86,-2.82,16.68,-3.02
49,2012,1,2,0,30,13.76,-2.94,14.48,-3.12
50,2012,1,2,1,0,9.12,-3.06,9.65,-3.25
51,2012,1,2,1,30,12.65,-3.17,13.28,-3.36
52,2012,1,2,2,0,15.04,-3.5700000000000003,15.71,-3.79
53,2012,1,2,2,30,10.86,-3.85,11.36,-4.05
54,2012,1,2,3,0,14.08,-4.16,14.73,-4.36
55,2012,1,2,3,30,13.37,-4.22,13.97,-4.42
56,2012,1,2,4,0,12.58,-4.36,13.27,-4.5600000000000005
57,2012,1,2,4,30,12.12,-4.5600000000000005,12.73,-4.7700000000000005
58,2012,1,2,5,0,12.68,-4.73,13.32,-4.93
59,2012,1,2,5,30,12.3,-4.88,12.93,-5.08
60,2012,1,2,6,0,12.73,-5.03,13.36,-5.24
61,2012,1,2,6,30,12.79,-5.16,13.43,-5.3500000000000005
62,2012,1,2,7,0,12.6,-5.29,13.25,-5.49
63,2012,1,2,7,30,11.65,-5.4,12.28,-5.61
64,2012,1,2,8,0,11.82,-5.51,12.39,-5.72
