,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.49,6.82,14.85,6.94
1,2012,1,1,0,30,13.41,6.97,14.77,7.05
2,2012,1,1,1,0,13.35,6.88,14.71,6.96
3,2012,1,1,1,30,13.31,6.83,14.7,6.9
4,2012,1,1,2,0,13.02,6.82,14.43,6.88
5,2012,1,1,2,30,13.0,6.74,14.32,6.7700000000000005
6,2012,1,1,3,0,12.64,6.65,13.86,6.63
7,2012,1,1,3,30,12.07,5.96,13.15,5.89
8,2012,1,1,4,0,12.32,5.0600000000000005,13.36,4.94
9,2012,1,1,4,30,12.61,3.84,13.57,3.68
10,2012,1,1,5,0,11.92,2.96,12.67,2.78
11,2012,1,1,5,30,13.28,2.63,13.86,2.43
12,2012,1,1,6,0,12.8,2.38,13.41,2.17
13,2012,1,1,6,30,13.73,2.02,14.29,1.82
14,2012,1,1,7,0,12.52,1.99,13.27,1.82
15,2012,1,1,7,30,13.22,1.77,13.98,1.6
16,2012,1,1,8,0,13.5,1.59,14.26,1.43
17,2012,1,1,8,30,13.55,1.35,14.27,1.17
18,2012,1,1,9,0,14.87,1.43,15.38,1.23
19,2012,1,1,9,30,14.84,1.34,15.31,1.12
20,2012,1,1,10,0,14.73,1.29,15.17,1.06
21,2012,1,1,10,30,14.31,1.33,14.72,1.11
22,2012,1,1,11,0,14.22,1.47,14.61,1.24
23,2012,1,1,11,30,13.87,1.69,14.28,1.46
24,2012,1,1,12,0,14.2,1.79,14.61,1.55
25,2012,1,1,12,30,14.27,1.97,14.68,1.75
26,2012,1,1,13,0,14.44,2.16,14.89,1.93
27,2012,1,1,13,30,15.04,2.19,15.49,1.96
28,2012,1,1,14,0,15.09,2.11,15.55,1.88
29,2012,1,1,14,30,15.17,2.01,15.66,1.79
30,2012,1,1,15,0,15.07,1.91,15.56,1.7
31,2012,1,1,15,30,14.36,1.87,14.89,1.66
32,2012,1,1,16,0,13.46,1.67,14.1,1.49
33,2012,1,1,16,30,12.27,1.37,13.16,1.23
