,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.27,3.58,11.68,3.63
1,2012,1,1,0,30,10.35,3.66,11.76,3.74
2,2012,1,1,1,0,10.45,3.6,11.92,3.71
3,2012,1,1,1,30,9.27,3.34,10.76,3.48
4,2012,1,1,2,0,9.17,3.25,10.65,3.42
5,2012,1,1,2,30,8.98,3.13,10.38,3.25
6,2012,1,1,3,0,9.45,2.82,10.76,3.0
7,2012,1,1,3,30,9.76,2.24,10.82,2.38
8,2012,1,1,4,0,10.47,1.74,11.68,1.73
9,2012,1,1,4,30,12.68,1.95,13.47,1.8
10,2012,1,1,5,0,12.81,1.55,13.52,1.37
11,2012,1,1,5,30,13.61,1.2,14.34,1.02
12,2012,1,1,6,0,14.5,0.66,15.18,0.51
13,2012,1,1,6,30,14.19,1.16,14.92,0.99
14,2012,1,1,7,0,13.98,0.85,14.78,0.68
15,2012,1,1,7,30,14.96,0.38,15.79,0.21
16,2012,1,1,8,0,14.25,-0.44,15.14,-0.6
17,2012,1,1,8,30,16.21,-1.01,16.91,-1.19
18,2012,1,1,9,0,15.09,-1.29,15.71,-1.5
19,2012,1,1,9,30,15.86,-1.47,16.38,-1.69
20,2012,1,1,10,0,16.05,-1.58,16.52,-1.8
21,2012,1,1,10,30,15.7,-1.54,16.14,-1.76
22,2012,1,1,11,0,15.3,-1.4,15.72,-1.63
23,2012,1,1,11,30,15.17,-1.23,15.58,-1.45
24,2012,1,1,12,0,15.11,-1.11,15.54,-1.34
25,2012,1,1,12,30,14.91,-0.99,15.32,-1.22
26,2012,1,1,13,0,14.81,-0.98,15.23,-1.2
27,2012,1,1,13,30,14.29,-0.93,14.72,-1.15
28,2012,1,1,14,0,14.47,-0.99,14.94,-1.21
29,2012,1,1,14,30,14.92,-1.16,15.41,-1.38
30,2012,1,1,15,0,15.1,-1.41,15.58,-1.63
31,2012,1,1,15,30,15.02,-1.68,15.54,-1.89
32,2012,1,1,16,0,14.29,-1.85,14.9,-2.05
33,2012,1,1,16,30,14.67,-2.24,15.34,-2.43
34,2012,1,1,17,0,14.42,-2.54,15.09,-2.74
35,2012,1,1,17,30,14.29,-2.72,14.99,-2.91
36,2012,1,1,18,0,13.73,-2.99,14.43,-3.18
37,2012,1,1,18,30,13.83,-3.22,14.49,-3.42
38,2012,1,1,19,0,13.5,-3.46,14.11,-3.66
39,2012,1,1,19,30,13.75,-3.76,14.36,-3.96
40,2012,1,1,20,0,13.27,-3.94,13.89,-4.14
41,2012,1,1,20,30,13.46,-4.18,14.04,-4.38
42,2012,1,1,21,0,13.4,-4.34,13.98,-4.54
43,2012,1,1,21,30,13.12,-4.5600000000000005,13.61,-4.7700000000000005
44,2012,1,1,22,0,12.62,-4.7700000000000005,13.23,-4.98
45,2012,1,1,22,30,12.24,-4.95,12.78,-5.15
46,2012,1,1,23,0,12.45,-5.15,12.94,-5.36
47,2012,1,1,23,30,12.73,-5.41,13.2,-5.62
48,2012,1,2,0,0,13.23,-5.58,13.7,-5.79
49,2012,1,2,0,30,12.33,-5.71,12.77,-5.93
50,2012,1,2,1,0,11.82,-5.89,12.23,-6.1000000000000005
51,2012,1,2,1,30,12.88,-6.07,13.34,-6.28
52,2012,1,2,2,0,12.53,-6.26,12.98,-6.47
53,2012,1,2,2,30,12.18,-6.47,12.63,-6.68
54,2012,1,2,3,0,11.78,-6.7,12.15,-6.92
55,2012,1,2,3,30,13.22,-6.98,13.64,-7.19
56,2012,1,2,4,0,13.14,-7.31,13.56,-7.52
57,2012,1,2,4,30,12.29,-7.5,12.67,-7.71
58,2012,1,2,5,0,12.84,-7.74,13.22,-7.95
59,2012,1,2,5,30,12.68,-7.930000000000001,13.06,-8.15
60,2012,1,2,6,0,12.78,-8.2,13.15,-8.41
61,2012,1,2,6,30,13.15,-8.42,13.55,-8.64
62,2012,1,2,7,0,13.16,-8.66,13.6,-8.870000000000001
63,2012,1,2,7,30,12.47,-8.82,12.88,-9.03
64,2012,1,2,8,0,12.61,-8.97,13.02,-9.18
65,2012,1,2,8,30,12.64,-9.1,13.01,-9.31
66,2012,1,2,9,0,13.03,-9.19,13.39,-9.41
67,2012,1,2,9,30,13.14,-9.18,13.5,-9.41
68,2012,1,2,10,0,13.0,-9.13,13.34,-9.36
