,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.11,5.82,12.6,5.89
1,2012,1,1,0,30,10.51,5.67,11.95,5.74
2,2012,1,1,1,0,11.02,5.49,12.34,5.59
3,2012,1,1,1,30,10.45,5.2700000000000005,11.83,5.37
4,2012,1,1,2,0,9.08,4.49,9.88,4.38
5,2012,1,1,2,30,8.82,3.78,9.79,3.58
6,2012,1,1,3,0,9.69,2.78,10.57,2.61
7,2012,1,1,3,30,10.67,2.14,11.57,2.01
8,2012,1,1,4,0,11.96,2.49,12.61,2.33
9,2012,1,1,4,30,12.83,2.09,13.43,1.91
10,2012,1,1,5,0,13.23,1.81,13.81,1.62
11,2012,1,1,5,30,13.87,1.67,14.46,1.48
12,2012,1,1,6,0,11.73,1.09,12.57,0.89
13,2012,1,1,6,30,13.3,1.87,14.06,1.7
14,2012,1,1,7,0,13.0,1.16,13.86,0.99
15,2012,1,1,7,30,14.13,0.43,14.99,0.26
16,2012,1,1,8,0,14.5,-0.24,15.33,-0.41
17,2012,1,1,8,30,15.19,-0.39,15.85,-0.5700000000000001
18,2012,1,1,9,0,12.98,-0.36,13.52,-0.56
19,2012,1,1,9,30,13.79,-0.28,14.24,-0.49
20,2012,1,1,10,0,13.95,-0.23,14.36,-0.44
21,2012,1,1,10,30,13.82,-0.13,14.2,-0.35
22,2012,1,1,11,0,14.06,0.09,14.44,-0.14
23,2012,1,1,11,30,14.47,0.25,14.88,0.03
24,2012,1,1,12,0,14.73,0.38,15.13,0.15
25,2012,1,1,12,30,15.39,0.43,15.81,0.2
26,2012,1,1,13,0,15.49,0.54,15.92,0.32
27,2012,1,1,13,30,15.33,0.68,15.78,0.46
28,2012,1,1,14,0,15.74,0.74,16.21,0.52
29,2012,1,1,14,30,15.76,0.86,16.25,0.65
30,2012,1,1,15,0,16.06,0.87,16.56,0.66
31,2012,1,1,15,30,14.41,0.8300000000000001,14.94,0.63
32,2012,1,1,16,0,12.67,0.61,13.35,0.43
33,2012,1,1,16,30,12.23,0.38,13.15,0.23
34,2012,1,1,17,0,11.65,0.05,12.86,-0.07
35,2012,1,1,17,30,11.25,-0.3,12.12,-0.43
36,2012,1,1,18,0,11.71,-0.64,12.74,-0.76
37,2012,1,1,18,30,12.06,-0.96,13.14,-1.1
38,2012,1,1,19,0,13.07,-1.22,14.04,-1.37
39,2012,1,1,19,30,10.77,-1.56,11.51,-1.71
40,2012,1,1,20,0,16.330000000000002,-2.19,17.150000000000002,-2.37
41,2012,1,1,20,30,12.74,-2.38,13.53,-2.5500000000000003
42,2012,1,1,21,0,8.11,-2.5500000000000003,8.700000000000001,-2.72
43,2012,1,1,21,30,10.95,-2.87,11.54,-3.0500000000000003
44,2012,1,1,22,0,13.14,-3.25,13.76,-3.45
45,2012,1,1,22,30,12.46,-3.52,13.04,-3.72
46,2012,1,1,23,0,12.8,-3.76,13.37,-3.96
47,2012,1,1,23,30,11.95,-3.92,12.5,-4.12
48,2012,1,2,0,0,11.61,-4.09,12.12,-4.29
49,2012,1,2,0,30,11.42,-4.26,11.91,-4.46
50,2012,1,2,1,0,11.59,-4.44,12.08,-4.64
51,2012,1,2,1,30,11.54,-4.6000000000000005,12.0,-4.8
52,2012,1,2,2,0,11.51,-4.78,11.98,-4.99
53,2012,1,2,2,30,11.53,-4.98,11.99,-5.19
54,2012,1,2,3,0,12.02,-5.22,12.52,-5.42
55,2012,1,2,3,30,11.55,-5.43,12.04,-5.63
56,2012,1,2,4,0,11.62,-5.66,12.1,-5.86
57,2012,1,2,4,30,11.98,-5.93,12.51,-6.13
58,2012,1,2,5,0,11.76,-6.15,12.31,-6.3500000000000005
59,2012,1,2,5,30,11.42,-6.3100000000000005,11.92,-6.5200000000000005
60,2012,1,2,6,0,12.4,-6.59,12.96,-6.79
61,2012,1,2,6,30,12.98,-6.76,13.56,-6.96
62,2012,1,2,7,0,12.86,-6.83,13.4,-7.04
63,2012,1,2,7,30,12.61,-6.96,13.15,-7.16
64,2012,1,2,8,0,12.73,-7.08,13.25,-7.29
65,2012,1,2,8,30,13.68,-7.2,14.15,-7.41
66,2012,1,2,9,0,13.69,-7.26,14.11,-7.48
67,2012,1,2,9,30,13.6,-7.37,13.99,-7.59
68,2012,1,2,10,0,13.13,-7.38,13.5,-7.61
69,2012,1,2,10,30,12.94,-7.36,13.29,-7.59
70,2012,1,2,11,0,12.75,-7.27,13.11,-7.5
71,2012,1,2,11,30,12.75,-7.2,13.08,-7.43
72,2012,1,2,12,0,12.87,-7.09,13.2,-7.33
73,2012,1,2,12,30,12.83,-7.0,13.16,-7.23
74,2012,1,2,13,0,12.88,-6.91,13.22,-7.140000000000001
75,2012,1,2,13,30,12.61,-6.82,12.95,-7.05
76,2012,1,2,14,0,12.33,-6.75,12.66,-6.98
77,2012,1,2,14,30,12.18,-6.74,12.51,-6.97
