,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.08,10.26,14.54,10.41
1,2012,1,1,0,30,12.77,10.09,14.27,10.23
2,2012,1,1,1,0,11.69,9.78,13.2,9.89
3,2012,1,1,1,30,10.09,9.25,11.69,9.33
4,2012,1,1,2,0,11.22,9.05,12.65,9.17
5,2012,1,1,2,30,11.89,8.83,13.05,8.96
6,2012,1,1,3,0,11.98,8.63,13.06,8.700000000000001
7,2012,1,1,3,30,10.62,8.23,11.64,8.21
8,2012,1,1,4,0,7.81,6.37,8.68,6.33
9,2012,1,1,4,30,10.19,5.33,12.13,5.09
10,2012,1,1,5,0,7.85,4.26,8.53,4.13
11,2012,1,1,5,30,11.99,3.51,13.02,3.38
12,2012,1,1,6,0,10.22,3.18,11.36,3.06
13,2012,1,1,6,30,10.86,2.92,12.0,2.79
14,2012,1,1,7,0,12.73,2.77,13.69,2.64
15,2012,1,1,7,30,13.14,2.47,14.12,2.34
16,2012,1,1,8,0,12.88,2.36,13.72,2.2
17,2012,1,1,8,30,12.7,2.47,13.73,2.28
18,2012,1,1,9,0,13.16,2.6,13.69,2.4
19,2012,1,1,9,30,13.55,2.83,14.03,2.62
20,2012,1,1,10,0,13.21,2.85,13.64,2.63
21,2012,1,1,10,30,13.25,3.03,13.63,2.81
22,2012,1,1,11,0,12.26,3.36,12.61,3.14
23,2012,1,1,11,30,11.49,3.75,11.85,3.53
24,2012,1,1,12,0,11.73,4.07,12.09,3.85
25,2012,1,1,12,30,11.77,4.39,12.12,4.17
26,2012,1,1,13,0,11.65,4.69,12.01,4.46
27,2012,1,1,13,30,12.01,4.88,12.37,4.66
28,2012,1,1,14,0,11.79,5.03,12.16,4.8100000000000005
29,2012,1,1,14,30,11.18,5.17,11.57,4.96
30,2012,1,1,15,0,10.7,5.24,11.09,5.03
31,2012,1,1,15,30,10.91,5.11,11.37,4.92
32,2012,1,1,16,0,10.42,4.96,11.15,4.8100000000000005
33,2012,1,1,16,30,10.43,4.73,11.27,4.64
34,2012,1,1,17,0,10.25,4.48,11.29,4.39
35,2012,1,1,17,30,9.65,3.93,10.66,3.89
36,2012,1,1,18,0,9.39,3.49,10.45,3.48
37,2012,1,1,18,30,10.01,3.0700000000000003,11.01,3.08
38,2012,1,1,19,0,12.48,2.78,13.8,2.78
39,2012,1,1,19,30,11.61,2.29,13.13,2.31
40,2012,1,1,20,0,10.32,1.8,11.65,1.83
41,2012,1,1,20,30,10.84,1.53,12.38,1.56
42,2012,1,1,21,0,10.83,1.33,12.11,1.29
43,2012,1,1,21,30,10.92,0.85,12.57,0.8300000000000001
44,2012,1,1,22,0,9.59,0.58,10.71,0.52
45,2012,1,1,22,30,8.48,0.09,9.52,0.04
46,2012,1,1,23,0,9.45,-0.28,10.92,-0.27
47,2012,1,1,23,30,11.4,-0.12,12.56,-0.24
48,2012,1,2,0,0,12.69,-0.45,13.78,-0.59
49,2012,1,2,0,30,8.69,-0.87,9.43,-1.0
50,2012,1,2,1,0,11.05,-1.32,12.45,-1.42
51,2012,1,2,1,30,12.05,-1.43,13.0,-1.58
52,2012,1,2,2,0,9.02,-1.73,9.67,-1.88
53,2012,1,2,2,30,11.1,-1.95,12.11,-2.09
54,2012,1,2,3,0,10.2,-2.26,11.17,-2.41
55,2012,1,2,3,30,11.32,-2.42,12.08,-2.59
56,2012,1,2,4,0,12.12,-2.57,12.97,-2.74
