,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.49,6.37,14.85,6.48
1,2012,1,1,0,30,13.13,6.23,14.55,6.3500000000000005
2,2012,1,1,1,0,12.42,6.25,13.85,6.3500000000000005
3,2012,1,1,1,30,12.57,6.25,13.97,6.33
4,2012,1,1,2,0,12.84,6.29,14.21,6.390000000000001
5,2012,1,1,2,30,12.58,6.3500000000000005,13.9,6.38
6,2012,1,1,3,0,11.41,6.05,12.76,6.0600000000000005
7,2012,1,1,3,30,12.27,5.65,13.53,5.61
8,2012,1,1,4,0,12.22,4.86,13.37,4.74
9,2012,1,1,4,30,12.36,3.58,13.35,3.42
10,2012,1,1,5,0,12.42,2.77,13.14,2.59
11,2012,1,1,5,30,13.2,2.57,13.78,2.37
12,2012,1,1,6,0,13.59,2.44,14.17,2.23
13,2012,1,1,6,30,14.24,2.15,14.85,1.97
14,2012,1,1,7,0,14.0,1.91,14.64,1.73
15,2012,1,1,7,30,14.04,2.08,14.67,1.89
16,2012,1,1,8,0,13.38,1.84,14.0,1.65
17,2012,1,1,8,30,13.89,1.47,14.54,1.27
18,2012,1,1,9,0,14.41,1.29,14.85,1.07
19,2012,1,1,9,30,14.87,1.19,15.3,0.97
20,2012,1,1,10,0,14.97,1.08,15.38,0.86
21,2012,1,1,10,30,14.73,1.15,15.1,0.92
22,2012,1,1,11,0,14.58,1.21,14.95,0.98
23,2012,1,1,11,30,14.36,1.37,14.73,1.14
24,2012,1,1,12,0,14.63,1.44,15.0,1.21
25,2012,1,1,12,30,14.89,1.58,15.26,1.35
26,2012,1,1,13,0,14.85,1.74,15.23,1.51
27,2012,1,1,13,30,15.43,1.78,15.84,1.55
28,2012,1,1,14,0,15.88,1.72,16.3,1.5
29,2012,1,1,14,30,15.24,1.63,15.67,1.41
30,2012,1,1,15,0,14.91,1.57,15.36,1.36
31,2012,1,1,15,30,14.67,1.46,15.16,1.26
32,2012,1,1,16,0,13.51,1.27,14.15,1.08
33,2012,1,1,16,30,13.12,1.01,13.87,0.84
34,2012,1,1,17,0,12.51,0.72,13.36,0.58
35,2012,1,1,17,30,12.7,0.51,13.6,0.37
36,2012,1,1,18,0,13.14,0.29,14.06,0.16
37,2012,1,1,18,30,12.29,-0.02,13.19,-0.14
38,2012,1,1,19,0,12.89,-0.29,13.92,-0.42
39,2012,1,1,19,30,13.6,-0.52,14.57,-0.67
40,2012,1,1,20,0,17.29,-0.78,18.17,-0.96
41,2012,1,1,20,30,13.12,-1.24,13.98,-1.41
42,2012,1,1,21,0,15.15,-1.71,16.13,-1.89
43,2012,1,1,21,30,14.62,-2.1,15.41,-2.28
44,2012,1,1,22,0,11.16,-2.34,11.76,-2.52
45,2012,1,1,22,30,8.99,-2.49,9.53,-2.68
46,2012,1,1,23,0,13.97,-3.02,14.59,-3.22
47,2012,1,1,23,30,10.99,-3.22,11.56,-3.41
48,2012,1,2,0,0,12.56,-3.53,13.1,-3.73
49,2012,1,2,0,30,12.41,-3.7,12.9,-3.9
50,2012,1,2,1,0,12.36,-3.84,12.82,-4.05
51,2012,1,2,1,30,12.56,-3.94,13.02,-4.14
52,2012,1,2,2,0,11.73,-4.07,12.2,-4.2700000000000005
53,2012,1,2,2,30,12.17,-4.21,12.65,-4.42
54,2012,1,2,3,0,11.88,-4.39,12.35,-4.59
55,2012,1,2,3,30,11.87,-4.62,12.35,-4.82
56,2012,1,2,4,0,12.24,-4.84,12.71,-5.05
57,2012,1,2,4,30,12.4,-5.07,12.85,-5.28
58,2012,1,2,5,0,12.42,-5.28,12.87,-5.49
59,2012,1,2,5,30,11.74,-5.49,12.16,-5.7
60,2012,1,2,6,0,12.31,-5.78,12.71,-5.99
61,2012,1,2,6,30,12.8,-5.99,13.25,-6.2
62,2012,1,2,7,0,12.13,-6.22,12.59,-6.43
63,2012,1,2,7,30,12.05,-6.4,12.49,-6.6000000000000005
64,2012,1,2,8,0,13.66,-6.61,14.11,-6.82
65,2012,1,2,8,30,13.46,-6.73,13.89,-6.94
66,2012,1,2,9,0,14.03,-6.83,14.43,-7.05
67,2012,1,2,9,30,14.04,-6.76,14.43,-6.99
68,2012,1,2,10,0,13.32,-6.74,13.68,-6.98
69,2012,1,2,10,30,12.95,-6.71,13.29,-6.94
70,2012,1,2,11,0,12.85,-6.68,13.2,-6.91
71,2012,1,2,11,30,12.8,-6.63,13.13,-6.86
72,2012,1,2,12,0,12.8,-6.58,13.13,-6.82
73,2012,1,2,12,30,12.7,-6.54,13.04,-6.7700000000000005
74,2012,1,2,13,0,12.12,-6.58,12.44,-6.82
