,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.69,9.65,12.11,9.7
1,2012,1,1,0,30,10.09,9.91,11.31,9.9
2,2012,1,1,1,0,9.81,10.26,11.1,10.24
3,2012,1,1,1,30,10.02,10.18,11.49,10.18
4,2012,1,1,2,0,10.76,10.05,12.45,10.16
5,2012,1,1,2,30,11.29,10.27,12.73,10.35
6,2012,1,1,3,0,11.48,10.01,12.85,10.06
7,2012,1,1,3,30,11.8,9.45,13.09,9.44
8,2012,1,1,4,0,11.09,8.950000000000001,12.22,8.88
9,2012,1,1,4,30,11.08,8.23,12.19,8.120000000000001
10,2012,1,1,5,0,10.86,7.15,12.01,7.03
11,2012,1,1,5,30,9.31,6.32,9.97,6.11
12,2012,1,1,6,0,13.82,4.7,15.01,4.5
13,2012,1,1,6,30,9.22,4.29,9.66,4.15
14,2012,1,1,7,0,12.4,3.58,13.31,3.41
15,2012,1,1,7,30,11.03,3.04,11.94,2.87
16,2012,1,1,8,0,11.28,2.85,12.01,2.68
17,2012,1,1,8,30,10.5,3.19,11.24,3.01
18,2012,1,1,9,0,11.85,3.44,12.29,3.23
19,2012,1,1,9,30,11.93,3.56,12.33,3.34
20,2012,1,1,10,0,11.53,3.78,11.91,3.56
21,2012,1,1,10,30,11.48,3.98,11.86,3.76
22,2012,1,1,11,0,11.21,4.2,11.59,3.97
23,2012,1,1,11,30,10.73,4.38,11.09,4.15
24,2012,1,1,12,0,10.55,4.6000000000000005,10.9,4.37
25,2012,1,1,12,30,10.44,4.89,10.78,4.66
26,2012,1,1,13,0,10.13,5.14,10.46,4.91
27,2012,1,1,13,30,10.12,5.38,10.45,5.16
28,2012,1,1,14,0,9.6,5.62,9.93,5.4
29,2012,1,1,14,30,9.33,5.75,9.68,5.53
30,2012,1,1,15,0,9.45,5.71,9.81,5.5
31,2012,1,1,15,30,9.19,5.55,9.6,5.3500000000000005
32,2012,1,1,16,0,8.75,5.25,9.48,5.08
33,2012,1,1,16,30,9.87,5.0600000000000005,10.85,4.95
34,2012,1,1,17,0,8.76,4.76,9.74,4.76
35,2012,1,1,17,30,9.76,4.32,10.82,4.33
36,2012,1,1,18,0,12.66,4.25,13.82,4.2
37,2012,1,1,18,30,11.77,3.76,12.96,3.73
38,2012,1,1,19,0,16.21,3.52,17.42,3.42
39,2012,1,1,19,30,13.79,2.96,15.73,2.92
40,2012,1,1,20,0,12.15,2.47,13.61,2.42
41,2012,1,1,20,30,10.73,2.09,11.97,2.09
42,2012,1,1,21,0,10.16,1.73,11.46,1.68
43,2012,1,1,21,30,10.05,1.41,10.86,1.38
44,2012,1,1,22,0,13.6,1.24,14.97,1.2
45,2012,1,1,22,30,11.54,0.55,12.75,0.52
46,2012,1,1,23,0,9.24,0.3,9.92,0.25
47,2012,1,1,23,30,8.36,-0.03,9.05,-0.06
48,2012,1,2,0,0,11.59,-0.32,12.79,-0.36
49,2012,1,2,0,30,9.52,-0.73,10.55,-0.8
50,2012,1,2,1,0,11.34,-0.8,12.3,-0.91
51,2012,1,2,1,30,9.31,-0.94,10.04,-1.02
52,2012,1,2,2,0,8.540000000000001,-1.43,9.4,-1.48
53,2012,1,2,2,30,9.93,-1.77,10.86,-1.9
54,2012,1,2,3,0,9.13,-2.08,10.06,-2.21
55,2012,1,2,3,30,7.32,-2.4,7.99,-2.52
56,2012,1,2,4,0,9.11,-2.56,9.92,-2.7
57,2012,1,2,4,30,8.32,-2.75,9.21,-2.91
58,2012,1,2,5,0,8.9,-3.08,9.66,-3.24
59,2012,1,2,5,30,8.76,-3.19,9.56,-3.34
60,2012,1,2,6,0,6.83,-3.39,7.5,-3.5500000000000003
61,2012,1,2,6,30,8.31,-3.54,8.93,-3.7
62,2012,1,2,7,0,9.7,-3.76,10.45,-3.94
63,2012,1,2,7,30,8.3,-3.93,9.0,-4.11
64,2012,1,2,8,0,8.92,-3.9,9.63,-4.09
65,2012,1,2,8,30,12.72,-3.77,13.27,-3.98
66,2012,1,2,9,0,12.09,-3.62,12.56,-3.85
67,2012,1,2,9,30,12.57,-3.54,13.06,-3.76
68,2012,1,2,10,0,12.15,-3.4,12.57,-3.63
69,2012,1,2,10,30,12.5,-3.25,12.92,-3.48
70,2012,1,2,11,0,11.96,-3.0500000000000003,12.37,-3.29
71,2012,1,2,11,30,12.13,-2.88,12.56,-3.12
72,2012,1,2,12,0,12.8,-2.74,13.25,-2.98
73,2012,1,2,12,30,13.15,-2.67,13.59,-2.91
74,2012,1,2,13,0,13.12,-2.68,13.56,-2.91
75,2012,1,2,13,30,12.74,-2.53,13.2,-2.77
76,2012,1,2,14,0,12.29,-2.56,12.75,-2.8000000000000003
