,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.17,11.0,12.21,10.96
1,2012,1,1,0,30,11.77,11.08,13.09,11.11
2,2012,1,1,1,0,12.15,10.78,13.6,10.86
3,2012,1,1,1,30,12.44,10.75,13.92,10.8
4,2012,1,1,2,0,12.59,10.67,14.08,10.71
5,2012,1,1,2,30,12.55,10.24,13.8,10.19
6,2012,1,1,3,0,12.36,9.72,13.56,9.67
7,2012,1,1,3,30,10.94,8.98,12.15,8.91
8,2012,1,1,4,0,11.02,8.23,12.2,8.14
9,2012,1,1,4,30,10.97,7.140000000000001,12.0,7.01
10,2012,1,1,5,0,12.28,6.1000000000000005,13.13,5.92
11,2012,1,1,5,30,10.69,5.42,11.37,5.24
12,2012,1,1,6,0,11.12,4.82,12.05,4.67
13,2012,1,1,6,30,11.06,4.39,12.01,4.25
14,2012,1,1,7,0,10.58,4.05,11.58,3.93
15,2012,1,1,7,30,10.59,3.79,11.51,3.67
16,2012,1,1,8,0,11.39,3.62,12.21,3.46
17,2012,1,1,8,30,10.76,3.87,11.9,3.7
18,2012,1,1,9,0,10.39,3.88,10.84,3.67
19,2012,1,1,9,30,11.71,4.0,12.12,3.78
20,2012,1,1,10,0,11.3,4.19,11.66,3.97
21,2012,1,1,10,30,10.32,4.41,10.66,4.18
22,2012,1,1,11,0,9.96,4.59,10.3,4.37
23,2012,1,1,11,30,9.55,4.87,9.88,4.64
24,2012,1,1,12,0,9.4,5.24,9.73,5.01
25,2012,1,1,12,30,9.47,5.57,9.78,5.34
26,2012,1,1,13,0,9.68,5.93,9.99,5.7
27,2012,1,1,13,30,9.96,6.21,10.24,5.98
28,2012,1,1,14,0,9.95,6.43,10.23,6.21
29,2012,1,1,14,30,10.24,6.5600000000000005,10.53,6.34
30,2012,1,1,15,0,10.3,6.59,10.61,6.38
31,2012,1,1,15,30,9.18,6.55,9.53,6.3500000000000005
32,2012,1,1,16,0,9.03,6.3,9.65,6.13
33,2012,1,1,16,30,8.75,6.11,9.6,5.99
34,2012,1,1,17,0,10.03,5.8100000000000005,10.94,5.78
35,2012,1,1,17,30,10.59,5.48,11.51,5.46
36,2012,1,1,18,0,11.43,5.2,12.46,5.16
37,2012,1,1,18,30,11.34,4.9,12.34,4.8500000000000005
38,2012,1,1,19,0,13.12,4.73,14.41,4.68
39,2012,1,1,19,30,14.5,3.83,16.01,3.74
40,2012,1,1,20,0,11.83,3.52,13.32,3.44
41,2012,1,1,20,30,8.52,3.04,10.08,3.0700000000000003
42,2012,1,1,21,0,9.52,3.0,10.43,2.96
43,2012,1,1,21,30,10.75,2.64,11.56,2.56
44,2012,1,1,22,0,13.61,2.35,14.97,2.3000000000000003
45,2012,1,1,22,30,9.92,1.66,10.66,1.59
46,2012,1,1,23,0,9.24,1.3,9.96,1.26
47,2012,1,1,23,30,9.73,0.87,10.72,0.8200000000000001
48,2012,1,2,0,0,10.26,0.29,11.58,0.21
49,2012,1,2,0,30,10.44,-0.03,11.61,-0.1
50,2012,1,2,1,0,7.63,0.02,8.23,-0.06
51,2012,1,2,1,30,10.32,-0.54,11.58,-0.66
52,2012,1,2,2,0,9.86,-0.62,10.73,-0.73
53,2012,1,2,2,30,7.96,-0.9,8.76,-1.0
54,2012,1,2,3,0,11.26,-1.39,12.32,-1.55
55,2012,1,2,3,30,7.99,-1.54,8.540000000000001,-1.66
56,2012,1,2,4,0,11.44,-1.92,12.35,-2.05
57,2012,1,2,4,30,7.72,-1.93,8.4,-2.06
58,2012,1,2,5,0,9.72,-2.21,10.48,-2.37
59,2012,1,2,5,30,7.4,-2.33,7.98,-2.49
60,2012,1,2,6,0,9.4,-2.62,10.15,-2.78
61,2012,1,2,6,30,9.1,-2.86,9.89,-3.03
62,2012,1,2,7,0,9.13,-3.11,9.94,-3.29
63,2012,1,2,7,30,8.26,-3.31,9.05,-3.47
64,2012,1,2,8,0,9.54,-3.21,10.43,-3.4
65,2012,1,2,8,30,11.26,-3.11,11.73,-3.3200000000000003
66,2012,1,2,9,0,11.76,-2.95,12.19,-3.17
67,2012,1,2,9,30,12.11,-2.82,12.55,-3.04
68,2012,1,2,10,0,11.4,-2.61,11.8,-2.84
69,2012,1,2,10,30,11.58,-2.44,11.97,-2.68
70,2012,1,2,11,0,11.45,-2.23,11.82,-2.47
71,2012,1,2,11,30,11.8,-2.03,12.18,-2.27
72,2012,1,2,12,0,11.77,-1.82,12.17,-2.06
73,2012,1,2,12,30,12.1,-1.67,12.49,-1.91
74,2012,1,2,13,0,12.47,-1.55,12.87,-1.79
75,2012,1,2,13,30,12.61,-1.45,13.02,-1.69
76,2012,1,2,14,0,12.86,-1.43,13.28,-1.66
77,2012,1,2,14,30,12.88,-1.44,13.29,-1.67
78,2012,1,2,15,0,12.53,-1.51,12.96,-1.73
79,2012,1,2,15,30,12.68,-1.7,13.14,-1.91
80,2012,1,2,16,0,11.45,-1.9,11.99,-2.1
81,2012,1,2,16,30,10.03,-2.19,10.94,-2.35
82,2012,1,2,17,0,10.2,-2.65,11.42,-2.77
83,2012,1,2,17,30,9.86,-2.89,10.78,-3.02
84,2012,1,2,18,0,9.95,-3.24,10.89,-3.4
85,2012,1,2,18,30,10.73,-3.64,11.69,-3.79
86,2012,1,2,19,0,9.27,-3.88,10.03,-4.04
87,2012,1,2,19,30,7.86,-4.17,8.620000000000001,-4.33
88,2012,1,2,20,0,7.27,-4.37,7.92,-4.53
89,2012,1,2,20,30,7.28,-4.63,8.13,-4.8100000000000005
90,2012,1,2,21,0,7.72,-4.93,8.49,-5.13
91,2012,1,2,21,30,8.73,-5.2700000000000005,9.68,-5.46
92,2012,1,2,22,0,10.03,-5.5,10.69,-5.69
93,2012,1,2,22,30,8.620000000000001,-5.75,9.16,-5.93
94,2012,1,2,23,0,9.13,-5.89,10.15,-6.08
95,2012,1,2,23,30,9.99,-6.19,10.76,-6.38
96,2012,1,3,0,0,8.91,-6.390000000000001,9.61,-6.58
97,2012,1,3,0,30,6.03,-6.48,6.63,-6.66
98,2012,1,3,1,0,3.67,-6.5200000000000005,4.08,-6.71
99,2012,1,3,1,30,4.75,-6.7700000000000005,5.54,-6.96
100,2012,1,3,2,0,6.2,-7.0200000000000005,6.84,-7.2
101,2012,1,3,2,30,6.28,-7.13,6.98,-7.31
102,2012,1,3,3,0,5.01,-7.15,5.5200000000000005,-7.33
103,2012,1,3,3,30,5.41,-7.19,5.94,-7.37
104,2012,1,3,4,0,5.3,-7.32,5.63,-7.5
105,2012,1,3,4,30,6.42,-7.53,7.1000000000000005,-7.7
106,2012,1,3,5,0,6.05,-7.59,6.62,-7.75
107,2012,1,3,5,30,4.48,-7.57,4.8100000000000005,-7.74
108,2012,1,3,6,0,4.07,-7.79,4.72,-7.99
109,2012,1,3,6,30,4.93,-7.98,5.78,-8.13
110,2012,1,3,7,0,5.25,-7.98,5.69,-8.1
111,2012,1,3,7,30,4.21,-8.02,4.54,-8.14
112,2012,1,3,8,0,2.97,-8.02,3.37,-8.120000000000001
113,2012,1,3,8,30,2.14,-7.63,2.2,-7.82
114,2012,1,3,9,0,1.82,-7.15,1.83,-7.35
115,2012,1,3,9,30,1.82,-6.58,1.83,-6.79
116,2012,1,3,10,0,2.1,-6.0,2.12,-6.2
117,2012,1,3,10,30,2.36,-5.42,2.39,-5.64
118,2012,1,3,11,0,2.05,-4.87,2.07,-5.09
119,2012,1,3,11,30,2.48,-4.32,2.51,-4.54
