,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,14.22,9.88,15.33,9.94
1,2012,1,1,0,30,13.02,9.74,14.06,9.82
2,2012,1,1,1,0,12.33,9.56,13.48,9.64
3,2012,1,1,1,30,11.55,9.27,12.91,9.4
4,2012,1,1,2,0,11.7,9.15,12.87,9.18
5,2012,1,1,2,30,11.44,8.59,12.97,8.620000000000001
6,2012,1,1,3,0,12.75,7.79,13.79,7.68
7,2012,1,1,3,30,16.080000000000002,5.92,17.11,5.74
8,2012,1,1,4,0,11.19,4.54,12.54,4.39
9,2012,1,1,4,30,12.32,3.94,13.22,3.8
10,2012,1,1,5,0,12.02,3.44,13.21,3.3200000000000003
11,2012,1,1,5,30,11.74,3.3000000000000003,12.66,3.19
12,2012,1,1,6,0,13.19,2.85,14.27,2.74
13,2012,1,1,6,30,13.12,2.68,14.1,2.54
14,2012,1,1,7,0,13.78,2.42,14.72,2.28
15,2012,1,1,7,30,13.94,2.09,14.88,1.95
16,2012,1,1,8,0,14.87,1.93,15.67,1.77
17,2012,1,1,8,30,15.02,2.07,15.7,1.88
18,2012,1,1,9,0,14.15,2.14,14.65,1.94
19,2012,1,1,9,30,14.5,2.32,14.88,2.11
20,2012,1,1,10,0,13.91,2.5,14.27,2.28
21,2012,1,1,10,30,13.04,2.82,13.37,2.6
22,2012,1,1,11,0,12.43,3.2,12.75,2.98
23,2012,1,1,11,30,12.21,3.59,12.51,3.37
24,2012,1,1,12,0,11.68,4.0,11.98,3.78
25,2012,1,1,12,30,11.46,4.37,11.78,4.14
26,2012,1,1,13,0,11.48,4.63,11.81,4.41
27,2012,1,1,13,30,11.34,4.79,11.67,4.57
28,2012,1,1,14,0,12.1,4.86,12.44,4.64
29,2012,1,1,14,30,12.37,4.98,12.71,4.7700000000000005
30,2012,1,1,15,0,12.13,5.08,12.49,4.87
31,2012,1,1,15,30,11.07,5.08,11.47,4.88
32,2012,1,1,16,0,9.41,4.86,10.1,4.7
33,2012,1,1,16,30,9.72,4.5,10.67,4.42
34,2012,1,1,17,0,10.54,4.14,11.65,4.12
35,2012,1,1,17,30,11.14,3.79,12.23,3.78
36,2012,1,1,18,0,13.05,3.6,14.58,3.56
37,2012,1,1,18,30,11.27,2.92,12.58,2.92
38,2012,1,1,19,0,12.5,2.66,14.0,2.68
39,2012,1,1,19,30,10.96,2.17,12.11,2.18
40,2012,1,1,20,0,13.31,2.14,14.66,2.12
41,2012,1,1,20,30,12.46,1.69,13.69,1.68
42,2012,1,1,21,0,12.6,1.25,13.82,1.23
