,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.24,9.9,14.29,9.89
1,2012,1,1,0,30,13.51,9.9,14.67,9.9
2,2012,1,1,1,0,13.39,9.25,14.7,9.32
3,2012,1,1,1,30,13.1,8.75,14.37,8.790000000000001
4,2012,1,1,2,0,13.11,8.26,14.37,8.34
5,2012,1,1,2,30,13.48,8.03,14.7,8.17
6,2012,1,1,3,0,12.58,7.930000000000001,13.95,8.09
7,2012,1,1,3,30,12.56,7.88,13.89,7.98
8,2012,1,1,4,0,11.76,7.73,13.26,7.82
9,2012,1,1,4,30,9.88,7.47,10.57,7.41
10,2012,1,1,5,0,10.89,6.3,12.25,6.18
11,2012,1,1,5,30,8.67,5.17,9.69,5.04
12,2012,1,1,6,0,11.95,4.13,12.58,3.94
13,2012,1,1,6,30,11.44,3.67,12.02,3.47
14,2012,1,1,7,0,12.31,3.09,13.06,2.9
15,2012,1,1,7,30,10.97,2.61,11.97,2.43
16,2012,1,1,8,0,11.83,2.25,12.61,2.08
17,2012,1,1,8,30,11.84,2.49,12.5,2.3000000000000003
18,2012,1,1,9,0,12.77,2.79,13.25,2.58
19,2012,1,1,9,30,13.46,2.9,13.88,2.69
20,2012,1,1,10,0,13.76,3.03,14.16,2.82
21,2012,1,1,10,30,13.73,3.13,14.1,2.9
22,2012,1,1,11,0,13.14,3.23,13.5,3.01
23,2012,1,1,11,30,12.76,3.37,13.11,3.15
24,2012,1,1,12,0,12.67,3.59,13.02,3.37
25,2012,1,1,12,30,12.68,3.77,13.01,3.54
26,2012,1,1,13,0,12.49,3.93,12.82,3.7
27,2012,1,1,13,30,12.42,4.09,12.76,3.86
28,2012,1,1,14,0,12.58,4.16,12.96,3.94
29,2012,1,1,14,30,13.05,4.13,13.44,3.92
30,2012,1,1,15,0,12.98,3.99,13.39,3.78
31,2012,1,1,15,30,11.96,3.72,12.43,3.53
32,2012,1,1,16,0,10.48,3.44,11.23,3.27
33,2012,1,1,16,30,10.51,3.0700000000000003,11.56,2.96
34,2012,1,1,17,0,10.98,2.79,11.97,2.71
35,2012,1,1,17,30,11.79,2.61,12.96,2.5500000000000003
36,2012,1,1,18,0,9.93,2.17,10.74,2.1
37,2012,1,1,18,30,12.78,1.97,13.75,1.88
38,2012,1,1,19,0,10.85,1.5,11.92,1.44
39,2012,1,1,19,30,9.73,1.09,10.93,1.11
40,2012,1,1,20,0,11.77,1.09,12.84,1.06
41,2012,1,1,20,30,11.87,0.52,13.96,0.5700000000000001
