,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.12,10.4,14.19,10.35
1,2012,1,1,0,30,14.18,10.29,15.34,10.29
2,2012,1,1,1,0,13.51,10.41,14.69,10.42
3,2012,1,1,1,30,13.64,10.35,14.92,10.41
4,2012,1,1,2,0,13.14,10.3,14.5,10.37
5,2012,1,1,2,30,13.05,10.15,14.52,10.22
6,2012,1,1,3,0,13.03,9.86,14.36,9.9
7,2012,1,1,3,30,12.39,9.43,13.5,9.42
8,2012,1,1,4,0,11.4,8.86,12.53,8.83
9,2012,1,1,4,30,10.94,8.27,11.85,8.23
10,2012,1,1,5,0,10.7,7.0600000000000005,11.81,6.87
11,2012,1,1,5,30,10.89,5.6000000000000005,11.88,5.48
12,2012,1,1,6,0,11.17,4.39,12.29,4.24
13,2012,1,1,6,30,11.66,3.87,12.7,3.73
14,2012,1,1,7,0,8.55,3.51,9.84,3.38
15,2012,1,1,7,30,11.15,3.22,12.12,3.0700000000000003
16,2012,1,1,8,0,9.94,3.0500000000000003,10.66,2.88
17,2012,1,1,8,30,11.09,3.36,11.72,3.17
18,2012,1,1,9,0,12.14,3.42,12.55,3.21
19,2012,1,1,9,30,12.33,3.72,12.7,3.5
20,2012,1,1,10,0,12.38,3.84,12.72,3.62
21,2012,1,1,10,30,11.96,4.0,12.28,3.78
22,2012,1,1,11,0,11.36,4.23,11.67,4.01
23,2012,1,1,11,30,10.89,4.4,11.19,4.18
24,2012,1,1,12,0,11.01,4.62,11.31,4.4
25,2012,1,1,12,30,11.04,4.88,11.34,4.66
26,2012,1,1,13,0,11.02,5.15,11.31,4.93
27,2012,1,1,13,30,11.26,5.38,11.55,5.15
28,2012,1,1,14,0,11.61,5.5200000000000005,11.89,5.3
29,2012,1,1,14,30,11.87,5.6000000000000005,12.16,5.38
30,2012,1,1,15,0,11.11,5.61,11.44,5.4
31,2012,1,1,15,30,9.92,5.5,10.35,5.3
32,2012,1,1,16,0,7.96,5.28,8.69,5.13
33,2012,1,1,16,30,7.8,4.94,8.78,4.86
34,2012,1,1,17,0,10.11,4.58,11.39,4.57
35,2012,1,1,17,30,9.92,4.34,11.07,4.36
36,2012,1,1,18,0,10.47,3.94,11.71,3.97
37,2012,1,1,18,30,9.68,3.68,10.59,3.65
38,2012,1,1,19,0,7.54,3.16,8.56,3.13
39,2012,1,1,19,30,12.32,3.11,13.17,3.09
40,2012,1,1,20,0,12.08,2.71,13.88,2.76
41,2012,1,1,20,30,9.4,1.83,11.11,1.94
42,2012,1,1,21,0,10.22,1.89,11.75,1.94
43,2012,1,1,21,30,8.950000000000001,1.59,10.05,1.54
44,2012,1,1,22,0,13.22,1.21,14.76,1.22
45,2012,1,1,22,30,9.77,0.67,10.72,0.59
46,2012,1,1,23,0,9.42,0.15,10.91,0.12
47,2012,1,1,23,30,12.5,0.14,13.64,0.07
48,2012,1,2,0,0,7.61,-0.27,8.370000000000001,-0.35
49,2012,1,2,0,30,8.870000000000001,-0.68,9.97,-0.73
50,2012,1,2,1,0,13.9,-0.63,14.91,-0.78
51,2012,1,2,1,30,7.29,-1.09,8.06,-1.23
52,2012,1,2,2,0,9.17,-1.46,10.25,-1.52
53,2012,1,2,2,30,7.82,-1.44,8.36,-1.53
54,2012,1,2,3,0,12.69,-1.87,13.7,-2.01
