,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.98,7.48,14.35,7.58
1,2012,1,1,0,30,12.68,7.33,14.02,7.43
2,2012,1,1,1,0,11.56,6.98,12.9,7.04
3,2012,1,1,1,30,11.08,6.68,12.34,6.71
4,2012,1,1,2,0,11.12,6.2700000000000005,12.31,6.28
5,2012,1,1,2,30,11.72,5.4,12.83,5.33
6,2012,1,1,3,0,11.89,4.25,12.97,4.11
7,2012,1,1,3,30,11.41,3.29,12.39,3.15
8,2012,1,1,4,0,12.87,3.11,13.45,2.91
9,2012,1,1,4,30,12.8,2.65,13.37,2.46
10,2012,1,1,5,0,12.58,2.37,13.22,2.18
11,2012,1,1,5,30,12.95,2.25,13.59,2.08
12,2012,1,1,6,0,14.04,2.19,14.71,2.0
13,2012,1,1,6,30,13.45,1.77,14.16,1.6
14,2012,1,1,7,0,14.12,1.59,14.94,1.43
15,2012,1,1,7,30,14.75,1.15,15.59,0.99
16,2012,1,1,8,0,15.29,0.6900000000000001,15.99,0.51
17,2012,1,1,8,30,15.09,0.51,15.78,0.32
18,2012,1,1,9,0,14.11,0.43,14.6,0.23
19,2012,1,1,9,30,14.41,0.53,14.85,0.32
20,2012,1,1,10,0,14.26,0.7000000000000001,14.65,0.48
21,2012,1,1,10,30,14.07,0.86,14.45,0.64
22,2012,1,1,11,0,14.28,1.17,14.66,0.94
23,2012,1,1,11,30,14.43,1.47,14.8,1.25
24,2012,1,1,12,0,14.73,1.68,15.1,1.45
25,2012,1,1,12,30,14.69,1.76,15.06,1.53
26,2012,1,1,13,0,14.54,1.8,14.93,1.57
27,2012,1,1,13,30,14.48,1.96,14.87,1.73
28,2012,1,1,14,0,14.41,2.12,14.82,1.89
29,2012,1,1,14,30,14.15,2.25,14.59,2.03
30,2012,1,1,15,0,14.81,2.23,15.27,2.02
31,2012,1,1,15,30,14.53,2.14,15.03,1.94
32,2012,1,1,16,0,13.11,1.94,13.76,1.76
33,2012,1,1,16,30,12.51,1.66,13.36,1.51
34,2012,1,1,17,0,10.35,1.3,11.21,1.19
35,2012,1,1,17,30,11.59,1.09,12.62,0.99
36,2012,1,1,18,0,12.18,0.8300000000000001,13.19,0.74
37,2012,1,1,18,30,11.45,0.61,12.38,0.51
38,2012,1,1,19,0,13.3,0.25,14.61,0.15
39,2012,1,1,19,30,10.48,-0.01,11.41,-0.09
40,2012,1,1,20,0,12.19,-0.22,13.1,-0.32
41,2012,1,1,20,30,14.43,-0.71,15.45,-0.86
42,2012,1,1,21,0,15.05,-0.8300000000000001,15.92,-0.99
43,2012,1,1,21,30,13.05,-1.23,14.03,-1.38
44,2012,1,1,22,0,9.67,-1.73,10.45,-1.88
45,2012,1,1,22,30,18.04,-1.97,18.83,-2.15
46,2012,1,1,23,0,8.28,-2.22,9.05,-2.38
47,2012,1,1,23,30,10.55,-2.6,11.33,-2.79
