,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.38,8.31,13.37,8.34
1,2012,1,1,0,30,11.43,7.57,12.38,7.51
2,2012,1,1,1,0,10.79,6.76,11.89,6.68
3,2012,1,1,1,30,11.47,5.64,12.29,5.54
4,2012,1,1,2,0,12.22,4.46,13.23,4.34
5,2012,1,1,2,30,11.51,3.74,12.46,3.62
6,2012,1,1,3,0,11.11,3.5500000000000003,11.76,3.36
7,2012,1,1,3,30,11.16,3.04,11.98,2.88
8,2012,1,1,4,0,9.54,2.5,10.52,2.35
9,2012,1,1,4,30,10.28,2.3000000000000003,11.19,2.18
10,2012,1,1,5,0,9.98,2.06,11.0,1.94
11,2012,1,1,5,30,11.33,1.84,12.31,1.7
12,2012,1,1,6,0,12.16,1.62,13.12,1.48
13,2012,1,1,6,30,13.41,1.35,14.33,1.2
14,2012,1,1,7,0,13.86,0.99,14.79,0.84
15,2012,1,1,7,30,13.36,0.49,14.3,0.33
16,2012,1,1,8,0,14.04,0.1,14.87,-0.06
17,2012,1,1,8,30,14.23,0.04,14.84,-0.15
18,2012,1,1,9,0,12.41,0.25,12.95,0.05
19,2012,1,1,9,30,13.23,0.43,13.65,0.22
20,2012,1,1,10,0,14.0,0.7000000000000001,14.39,0.48
21,2012,1,1,10,30,14.32,1.12,14.67,0.89
22,2012,1,1,11,0,13.96,1.41,14.29,1.18
23,2012,1,1,11,30,13.12,1.65,13.44,1.42
24,2012,1,1,12,0,13.06,1.88,13.39,1.66
25,2012,1,1,12,30,13.16,2.2,13.5,1.98
26,2012,1,1,13,0,13.57,2.48,13.91,2.25
27,2012,1,1,13,30,13.64,2.75,14.01,2.52
28,2012,1,1,14,0,13.94,2.87,14.33,2.64
29,2012,1,1,14,30,14.27,2.92,14.69,2.7
30,2012,1,1,15,0,13.88,2.96,14.32,2.75
31,2012,1,1,15,30,13.61,2.82,14.1,2.62
32,2012,1,1,16,0,12.17,2.65,12.84,2.47
33,2012,1,1,16,30,10.64,2.28,11.47,2.16
34,2012,1,1,17,0,11.39,2.0,12.35,1.91
35,2012,1,1,17,30,12.2,1.65,13.35,1.58
36,2012,1,1,18,0,12.23,1.39,13.36,1.31
37,2012,1,1,18,30,13.99,1.27,15.21,1.19
38,2012,1,1,19,0,11.74,0.76,12.79,0.66
39,2012,1,1,19,30,11.94,0.47,12.8,0.39
40,2012,1,1,20,0,11.44,0.16,12.52,0.11
41,2012,1,1,20,30,11.64,-0.35,12.84,-0.41
42,2012,1,1,21,0,13.03,-0.6,14.07,-0.71
43,2012,1,1,21,30,11.26,-0.89,12.12,-1.0
44,2012,1,1,22,0,13.44,-1.06,14.45,-1.18
45,2012,1,1,22,30,11.56,-1.53,12.72,-1.67
46,2012,1,1,23,0,13.99,-1.73,14.91,-1.9
47,2012,1,1,23,30,8.040000000000001,-2.13,8.58,-2.28
48,2012,1,2,0,0,14.47,-2.2,15.23,-2.37
49,2012,1,2,0,30,8.02,-2.46,8.52,-2.63
50,2012,1,2,1,0,12.5,-2.68,13.15,-2.86
51,2012,1,2,1,30,10.72,-3.16,11.45,-3.35
52,2012,1,2,2,0,12.85,-3.44,13.61,-3.62
53,2012,1,2,2,30,11.91,-3.53,12.56,-3.71
54,2012,1,2,3,0,9.63,-3.72,10.41,-3.91
55,2012,1,2,3,30,12.98,-3.98,13.65,-4.16
56,2012,1,2,4,0,12.48,-4.03,13.13,-4.22
57,2012,1,2,4,30,9.44,-4.11,9.94,-4.29
58,2012,1,2,5,0,13.55,-4.34,14.18,-4.53
59,2012,1,2,5,30,12.36,-4.5200000000000005,12.97,-4.7
60,2012,1,2,6,0,12.0,-4.64,12.61,-4.83
61,2012,1,2,6,30,12.18,-4.7700000000000005,12.79,-4.95
62,2012,1,2,7,0,11.99,-4.9,12.59,-5.08
63,2012,1,2,7,30,11.87,-5.01,12.47,-5.19
64,2012,1,2,8,0,11.66,-5.15,12.22,-5.34
65,2012,1,2,8,30,13.78,-5.21,14.26,-5.42
66,2012,1,2,9,0,14.45,-5.32,14.89,-5.54
67,2012,1,2,9,30,14.83,-5.3500000000000005,15.25,-5.57
68,2012,1,2,10,0,14.67,-5.32,15.07,-5.55
69,2012,1,2,10,30,14.31,-5.2700000000000005,14.69,-5.5
70,2012,1,2,11,0,14.5,-5.21,14.87,-5.45
71,2012,1,2,11,30,13.97,-5.1000000000000005,14.34,-5.34
72,2012,1,2,12,0,13.87,-5.0,14.23,-5.24
73,2012,1,2,12,30,13.66,-4.89,14.01,-5.13
74,2012,1,2,13,0,13.6,-4.8100000000000005,13.96,-5.05
75,2012,1,2,13,30,13.36,-4.76,13.72,-4.99
76,2012,1,2,14,0,12.65,-4.73,13.0,-4.96
77,2012,1,2,14,30,12.61,-4.76,12.97,-4.99
78,2012,1,2,15,0,12.69,-4.82,13.06,-5.04
79,2012,1,2,15,30,12.61,-4.93,12.99,-5.15
80,2012,1,2,16,0,11.55,-5.07,11.98,-5.28
81,2012,1,2,16,30,10.38,-5.3,11.03,-5.48
82,2012,1,2,17,0,10.75,-5.5200000000000005,11.53,-5.69
83,2012,1,2,17,30,11.3,-5.7,12.04,-5.87
84,2012,1,2,18,0,10.92,-5.88,11.57,-6.0600000000000005
85,2012,1,2,18,30,9.3,-6.0600000000000005,9.91,-6.23
86,2012,1,2,19,0,9.94,-6.15,10.68,-6.33
87,2012,1,2,19,30,9.05,-6.33,9.68,-6.5200000000000005
88,2012,1,2,20,0,7.87,-6.5,8.47,-6.68
89,2012,1,2,20,30,7.73,-6.71,8.5,-6.9
90,2012,1,2,21,0,8.120000000000001,-6.95,8.86,-7.13
91,2012,1,2,21,30,7.95,-7.18,8.63,-7.36
92,2012,1,2,22,0,7.22,-7.4,7.930000000000001,-7.57
93,2012,1,2,22,30,6.55,-7.57,7.24,-7.75
94,2012,1,2,23,0,6.5200000000000005,-7.71,7.21,-7.88
95,2012,1,2,23,30,6.76,-7.87,7.48,-8.040000000000001
96,2012,1,3,0,0,6.45,-8.01,7.09,-8.17
97,2012,1,3,0,30,6.1000000000000005,-8.18,6.7,-8.33
98,2012,1,3,1,0,5.93,-8.34,6.46,-8.49
99,2012,1,3,1,30,5.99,-8.46,6.54,-8.61
100,2012,1,3,2,0,5.7,-8.65,6.21,-8.8
101,2012,1,3,2,30,5.29,-8.76,5.8,-8.89
102,2012,1,3,3,0,5.15,-8.88,5.7,-9.01
103,2012,1,3,3,30,5.37,-8.93,5.73,-9.07
104,2012,1,3,4,0,5.15,-9.03,5.44,-9.18
105,2012,1,3,4,30,4.6000000000000005,-9.12,4.89,-9.25
106,2012,1,3,5,0,3.74,-9.13,4.03,-9.28
107,2012,1,3,5,30,3.24,-9.15,3.49,-9.27
108,2012,1,3,6,0,2.89,-9.24,2.82,-9.25
109,2012,1,3,6,30,2.61,-9.25,2.46,-9.22
110,2012,1,3,7,0,1.66,-9.14,1.58,-9.13
111,2012,1,3,7,30,1.41,-9.11,1.28,-9.05
112,2012,1,3,8,0,1.73,-8.8,1.57,-8.74
113,2012,1,3,8,30,2.88,-8.64,2.76,-8.57
114,2012,1,3,9,0,1.96,-8.45,2.48,-8.49
115,2012,1,3,9,30,2.54,-7.62,2.65,-7.8
116,2012,1,3,10,0,3.63,-6.94,3.68,-7.140000000000001
117,2012,1,3,10,30,4.12,-6.43,4.18,-6.640000000000001
118,2012,1,3,11,0,3.62,-5.9,3.67,-6.11
119,2012,1,3,11,30,4.05,-5.3,4.1,-5.51
120,2012,1,3,12,0,4.3500000000000005,-4.7,4.41,-4.91
121,2012,1,3,12,30,4.18,-3.99,4.25,-4.21
122,2012,1,3,13,0,4.5600000000000005,-3.29,4.64,-3.5
123,2012,1,3,13,30,5.15,-2.65,5.24,-2.87
124,2012,1,3,14,0,5.73,-2.23,5.84,-2.44
125,2012,1,3,14,30,6.3100000000000005,-1.9,6.41,-2.12
126,2012,1,3,15,0,6.82,-1.7,6.94,-1.91
127,2012,1,3,15,30,7.12,-1.54,7.36,-1.74
128,2012,1,3,16,0,7.25,-1.63,7.7,-1.81
129,2012,1,3,16,30,8.91,-1.91,9.58,-2.02
130,2012,1,3,17,0,9.67,-2.03,10.6,-2.03
131,2012,1,3,17,30,9.45,-2.44,10.55,-2.43
132,2012,1,3,18,0,10.19,-2.43,11.34,-2.4
133,2012,1,3,18,30,10.36,-2.37,11.51,-2.34
134,2012,1,3,19,0,10.38,-2.37,11.58,-2.32
135,2012,1,3,19,30,10.62,-2.17,11.8,-2.12
136,2012,1,3,20,0,10.46,-2.06,11.56,-1.99
137,2012,1,3,20,30,9.87,-1.96,11.04,-1.89
138,2012,1,3,21,0,9.7,-1.84,11.18,-1.79
139,2012,1,3,21,30,10.05,-1.65,11.33,-1.66
140,2012,1,3,22,0,10.44,-1.52,11.54,-1.57
141,2012,1,3,22,30,11.03,-1.41,12.03,-1.47
142,2012,1,3,23,0,11.25,-1.34,12.2,-1.4
143,2012,1,3,23,30,10.72,-1.29,11.63,-1.33
144,2012,1,4,0,0,9.58,-1.22,10.5,-1.26
145,2012,1,4,0,30,9.65,-1.05,10.55,-1.07
146,2012,1,4,1,0,9.88,-0.84,10.78,-0.87
147,2012,1,4,1,30,9.43,-0.75,10.32,-0.78
148,2012,1,4,2,0,9.39,-0.65,10.27,-0.67
149,2012,1,4,2,30,9.26,-0.58,10.13,-0.58
150,2012,1,4,3,0,8.55,-0.55,9.4,-0.5700000000000001
151,2012,1,4,3,30,7.83,-0.5,8.68,-0.54
152,2012,1,4,4,0,7.75,-0.39,8.67,-0.42
153,2012,1,4,4,30,7.74,-0.4,8.82,-0.4
154,2012,1,4,5,0,7.66,-0.44,8.71,-0.43
155,2012,1,4,5,30,7.99,-0.53,9.19,-0.44
156,2012,1,4,6,0,8.26,-0.66,9.46,-0.6
157,2012,1,4,6,30,8.82,-0.95,10.07,-0.87
158,2012,1,4,7,0,8.63,-1.41,9.82,-1.29
159,2012,1,4,7,30,8.85,-1.61,10.15,-1.39
160,2012,1,4,8,0,8.61,-1.74,9.83,-1.53
161,2012,1,4,8,30,6.79,-1.55,7.42,-1.51
162,2012,1,4,9,0,6.12,-0.75,6.8100000000000005,-0.76
163,2012,1,4,9,30,5.0200000000000005,-0.09,5.34,-0.26
164,2012,1,4,10,0,5.1000000000000005,0.55,5.19,0.35
165,2012,1,4,10,30,5.08,1.15,5.16,0.95
166,2012,1,4,11,0,5.22,1.85,5.3,1.65
167,2012,1,4,11,30,5.59,2.59,5.68,2.38
168,2012,1,4,12,0,6.0200000000000005,3.17,6.13,2.95
169,2012,1,4,12,30,6.43,3.5500000000000003,6.54,3.33
170,2012,1,4,13,0,6.65,3.86,6.76,3.64
171,2012,1,4,13,30,6.82,4.15,6.94,3.94
172,2012,1,4,14,0,6.84,4.41,6.97,4.19
173,2012,1,4,14,30,6.98,4.39,7.12,4.18
174,2012,1,4,15,0,6.88,4.26,7.13,4.0600000000000005
175,2012,1,4,15,30,7.13,4.17,7.54,4.0
176,2012,1,4,16,0,8.27,4.1,8.68,3.93
177,2012,1,4,16,30,9.28,4.03,9.64,3.86
178,2012,1,4,17,0,8.77,3.81,9.44,3.65
179,2012,1,4,17,30,7.9,3.27,8.66,3.29
180,2012,1,4,18,0,8.48,2.8000000000000003,9.44,2.99
181,2012,1,4,18,30,8.33,2.4,9.51,2.6
182,2012,1,4,19,0,7.99,2.07,9.37,2.4
183,2012,1,4,19,30,7.35,1.81,8.93,2.27
184,2012,1,4,20,0,6.57,1.66,8.31,2.23
185,2012,1,4,20,30,6.71,1.87,8.11,2.28
