,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.46,9.22,12.69,9.44
1,2012,1,1,0,30,10.51,9.24,11.69,9.4
2,2012,1,1,1,0,10.11,8.99,11.42,9.08
3,2012,1,1,1,30,9.22,8.55,10.43,8.64
4,2012,1,1,2,0,11.04,8.17,12.46,8.23
5,2012,1,1,2,30,11.28,7.1000000000000005,12.92,7.03
6,2012,1,1,3,0,11.02,5.79,12.08,5.7
7,2012,1,1,3,30,12.87,4.86,14.24,4.74
8,2012,1,1,4,0,10.84,4.19,11.56,4.04
9,2012,1,1,4,30,14.9,3.44,15.77,3.29
10,2012,1,1,5,0,12.96,3.13,13.88,2.99
11,2012,1,1,5,30,13.4,2.81,14.33,2.66
12,2012,1,1,6,0,14.62,2.67,15.55,2.52
13,2012,1,1,6,30,15.75,2.5,16.59,2.35
14,2012,1,1,7,0,14.46,2.18,15.32,2.03
15,2012,1,1,7,30,14.68,1.94,15.52,1.79
16,2012,1,1,8,0,13.65,1.7,14.43,1.54
17,2012,1,1,8,30,14.44,1.71,15.09,1.52
18,2012,1,1,9,0,13.79,1.74,14.26,1.53
19,2012,1,1,9,30,13.57,1.81,13.95,1.6
20,2012,1,1,10,0,13.1,2.08,13.45,1.86
21,2012,1,1,10,30,12.12,2.36,12.45,2.15
22,2012,1,1,11,0,11.39,2.69,11.72,2.47
23,2012,1,1,11,30,11.14,3.08,11.49,2.86
24,2012,1,1,12,0,11.67,3.43,12.03,3.21
25,2012,1,1,12,30,12.29,3.74,12.62,3.52
26,2012,1,1,13,0,12.47,3.99,12.82,3.76
27,2012,1,1,13,30,12.21,4.18,12.58,3.96
28,2012,1,1,14,0,12.35,4.44,12.74,4.22
29,2012,1,1,14,30,12.32,4.66,12.71,4.44
30,2012,1,1,15,0,12.27,4.7700000000000005,12.68,4.5600000000000005
31,2012,1,1,15,30,11.79,4.7,12.31,4.51
32,2012,1,1,16,0,11.02,4.43,11.79,4.26
33,2012,1,1,16,30,11.66,3.99,12.62,3.88
34,2012,1,1,17,0,11.06,3.5700000000000003,12.05,3.49
35,2012,1,1,17,30,11.96,3.28,13.03,3.2
36,2012,1,1,18,0,12.11,2.94,13.15,2.85
37,2012,1,1,18,30,12.55,2.58,13.6,2.49
38,2012,1,1,19,0,12.81,2.27,13.81,2.18
39,2012,1,1,19,30,14.14,2.02,15.15,1.93
40,2012,1,1,20,0,16.2,1.57,17.41,1.47
41,2012,1,1,20,30,16.02,1.34,17.080000000000002,1.21
42,2012,1,1,21,0,15.12,1.25,16.01,1.12
