,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,8.870000000000001,2.72,10.39,2.83
1,2012,1,1,0,30,8.55,2.58,10.15,2.75
2,2012,1,1,1,0,8.84,2.74,10.38,2.94
3,2012,1,1,1,30,8.46,2.84,9.94,3.01
4,2012,1,1,2,0,9.78,3.03,11.17,3.18
5,2012,1,1,2,30,6.46,1.96,7.930000000000001,2.21
6,2012,1,1,3,0,8.39,2.08,9.45,2.27
7,2012,1,1,3,30,8.17,1.03,9.53,1.19
8,2012,1,1,4,0,10.69,1.1,11.62,1.01
9,2012,1,1,4,30,12.71,1.18,13.47,1.01
10,2012,1,1,5,0,12.59,0.81,13.33,0.64
11,2012,1,1,5,30,13.94,0.87,14.67,0.7000000000000001
12,2012,1,1,6,0,14.01,0.8300000000000001,14.79,0.66
13,2012,1,1,6,30,14.99,0.64,15.77,0.47
14,2012,1,1,7,0,15.23,0.16,16.03,-0.01
15,2012,1,1,7,30,14.3,-0.54,15.19,-0.7000000000000001
16,2012,1,1,8,0,14.25,-1.45,15.16,-1.62
17,2012,1,1,8,30,15.36,-1.87,16.09,-2.06
18,2012,1,1,9,0,14.57,-2.05,15.19,-2.25
19,2012,1,1,9,30,15.08,-2.06,15.55,-2.27
20,2012,1,1,10,0,15.09,-2.07,15.52,-2.29
21,2012,1,1,10,30,14.91,-1.95,15.32,-2.17
22,2012,1,1,11,0,14.69,-1.82,15.11,-2.05
23,2012,1,1,11,30,14.93,-1.7,15.36,-1.93
24,2012,1,1,12,0,15.23,-1.58,15.67,-1.81
25,2012,1,1,12,30,15.4,-1.46,15.83,-1.69
26,2012,1,1,13,0,15.27,-1.47,15.68,-1.7
27,2012,1,1,13,30,15.27,-1.51,15.7,-1.74
28,2012,1,1,14,0,15.33,-1.66,15.74,-1.89
29,2012,1,1,14,30,15.12,-1.98,15.53,-2.2
30,2012,1,1,15,0,14.3,-2.32,14.72,-2.53
31,2012,1,1,15,30,14.61,-2.32,15.09,-2.53
32,2012,1,1,16,0,12.77,-2.49,13.32,-2.69
33,2012,1,1,16,30,12.84,-2.9,13.41,-3.09
34,2012,1,1,17,0,12.54,-3.12,13.2,-3.3000000000000003
35,2012,1,1,17,30,12.47,-3.29,13.16,-3.48
36,2012,1,1,18,0,12.14,-3.47,12.82,-3.66
37,2012,1,1,18,30,12.39,-3.63,13.02,-3.83
38,2012,1,1,19,0,12.67,-3.82,13.29,-4.0200000000000005
39,2012,1,1,19,30,12.61,-4.16,13.23,-4.36
40,2012,1,1,20,0,11.91,-4.33,12.55,-4.5200000000000005
41,2012,1,1,20,30,12.42,-4.5600000000000005,13.06,-4.76
42,2012,1,1,21,0,12.7,-4.84,13.32,-5.04
43,2012,1,1,21,30,12.64,-5.0600000000000005,13.25,-5.25
44,2012,1,1,22,0,12.35,-5.26,12.9,-5.46
45,2012,1,1,22,30,12.05,-5.42,12.59,-5.63
46,2012,1,1,23,0,11.72,-5.65,12.16,-5.86
47,2012,1,1,23,30,12.6,-5.87,13.04,-6.08
48,2012,1,2,0,0,12.53,-6.01,12.99,-6.22
49,2012,1,2,0,30,12.05,-6.21,12.44,-6.42
50,2012,1,2,1,0,12.82,-6.38,13.25,-6.59
51,2012,1,2,1,30,13.03,-6.640000000000001,13.49,-6.8500000000000005
52,2012,1,2,2,0,12.91,-6.75,13.37,-6.96
53,2012,1,2,2,30,10.99,-7.01,11.32,-7.22
54,2012,1,2,3,0,13.62,-7.32,14.08,-7.54
55,2012,1,2,3,30,12.83,-7.61,13.25,-7.82
56,2012,1,2,4,0,12.38,-7.81,12.79,-8.02
57,2012,1,2,4,30,12.06,-8.01,12.46,-8.23
58,2012,1,2,5,0,11.89,-8.24,12.29,-8.45
59,2012,1,2,5,30,11.98,-8.45,12.37,-8.67
60,2012,1,2,6,0,12.35,-8.69,12.75,-8.9
61,2012,1,2,6,30,12.19,-8.870000000000001,12.57,-9.08
62,2012,1,2,7,0,12.49,-9.04,12.87,-9.25
63,2012,1,2,7,30,12.69,-9.24,13.08,-9.45
64,2012,1,2,8,0,12.7,-9.46,13.08,-9.67
65,2012,1,2,8,30,13.02,-9.62,13.39,-9.83
66,2012,1,2,9,0,13.41,-9.66,13.79,-9.88
67,2012,1,2,9,30,13.32,-9.64,13.67,-9.87
68,2012,1,2,10,0,13.06,-9.55,13.39,-9.78
69,2012,1,2,10,30,12.74,-9.41,13.05,-9.64
70,2012,1,2,11,0,12.44,-9.29,12.74,-9.52
71,2012,1,2,11,30,12.12,-9.18,12.42,-9.41
72,2012,1,2,12,0,12.1,-9.1,12.39,-9.33
73,2012,1,2,12,30,11.98,-8.94,12.27,-9.18
74,2012,1,2,13,0,11.61,-8.84,11.89,-9.07
75,2012,1,2,13,30,11.39,-8.75,11.67,-8.97
76,2012,1,2,14,0,11.35,-8.68,11.62,-8.9
77,2012,1,2,14,30,10.98,-8.61,11.27,-8.84
78,2012,1,2,15,0,11.06,-8.6,11.34,-8.82
79,2012,1,2,15,30,11.0,-8.64,11.3,-8.86
80,2012,1,2,16,0,10.83,-8.76,11.15,-8.97
81,2012,1,2,16,30,10.09,-8.89,10.45,-9.09
82,2012,1,2,17,0,9.38,-9.07,9.77,-9.27
83,2012,1,2,17,30,9.41,-9.24,9.82,-9.43
84,2012,1,2,18,0,9.13,-9.44,9.56,-9.64
85,2012,1,2,18,30,9.03,-9.63,9.51,-9.82
86,2012,1,2,19,0,9.32,-9.83,9.84,-10.02
87,2012,1,2,19,30,9.41,-10.05,9.94,-10.24
88,2012,1,2,20,0,9.31,-10.27,9.87,-10.47
89,2012,1,2,20,30,8.72,-10.49,9.26,-10.68
90,2012,1,2,21,0,8.35,-10.71,8.93,-10.89
91,2012,1,2,21,30,8.68,-10.88,9.25,-11.06
92,2012,1,2,22,0,8.33,-11.06,8.88,-11.24
93,2012,1,2,22,30,8.17,-11.23,8.74,-11.4
94,2012,1,2,23,0,7.97,-11.37,8.57,-11.54
95,2012,1,2,23,30,7.61,-11.49,8.16,-11.65
96,2012,1,3,0,0,7.21,-11.61,7.82,-11.78
97,2012,1,3,0,30,6.55,-11.76,7.15,-11.92
98,2012,1,3,1,0,6.43,-11.89,6.96,-12.05
99,2012,1,3,1,30,6.2700000000000005,-11.98,6.84,-12.13
100,2012,1,3,2,0,6.5200000000000005,-12.09,7.1000000000000005,-12.24
101,2012,1,3,2,30,6.78,-12.19,7.44,-12.33
102,2012,1,3,3,0,6.13,-12.28,6.68,-12.41
103,2012,1,3,3,30,5.6000000000000005,-12.35,6.21,-12.47
104,2012,1,3,4,0,4.86,-12.4,5.42,-12.52
105,2012,1,3,4,30,4.96,-12.37,5.48,-12.48
106,2012,1,3,5,0,5.03,-12.35,5.45,-12.46
107,2012,1,3,5,30,4.36,-12.44,4.83,-12.53
108,2012,1,3,6,0,3.96,-12.49,4.44,-12.57
109,2012,1,3,6,30,3.61,-12.54,3.95,-12.62
