,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.47,5.45,12.84,5.53
1,2012,1,1,0,30,11.4,5.46,12.72,5.5200000000000005
2,2012,1,1,1,0,11.24,5.5,12.62,5.57
3,2012,1,1,1,30,10.93,5.59,12.35,5.68
4,2012,1,1,2,0,11.22,5.78,12.7,5.89
5,2012,1,1,2,30,10.8,5.69,12.32,5.8100000000000005
6,2012,1,1,3,0,10.93,5.53,12.43,5.62
7,2012,1,1,3,30,11.74,5.29,13.11,5.36
8,2012,1,1,4,0,12.33,5.1000000000000005,13.64,5.17
9,2012,1,1,4,30,12.31,4.96,13.52,4.98
10,2012,1,1,5,0,12.25,4.67,13.43,4.61
11,2012,1,1,5,30,11.86,3.76,12.93,3.63
12,2012,1,1,6,0,11.62,2.77,12.5,2.6
13,2012,1,1,6,30,12.89,2.64,13.54,2.45
14,2012,1,1,7,0,13.09,2.35,13.72,2.16
15,2012,1,1,7,30,13.12,2.1,13.71,1.92
16,2012,1,1,8,0,14.21,2.27,14.87,2.09
17,2012,1,1,8,30,13.5,2.37,14.17,2.17
18,2012,1,1,9,0,13.78,2.32,14.33,2.11
19,2012,1,1,9,30,15.07,2.2,15.56,1.98
20,2012,1,1,10,0,14.48,1.82,14.95,1.6
21,2012,1,1,10,30,14.31,1.93,14.77,1.71
22,2012,1,1,11,0,14.68,1.88,15.12,1.65
23,2012,1,1,11,30,14.87,1.9,15.32,1.67
24,2012,1,1,12,0,14.72,1.98,15.15,1.75
25,2012,1,1,12,30,14.85,1.97,15.31,1.74
26,2012,1,1,13,0,14.66,2.0,15.11,1.77
27,2012,1,1,13,30,14.7,2.02,15.15,1.8
28,2012,1,1,14,0,14.5,2.02,14.96,1.79
29,2012,1,1,14,30,14.58,1.95,15.07,1.73
30,2012,1,1,15,0,14.83,1.74,15.35,1.53
31,2012,1,1,15,30,14.42,1.43,14.96,1.23
32,2012,1,1,16,0,12.39,1.13,13.01,0.94
33,2012,1,1,16,30,12.07,0.75,12.81,0.58
34,2012,1,1,17,0,11.58,0.47,12.37,0.32
35,2012,1,1,17,30,11.68,0.24,12.51,0.09
36,2012,1,1,18,0,11.41,-0.04,12.35,-0.18
37,2012,1,1,18,30,10.07,-0.13,10.85,-0.28
38,2012,1,1,19,0,16.79,-0.4,17.76,-0.58
39,2012,1,1,19,30,16.15,-0.84,16.93,-1.02
40,2012,1,1,20,0,13.42,-0.9,14.2,-1.1
41,2012,1,1,20,30,13.59,-1.63,14.34,-1.81
42,2012,1,1,21,0,11.81,-1.96,12.5,-2.14
43,2012,1,1,21,30,12.54,-2.37,13.22,-2.56
44,2012,1,1,22,0,12.91,-2.69,13.61,-2.88
45,2012,1,1,22,30,13.73,-2.99,14.44,-3.18
46,2012,1,1,23,0,11.43,-3.1,12.0,-3.29
47,2012,1,1,23,30,11.11,-3.36,11.71,-3.5500000000000003
48,2012,1,2,0,0,11.75,-3.5500000000000003,12.31,-3.75
49,2012,1,2,0,30,10.9,-3.66,11.43,-3.86
50,2012,1,2,1,0,10.91,-3.76,11.42,-3.96
51,2012,1,2,1,30,10.61,-3.82,11.11,-4.0200000000000005
52,2012,1,2,2,0,9.89,-3.92,10.38,-4.12
53,2012,1,2,2,30,10.92,-4.08,11.38,-4.29
54,2012,1,2,3,0,11.24,-4.3,11.7,-4.51
55,2012,1,2,3,30,11.51,-4.5200000000000005,11.91,-4.74
56,2012,1,2,4,0,11.39,-4.63,11.8,-4.8500000000000005
57,2012,1,2,4,30,11.13,-4.92,11.51,-5.13
58,2012,1,2,5,0,11.38,-5.12,11.79,-5.33
59,2012,1,2,5,30,11.38,-5.46,11.75,-5.68
60,2012,1,2,6,0,11.51,-5.7,11.91,-5.91
61,2012,1,2,6,30,11.65,-5.95,12.05,-6.16
62,2012,1,2,7,0,11.87,-6.13,12.27,-6.34
63,2012,1,2,7,30,12.96,-6.36,13.4,-6.58
64,2012,1,2,8,0,12.97,-6.62,13.42,-6.84
65,2012,1,2,8,30,12.35,-6.74,12.72,-6.96
66,2012,1,2,9,0,12.29,-6.8500000000000005,12.66,-7.08
67,2012,1,2,9,30,12.4,-6.890000000000001,12.76,-7.12
68,2012,1,2,10,0,12.48,-6.87,12.83,-7.1000000000000005
69,2012,1,2,10,30,12.58,-6.83,12.93,-7.07
70,2012,1,2,11,0,12.33,-6.74,12.67,-6.98
71,2012,1,2,11,30,12.13,-6.65,12.47,-6.890000000000001
72,2012,1,2,12,0,12.11,-6.59,12.44,-6.82
73,2012,1,2,12,30,12.21,-6.51,12.55,-6.75
74,2012,1,2,13,0,12.04,-6.49,12.37,-6.72
75,2012,1,2,13,30,12.12,-6.46,12.46,-6.7
76,2012,1,2,14,0,12.23,-6.47,12.57,-6.7
77,2012,1,2,14,30,12.32,-6.48,12.67,-6.71
78,2012,1,2,15,0,12.12,-6.65,12.46,-6.88
79,2012,1,2,15,30,11.64,-6.8,11.98,-7.0200000000000005
80,2012,1,2,16,0,11.83,-6.87,12.18,-7.08
81,2012,1,2,16,30,11.07,-6.93,11.43,-7.13
82,2012,1,2,17,0,11.26,-7.16,11.63,-7.37
83,2012,1,2,17,30,11.07,-7.16,11.44,-7.37
84,2012,1,2,18,0,10.83,-7.29,11.21,-7.5
85,2012,1,2,18,30,10.69,-7.44,11.06,-7.65
86,2012,1,2,19,0,10.61,-7.59,10.99,-7.8
87,2012,1,2,19,30,10.58,-7.74,10.97,-7.95
88,2012,1,2,20,0,10.03,-7.88,10.42,-8.08
89,2012,1,2,20,30,9.66,-8.040000000000001,10.07,-8.24
90,2012,1,2,21,0,9.66,-8.24,10.08,-8.45
91,2012,1,2,21,30,10.01,-8.42,10.43,-8.620000000000001
92,2012,1,2,22,0,9.67,-8.6,10.11,-8.81
93,2012,1,2,22,30,8.92,-8.77,9.34,-8.97
94,2012,1,2,23,0,8.22,-8.93,8.67,-9.13
95,2012,1,2,23,30,9.02,-9.17,9.45,-9.37
96,2012,1,3,0,0,8.620000000000001,-9.36,9.05,-9.56
97,2012,1,3,0,30,7.640000000000001,-9.54,8.08,-9.74
98,2012,1,3,1,0,8.26,-9.78,8.74,-9.98
99,2012,1,3,1,30,8.14,-9.97,8.620000000000001,-10.17
100,2012,1,3,2,0,8.15,-10.16,8.65,-10.35
101,2012,1,3,2,30,7.69,-10.35,8.21,-10.54
102,2012,1,3,3,0,7.9,-10.57,8.41,-10.76
103,2012,1,3,3,30,7.66,-10.74,8.19,-10.92
104,2012,1,3,4,0,7.1000000000000005,-10.89,7.66,-11.07
105,2012,1,3,4,30,6.390000000000001,-11.03,6.94,-11.21
106,2012,1,3,5,0,6.16,-11.15,6.68,-11.33
107,2012,1,3,5,30,6.140000000000001,-11.26,6.66,-11.43
108,2012,1,3,6,0,5.97,-11.33,6.5200000000000005,-11.5
109,2012,1,3,6,30,5.5,-11.42,6.05,-11.58
110,2012,1,3,7,0,5.28,-11.5,5.8500000000000005,-11.66
111,2012,1,3,7,30,5.22,-11.57,5.74,-11.72
112,2012,1,3,8,0,5.3100000000000005,-11.48,5.53,-11.67
113,2012,1,3,8,30,4.55,-11.21,4.64,-11.4
114,2012,1,3,9,0,4.14,-10.75,4.18,-10.95
115,2012,1,3,9,30,3.5500000000000003,-10.23,3.58,-10.43
116,2012,1,3,10,0,2.98,-9.72,3.03,-9.92
117,2012,1,3,10,30,3.0700000000000003,-9.12,3.13,-9.33
118,2012,1,3,11,0,3.14,-8.540000000000001,3.19,-8.75
119,2012,1,3,11,30,3.34,-7.94,3.38,-8.16
120,2012,1,3,12,0,3.87,-7.37,3.94,-7.59
121,2012,1,3,12,30,3.59,-6.84,3.66,-7.0600000000000005
122,2012,1,3,13,0,4.01,-6.390000000000001,4.08,-6.61
123,2012,1,3,13,30,3.92,-6.01,4.0,-6.23
124,2012,1,3,14,0,3.98,-5.71,4.0600000000000005,-5.93
125,2012,1,3,14,30,3.98,-5.46,4.0600000000000005,-5.68
126,2012,1,3,15,0,4.49,-5.25,4.58,-5.46
127,2012,1,3,15,30,4.83,-5.13,4.94,-5.34
