,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.16,9.65,14.22,9.67
1,2012,1,1,0,30,13.71,9.76,14.75,9.74
2,2012,1,1,1,0,14.36,9.25,15.59,9.31
3,2012,1,1,1,30,14.6,8.91,15.86,8.98
4,2012,1,1,2,0,13.33,8.64,14.66,8.73
5,2012,1,1,2,30,13.07,8.57,14.35,8.67
6,2012,1,1,3,0,12.88,8.48,14.16,8.61
7,2012,1,1,3,30,12.51,8.35,13.79,8.45
8,2012,1,1,4,0,12.22,8.41,13.42,8.52
9,2012,1,1,4,30,12.06,7.890000000000001,13.29,7.88
10,2012,1,1,5,0,11.13,7.42,12.02,7.37
11,2012,1,1,5,30,13.39,6.23,14.12,6.11
12,2012,1,1,6,0,11.76,5.13,12.36,5.0
13,2012,1,1,6,30,13.75,4.23,14.61,4.08
14,2012,1,1,7,0,9.64,3.99,10.12,3.8
15,2012,1,1,7,30,12.3,3.25,13.05,3.0700000000000003
16,2012,1,1,8,0,12.77,2.58,13.49,2.42
17,2012,1,1,8,30,12.39,2.84,13.09,2.66
18,2012,1,1,9,0,13.31,3.03,13.61,2.83
19,2012,1,1,9,30,13.7,3.24,13.99,3.02
20,2012,1,1,10,0,13.98,3.34,14.25,3.12
21,2012,1,1,10,30,13.79,3.54,14.05,3.3200000000000003
22,2012,1,1,11,0,13.68,3.7,13.94,3.47
23,2012,1,1,11,30,13.45,3.79,13.69,3.56
24,2012,1,1,12,0,13.22,3.95,13.47,3.72
25,2012,1,1,12,30,13.21,4.15,13.46,3.92
26,2012,1,1,13,0,12.7,4.37,12.96,4.14
27,2012,1,1,13,30,12.63,4.49,12.91,4.2700000000000005
28,2012,1,1,14,0,12.82,4.62,13.1,4.4
29,2012,1,1,14,30,12.93,4.6000000000000005,13.24,4.38
30,2012,1,1,15,0,12.74,4.54,13.09,4.33
31,2012,1,1,15,30,11.76,4.33,12.17,4.13
32,2012,1,1,16,0,10.59,3.98,11.21,3.81
33,2012,1,1,16,30,10.29,3.64,11.23,3.51
34,2012,1,1,17,0,10.67,3.26,11.9,3.18
35,2012,1,1,17,30,10.66,2.9,11.78,2.85
36,2012,1,1,18,0,9.69,2.58,10.74,2.5500000000000003
37,2012,1,1,18,30,10.52,2.26,11.76,2.22
38,2012,1,1,19,0,12.79,2.21,13.67,2.13
39,2012,1,1,19,30,10.43,1.66,11.72,1.63
40,2012,1,1,20,0,9.99,1.5,10.73,1.44
41,2012,1,1,20,30,14.79,1.26,16.16,1.2
42,2012,1,1,21,0,11.01,0.87,11.76,0.79
43,2012,1,1,21,30,12.88,0.32,14.69,0.37
44,2012,1,1,22,0,9.16,0.21,9.74,0.13
45,2012,1,1,22,30,14.11,-0.07,15.33,-0.14
