,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,11.62,5.48,13.08,5.61
1,2012,1,1,0,30,11.16,4.75,12.37,4.71
2,2012,1,1,1,0,11.4,3.59,12.49,3.43
3,2012,1,1,1,30,11.31,2.46,12.42,2.36
4,2012,1,1,2,0,12.18,2.66,13.1,2.56
5,2012,1,1,2,30,13.05,2.53,13.68,2.35
6,2012,1,1,3,0,13.4,2.16,14.08,1.98
7,2012,1,1,3,30,13.27,1.3,14.1,1.08
8,2012,1,1,4,0,12.2,0.79,13.03,0.65
9,2012,1,1,4,30,12.94,0.96,13.78,0.73
10,2012,1,1,5,0,15.56,1.7,16.21,1.52
11,2012,1,1,5,30,15.61,1.42,16.330000000000002,1.23
12,2012,1,1,6,0,15.13,0.72,15.99,0.54
13,2012,1,1,6,30,14.91,-0.03,15.81,-0.2
14,2012,1,1,7,0,15.05,-0.65,15.95,-0.8200000000000001
15,2012,1,1,7,30,15.63,-1.09,16.490000000000002,-1.26
16,2012,1,1,8,0,15.66,-1.38,16.48,-1.55
17,2012,1,1,8,30,15.94,-1.33,16.59,-1.51
18,2012,1,1,9,0,13.59,-1.35,14.15,-1.55
19,2012,1,1,9,30,14.43,-1.1,14.94,-1.31
20,2012,1,1,10,0,14.68,-0.91,15.17,-1.13
21,2012,1,1,10,30,15.37,-0.79,15.86,-1.01
22,2012,1,1,11,0,15.86,-0.66,16.330000000000002,-0.88
23,2012,1,1,11,30,15.77,-0.44,16.23,-0.66
24,2012,1,1,12,0,15.7,-0.19,16.15,-0.42
25,2012,1,1,12,30,15.81,0.07,16.25,-0.15
26,2012,1,1,13,0,15.86,0.34,16.3,0.11
27,2012,1,1,13,30,15.7,0.55,16.15,0.32
28,2012,1,1,14,0,15.45,0.65,15.9,0.43
29,2012,1,1,14,30,15.5,0.6900000000000001,15.95,0.48
30,2012,1,1,15,0,15.3,0.73,15.8,0.52
31,2012,1,1,15,30,14.79,0.59,15.34,0.39
32,2012,1,1,16,0,13.85,0.37,14.52,0.18
33,2012,1,1,16,30,13.39,0.06,14.22,-0.11
34,2012,1,1,17,0,14.62,-0.3,15.64,-0.45
35,2012,1,1,17,30,15.11,-0.52,15.98,-0.68
36,2012,1,1,18,0,10.64,-0.94,11.34,-1.11
37,2012,1,1,18,30,13.93,-1.14,14.98,-1.29
38,2012,1,1,19,0,12.53,-1.48,13.43,-1.64
39,2012,1,1,19,30,11.63,-1.78,12.43,-1.95
40,2012,1,1,20,0,14.57,-2.1,15.48,-2.28
41,2012,1,1,20,30,14.54,-2.45,15.41,-2.63
42,2012,1,1,21,0,14.83,-2.75,15.62,-2.94
43,2012,1,1,21,30,12.64,-3.08,13.39,-3.27
44,2012,1,1,22,0,14.19,-3.42,14.91,-3.61
45,2012,1,1,22,30,13.59,-3.77,14.26,-3.97
46,2012,1,1,23,0,12.89,-4.04,13.5,-4.23
47,2012,1,1,23,30,13.21,-4.29,13.82,-4.49
48,2012,1,2,0,0,13.14,-4.53,13.73,-4.74
