,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.01,9.68,11.21,9.66
1,2012,1,1,0,30,10.09,9.14,11.45,9.19
2,2012,1,1,1,0,11.06,9.21,12.54,9.3
3,2012,1,1,1,30,11.43,9.25,12.81,9.32
4,2012,1,1,2,0,10.93,9.2,12.4,9.28
5,2012,1,1,2,30,11.26,9.22,12.88,9.33
6,2012,1,1,3,0,12.32,9.26,13.9,9.35
7,2012,1,1,3,30,12.61,9.11,14.01,9.15
8,2012,1,1,4,0,12.58,8.94,13.8,8.9
9,2012,1,1,4,30,12.26,8.33,13.37,8.27
10,2012,1,1,5,0,10.0,7.54,10.97,7.46
11,2012,1,1,5,30,11.41,6.7,12.33,6.58
12,2012,1,1,6,0,13.29,5.3100000000000005,13.9,5.12
13,2012,1,1,6,30,12.67,4.15,13.6,3.96
14,2012,1,1,7,0,12.41,3.33,13.31,3.17
15,2012,1,1,7,30,11.86,2.96,12.74,2.8000000000000003
16,2012,1,1,8,0,12.46,2.82,13.15,2.64
17,2012,1,1,8,30,11.67,3.08,12.34,2.89
18,2012,1,1,9,0,12.75,3.21,13.13,3.0
19,2012,1,1,9,30,13.46,3.36,13.81,3.14
20,2012,1,1,10,0,13.51,3.52,13.82,3.3000000000000003
21,2012,1,1,10,30,13.51,3.71,13.83,3.49
22,2012,1,1,11,0,13.22,3.87,13.53,3.65
23,2012,1,1,11,30,13.06,4.05,13.37,3.83
24,2012,1,1,12,0,12.95,4.2700000000000005,13.26,4.05
25,2012,1,1,12,30,12.81,4.46,13.12,4.23
26,2012,1,1,13,0,12.84,4.66,13.14,4.44
27,2012,1,1,13,30,12.27,4.88,12.58,4.66
28,2012,1,1,14,0,12.51,5.0,12.82,4.78
29,2012,1,1,14,30,12.51,5.07,12.86,4.8500000000000005
30,2012,1,1,15,0,12.53,5.01,12.91,4.8
31,2012,1,1,15,30,11.79,4.83,12.22,4.63
32,2012,1,1,16,0,10.78,4.5600000000000005,11.41,4.39
33,2012,1,1,16,30,10.8,4.28,11.68,4.17
34,2012,1,1,17,0,9.66,3.91,10.61,3.87
35,2012,1,1,17,30,10.6,3.67,11.61,3.65
36,2012,1,1,18,0,11.86,3.45,13.14,3.44
37,2012,1,1,18,30,11.5,2.96,12.62,2.92
38,2012,1,1,19,0,12.61,2.68,13.77,2.62
39,2012,1,1,19,30,12.63,2.32,13.82,2.29
40,2012,1,1,20,0,14.3,2.16,15.78,2.12
41,2012,1,1,20,30,13.74,1.89,15.17,1.86
42,2012,1,1,21,0,11.95,1.48,13.32,1.48
43,2012,1,1,21,30,15.08,1.06,16.54,1.01
44,2012,1,1,22,0,13.02,0.75,14.03,0.64
45,2012,1,1,22,30,9.1,0.34,9.82,0.25
46,2012,1,1,23,0,11.61,-0.08,12.81,-0.13
47,2012,1,1,23,30,10.04,-0.52,11.13,-0.59
48,2012,1,2,0,0,11.28,-0.64,12.07,-0.76
49,2012,1,2,0,30,14.48,-0.91,15.39,-1.05
50,2012,1,2,1,0,8.06,-1.4,8.75,-1.51
51,2012,1,2,1,30,8.73,-1.54,9.36,-1.66
52,2012,1,2,2,0,12.32,-1.7,13.17,-1.84
53,2012,1,2,2,30,9.1,-1.9,9.62,-2.05
54,2012,1,2,3,0,11.38,-2.28,12.15,-2.44
55,2012,1,2,3,30,13.13,-2.62,13.92,-2.79
56,2012,1,2,4,0,9.77,-2.74,10.34,-2.9
57,2012,1,2,4,30,11.16,-2.77,12.04,-2.94
58,2012,1,2,5,0,9.24,-2.96,9.86,-3.13
59,2012,1,2,5,30,11.7,-3.26,12.43,-3.45
60,2012,1,2,6,0,11.91,-3.6,12.56,-3.79
61,2012,1,2,6,30,12.68,-3.74,13.32,-3.93
62,2012,1,2,7,0,8.67,-3.8,9.14,-4.0
63,2012,1,2,7,30,12.45,-4.03,13.06,-4.23
64,2012,1,2,8,0,12.87,-4.01,13.41,-4.22
65,2012,1,2,8,30,10.41,-3.89,10.73,-4.1
66,2012,1,2,9,0,15.17,-4.05,15.61,-4.2700000000000005
67,2012,1,2,9,30,14.45,-3.97,14.86,-4.2
68,2012,1,2,10,0,13.95,-3.82,14.33,-4.05
69,2012,1,2,10,30,14.0,-3.74,14.37,-3.98
70,2012,1,2,11,0,13.84,-3.6,14.21,-3.84
71,2012,1,2,11,30,13.7,-3.54,14.07,-3.78
72,2012,1,2,12,0,13.81,-3.45,14.19,-3.69
73,2012,1,2,12,30,14.32,-3.47,14.68,-3.7
74,2012,1,2,13,0,14.83,-3.41,15.2,-3.65
75,2012,1,2,13,30,14.73,-3.42,15.12,-3.66
76,2012,1,2,14,0,13.97,-3.48,14.35,-3.71
77,2012,1,2,14,30,13.55,-3.54,13.92,-3.77
78,2012,1,2,15,0,13.9,-3.67,14.29,-3.89
