,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,12.16,10.22,13.53,10.25
1,2012,1,1,0,30,11.58,10.21,13.0,10.26
2,2012,1,1,1,0,10.91,9.98,12.38,10.04
3,2012,1,1,1,30,9.91,9.9,11.54,9.97
4,2012,1,1,2,0,9.97,9.9,11.59,9.92
5,2012,1,1,2,30,10.74,9.51,12.18,9.51
6,2012,1,1,3,0,9.81,9.2,11.32,9.19
7,2012,1,1,3,30,10.83,8.91,12.12,8.84
8,2012,1,1,4,0,10.19,8.14,11.34,8.06
9,2012,1,1,4,30,13.08,6.5,14.08,6.33
10,2012,1,1,5,0,12.67,5.33,13.68,5.16
11,2012,1,1,5,30,8.92,4.72,9.65,4.54
12,2012,1,1,6,0,13.11,3.75,14.01,3.6
13,2012,1,1,6,30,10.62,3.4,11.54,3.27
14,2012,1,1,7,0,10.48,3.24,11.42,3.12
15,2012,1,1,7,30,11.69,2.79,12.64,2.64
16,2012,1,1,8,0,11.32,2.67,12.35,2.51
17,2012,1,1,8,30,11.16,2.79,11.91,2.6
18,2012,1,1,9,0,12.93,3.02,13.4,2.81
19,2012,1,1,9,30,13.24,3.13,13.64,2.91
20,2012,1,1,10,0,12.92,3.28,13.3,3.0500000000000003
21,2012,1,1,10,30,12.78,3.43,13.14,3.2
22,2012,1,1,11,0,11.91,3.6,12.24,3.37
23,2012,1,1,11,30,11.57,3.89,11.89,3.66
24,2012,1,1,12,0,11.53,4.19,11.84,3.96
25,2012,1,1,12,30,11.6,4.55,11.92,4.32
26,2012,1,1,13,0,11.66,4.9,12.0,4.67
27,2012,1,1,13,30,11.41,5.19,11.75,4.97
28,2012,1,1,14,0,11.57,5.39,11.93,5.17
29,2012,1,1,14,30,11.69,5.46,12.03,5.24
30,2012,1,1,15,0,11.37,5.44,11.71,5.23
31,2012,1,1,15,30,10.81,5.3100000000000005,11.22,5.1000000000000005
32,2012,1,1,16,0,9.59,5.14,10.15,4.96
33,2012,1,1,16,30,10.17,4.92,11.07,4.83
34,2012,1,1,17,0,10.07,4.66,10.99,4.65
35,2012,1,1,17,30,11.8,4.47,12.89,4.44
36,2012,1,1,18,0,11.59,3.98,12.75,3.94
37,2012,1,1,18,30,12.27,3.79,13.51,3.76
38,2012,1,1,19,0,10.98,3.0500000000000003,12.42,2.98
39,2012,1,1,19,30,11.3,2.94,12.16,2.81
40,2012,1,1,20,0,13.92,2.79,14.79,2.68
41,2012,1,1,20,30,11.4,2.17,12.7,2.13
42,2012,1,1,21,0,12.81,1.73,14.08,1.66
43,2012,1,1,21,30,11.05,1.51,12.31,1.46
44,2012,1,1,22,0,13.79,0.98,15.13,0.89
45,2012,1,1,22,30,9.59,0.21,10.68,0.2
46,2012,1,1,23,0,8.46,-0.13,9.42,-0.1
47,2012,1,1,23,30,11.12,-0.38,12.29,-0.41
48,2012,1,2,0,0,9.74,-0.72,11.16,-0.71
49,2012,1,2,0,30,10.53,-0.77,11.77,-0.8
50,2012,1,2,1,0,9.59,-0.81,10.53,-0.87
51,2012,1,2,1,30,9.83,-1.23,10.87,-1.3
52,2012,1,2,2,0,10.44,-1.56,11.28,-1.72
53,2012,1,2,2,30,9.92,-1.84,10.83,-1.99
54,2012,1,2,3,0,7.67,-2.12,8.45,-2.24
55,2012,1,2,3,30,9.49,-2.14,10.2,-2.3000000000000003
56,2012,1,2,4,0,13.17,-2.58,14.28,-2.74
57,2012,1,2,4,30,10.72,-2.73,11.53,-2.91
58,2012,1,2,5,0,9.7,-2.87,10.27,-3.04
59,2012,1,2,5,30,9.88,-3.0700000000000003,10.64,-3.26
60,2012,1,2,6,0,9.78,-3.29,10.32,-3.48
61,2012,1,2,6,30,13.09,-3.41,13.79,-3.6
62,2012,1,2,7,0,10.8,-3.62,11.52,-3.8
63,2012,1,2,7,30,10.19,-3.69,10.72,-3.88
64,2012,1,2,8,0,12.19,-3.72,12.96,-3.92
65,2012,1,2,8,30,12.88,-3.66,13.36,-3.88
66,2012,1,2,9,0,13.24,-3.53,13.7,-3.76
67,2012,1,2,9,30,12.85,-3.43,13.3,-3.66
68,2012,1,2,10,0,13.45,-3.3200000000000003,13.87,-3.5500000000000003
69,2012,1,2,10,30,13.6,-3.17,14.02,-3.4
70,2012,1,2,11,0,13.96,-3.02,14.36,-3.26
71,2012,1,2,11,30,14.0,-2.86,14.41,-3.1
72,2012,1,2,12,0,13.65,-2.79,14.07,-3.02
73,2012,1,2,12,30,13.39,-2.83,13.79,-3.0700000000000003
74,2012,1,2,13,0,13.14,-2.68,13.56,-2.91
75,2012,1,2,13,30,13.13,-2.6,13.53,-2.84
76,2012,1,2,14,0,13.32,-2.6,13.71,-2.84
77,2012,1,2,14,30,13.51,-2.56,13.93,-2.79
78,2012,1,2,15,0,13.78,-2.64,14.23,-2.87
79,2012,1,2,15,30,13.47,-2.79,13.93,-3.01
80,2012,1,2,16,0,11.86,-2.96,12.35,-3.17
81,2012,1,2,16,30,11.14,-3.3000000000000003,11.81,-3.5
82,2012,1,2,17,0,11.96,-3.69,12.81,-3.88
83,2012,1,2,17,30,11.95,-3.84,12.5,-4.04
84,2012,1,2,18,0,9.89,-4.1,10.49,-4.3
85,2012,1,2,18,30,11.14,-4.49,12.19,-4.69
86,2012,1,2,19,0,13.21,-4.82,13.86,-5.0200000000000005
87,2012,1,2,19,30,10.81,-5.01,11.51,-5.21
88,2012,1,2,20,0,10.6,-5.22,11.19,-5.42
89,2012,1,2,20,30,9.6,-5.45,10.24,-5.65
90,2012,1,2,21,0,8.870000000000001,-5.66,9.41,-5.87
91,2012,1,2,21,30,7.7,-5.87,8.2,-6.08
92,2012,1,2,22,0,8.33,-6.0600000000000005,8.94,-6.26
93,2012,1,2,22,30,9.19,-6.36,9.68,-6.5600000000000005
94,2012,1,2,23,0,10.41,-6.54,10.99,-6.75
95,2012,1,2,23,30,9.31,-6.72,9.85,-6.92
96,2012,1,3,0,0,9.3,-6.87,9.86,-7.07
97,2012,1,3,0,30,8.8,-7.07,9.42,-7.27
98,2012,1,3,1,0,8.9,-7.23,9.43,-7.42
99,2012,1,3,1,30,7.96,-7.37,8.57,-7.56
100,2012,1,3,2,0,7.59,-7.44,8.15,-7.63
101,2012,1,3,2,30,5.79,-7.59,6.29,-7.78
102,2012,1,3,3,0,4.7700000000000005,-7.77,5.19,-7.97
103,2012,1,3,3,30,6.38,-7.97,6.93,-8.16
104,2012,1,3,4,0,5.37,-7.99,5.8500000000000005,-8.18
105,2012,1,3,4,30,4.62,-8.13,5.09,-8.31
106,2012,1,3,5,0,5.3,-8.25,5.76,-8.42
107,2012,1,3,5,30,5.79,-8.39,6.29,-8.58
108,2012,1,3,6,0,4.21,-8.41,4.5200000000000005,-8.6
109,2012,1,3,6,30,3.2,-8.56,3.33,-8.72
110,2012,1,3,7,0,4.29,-8.61,4.61,-8.78
111,2012,1,3,7,30,4.2700000000000005,-8.69,4.5,-8.83
112,2012,1,3,8,0,3.66,-8.64,3.81,-8.8
113,2012,1,3,8,30,2.78,-8.32,2.83,-8.51
114,2012,1,3,9,0,2.25,-7.87,2.26,-8.07
115,2012,1,3,9,30,2.02,-7.34,2.04,-7.54
116,2012,1,3,10,0,2.14,-6.74,2.18,-6.94
117,2012,1,3,10,30,1.93,-6.15,1.97,-6.36
118,2012,1,3,11,0,2.51,-5.58,2.5500000000000003,-5.8
119,2012,1,3,11,30,3.25,-4.99,3.31,-5.21
120,2012,1,3,12,0,2.06,-4.37,2.11,-4.59
121,2012,1,3,12,30,2.61,-3.73,2.68,-3.94
122,2012,1,3,13,0,2.78,-3.1,2.85,-3.3200000000000003
123,2012,1,3,13,30,2.87,-2.47,2.95,-2.68
124,2012,1,3,14,0,3.0700000000000003,-1.95,3.15,-2.17
125,2012,1,3,14,30,4.28,-1.6,4.36,-1.81
126,2012,1,3,15,0,4.93,-1.47,5.03,-1.69
127,2012,1,3,15,30,5.32,-1.5,5.44,-1.71
128,2012,1,3,16,0,5.88,-1.8,6.13,-2.0
129,2012,1,3,16,30,7.0600000000000005,-2.08,7.44,-2.27
130,2012,1,3,17,0,7.86,-2.3000000000000003,8.4,-2.43
131,2012,1,3,17,30,7.46,-2.78,8.1,-2.83
132,2012,1,3,18,0,8.290000000000001,-2.99,9.1,-3.04
133,2012,1,3,18,30,8.370000000000001,-3.12,9.29,-3.16
134,2012,1,3,19,0,8.55,-3.14,9.74,-3.09
135,2012,1,3,19,30,8.6,-3.0700000000000003,9.96,-2.97
136,2012,1,3,20,0,8.81,-3.06,10.13,-2.98
137,2012,1,3,20,30,8.78,-3.0700000000000003,10.17,-2.99
138,2012,1,3,21,0,9.17,-3.0500000000000003,10.66,-2.92
139,2012,1,3,21,30,9.1,-2.97,10.53,-2.85
140,2012,1,3,22,0,9.27,-3.04,10.76,-2.92
141,2012,1,3,22,30,9.63,-2.92,10.92,-2.84
142,2012,1,3,23,0,9.11,-3.04,10.49,-2.94
143,2012,1,3,23,30,9.09,-2.95,10.65,-2.75
144,2012,1,4,0,0,9.79,-2.71,11.22,-2.58
145,2012,1,4,0,30,9.86,-2.68,11.34,-2.51
146,2012,1,4,1,0,10.35,-2.52,11.69,-2.39
147,2012,1,4,1,30,10.06,-2.63,11.27,-2.49
148,2012,1,4,2,0,9.35,-2.64,10.69,-2.42
149,2012,1,4,2,30,9.32,-2.21,10.45,-2.2
150,2012,1,4,3,0,8.82,-2.13,9.92,-2.18
151,2012,1,4,3,30,9.02,-2.27,10.14,-2.3000000000000003
152,2012,1,4,4,0,9.16,-2.22,10.3,-2.24
153,2012,1,4,4,30,8.99,-2.04,10.15,-2.07
154,2012,1,4,5,0,9.09,-2.12,10.19,-2.16
155,2012,1,4,5,30,9.57,-2.54,11.01,-2.35
156,2012,1,4,6,0,9.61,-2.61,11.06,-2.42
