,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.07,4.28,14.38,4.3500000000000005
1,2012,1,1,0,30,12.77,4.3,14.11,4.39
2,2012,1,1,1,0,12.44,4.36,13.81,4.44
3,2012,1,1,1,30,12.32,4.32,13.71,4.41
4,2012,1,1,2,0,11.89,4.19,13.23,4.25
5,2012,1,1,2,30,11.97,4.0200000000000005,13.23,4.08
6,2012,1,1,3,0,11.27,3.78,12.52,3.86
7,2012,1,1,3,30,11.61,3.72,12.87,3.86
8,2012,1,1,4,0,10.48,3.5700000000000003,11.71,3.7
9,2012,1,1,4,30,9.59,3.43,10.68,3.49
10,2012,1,1,5,0,9.56,3.53,10.58,3.51
11,2012,1,1,5,30,10.39,3.21,11.29,3.03
12,2012,1,1,6,0,11.19,2.13,11.91,1.96
13,2012,1,1,6,30,12.11,2.06,12.69,1.9
14,2012,1,1,7,0,12.72,1.89,13.28,1.7
15,2012,1,1,7,30,13.38,1.52,13.95,1.33
16,2012,1,1,8,0,13.78,1.25,14.37,1.07
17,2012,1,1,8,30,14.11,1.45,14.73,1.26
18,2012,1,1,9,0,14.67,1.27,15.31,1.08
19,2012,1,1,9,30,14.49,1.1,15.02,0.89
20,2012,1,1,10,0,15.46,0.81,15.91,0.59
21,2012,1,1,10,30,15.29,0.5700000000000001,15.71,0.34
22,2012,1,1,11,0,15.76,0.38,16.2,0.15
23,2012,1,1,11,30,15.77,0.23,16.19,0.0
24,2012,1,1,12,0,15.47,0.19,15.88,-0.04
25,2012,1,1,12,30,14.7,0.24,15.12,0.01
26,2012,1,1,13,0,15.03,0.18,15.46,-0.04
27,2012,1,1,13,30,15.09,0.2,15.52,-0.03
28,2012,1,1,14,0,15.21,0.22,15.68,-0.01
29,2012,1,1,14,30,14.84,0.09,15.3,-0.14
30,2012,1,1,15,0,14.92,-0.18,15.4,-0.39
31,2012,1,1,15,30,14.29,-0.39,14.77,-0.6
32,2012,1,1,16,0,14.57,-0.67,15.1,-0.88
33,2012,1,1,16,30,13.72,-0.87,14.27,-1.08
34,2012,1,1,17,0,13.8,-1.19,14.33,-1.39
35,2012,1,1,17,30,14.72,-1.68,15.34,-1.88
36,2012,1,1,18,0,13.65,-1.9,14.25,-2.1
37,2012,1,1,18,30,13.05,-2.13,13.64,-2.33
38,2012,1,1,19,0,12.61,-2.33,13.17,-2.53
39,2012,1,1,19,30,12.45,-2.58,13.02,-2.78
40,2012,1,1,20,0,12.86,-2.84,13.41,-3.04
41,2012,1,1,20,30,12.88,-3.04,13.41,-3.24
42,2012,1,1,21,0,12.92,-3.26,13.41,-3.47
43,2012,1,1,21,30,12.89,-3.48,13.39,-3.69
44,2012,1,1,22,0,12.96,-3.71,13.46,-3.91
45,2012,1,1,22,30,12.86,-3.9,13.37,-4.11
46,2012,1,1,23,0,12.67,-4.0600000000000005,13.18,-4.2700000000000005
47,2012,1,1,23,30,12.01,-4.24,12.49,-4.45
48,2012,1,2,0,0,11.76,-4.42,12.28,-4.62
49,2012,1,2,0,30,12.0,-4.54,12.49,-4.74
50,2012,1,2,1,0,11.75,-4.71,12.18,-4.92
51,2012,1,2,1,30,12.09,-4.9,12.52,-5.11
52,2012,1,2,2,0,11.45,-5.07,11.84,-5.28
53,2012,1,2,2,30,11.9,-5.42,12.27,-5.63
54,2012,1,2,3,0,11.83,-5.57,12.22,-5.78
55,2012,1,2,3,30,12.02,-5.75,12.42,-5.96
56,2012,1,2,4,0,11.21,-5.99,11.55,-6.2
57,2012,1,2,4,30,12.41,-6.18,12.8,-6.390000000000001
58,2012,1,2,5,0,10.7,-6.38,11.0,-6.59
59,2012,1,2,5,30,12.65,-6.55,13.0,-6.7700000000000005
60,2012,1,2,6,0,13.51,-6.78,13.94,-6.99
61,2012,1,2,6,30,12.99,-7.03,13.36,-7.24
62,2012,1,2,7,0,12.4,-7.31,12.76,-7.53
63,2012,1,2,7,30,12.13,-7.53,12.49,-7.75
64,2012,1,2,8,0,12.34,-7.77,12.67,-7.98
65,2012,1,2,8,30,12.16,-7.930000000000001,12.48,-8.15
66,2012,1,2,9,0,12.49,-7.98,12.82,-8.2
67,2012,1,2,9,30,12.67,-8.0,13.0,-8.22
68,2012,1,2,10,0,12.53,-8.0,12.85,-8.23
69,2012,1,2,10,30,12.38,-7.890000000000001,12.69,-8.120000000000001
70,2012,1,2,11,0,12.13,-7.77,12.43,-7.99
71,2012,1,2,11,30,12.36,-7.58,12.67,-7.81
72,2012,1,2,12,0,12.19,-7.42,12.49,-7.66
73,2012,1,2,12,30,12.16,-7.3,12.47,-7.53
74,2012,1,2,13,0,12.0,-7.25,12.3,-7.48
75,2012,1,2,13,30,11.88,-7.2,12.19,-7.43
76,2012,1,2,14,0,11.94,-7.16,12.25,-7.390000000000001
77,2012,1,2,14,30,12.07,-7.18,12.39,-7.41
78,2012,1,2,15,0,12.01,-7.26,12.34,-7.48
79,2012,1,2,15,30,12.02,-7.4,12.36,-7.61
80,2012,1,2,16,0,11.62,-7.56,11.98,-7.77
81,2012,1,2,16,30,10.76,-7.74,11.18,-7.95
82,2012,1,2,17,0,10.91,-7.96,11.34,-8.17
83,2012,1,2,17,30,10.73,-8.15,11.17,-8.35
84,2012,1,2,18,0,10.83,-8.33,11.24,-8.540000000000001
85,2012,1,2,18,30,9.94,-8.48,10.3,-8.68
86,2012,1,2,19,0,9.43,-8.66,9.83,-8.86
87,2012,1,2,19,30,9.59,-8.870000000000001,10.03,-9.07
88,2012,1,2,20,0,9.92,-9.07,10.37,-9.27
89,2012,1,2,20,30,9.37,-9.25,9.83,-9.44
90,2012,1,2,21,0,9.05,-9.44,9.52,-9.63
91,2012,1,2,21,30,8.97,-9.63,9.44,-9.83
92,2012,1,2,22,0,8.85,-9.87,9.32,-10.06
93,2012,1,2,22,30,8.57,-10.09,9.05,-10.28
94,2012,1,2,23,0,8.22,-10.3,8.71,-10.49
95,2012,1,2,23,30,8.040000000000001,-10.52,8.540000000000001,-10.7
96,2012,1,3,0,0,8.15,-10.73,8.65,-10.92
97,2012,1,3,0,30,8.0,-10.95,8.52,-11.13
98,2012,1,3,1,0,7.8,-11.16,8.33,-11.34
99,2012,1,3,1,30,7.4,-11.35,7.92,-11.52
100,2012,1,3,2,0,7.25,-11.51,7.78,-11.69
101,2012,1,3,2,30,7.15,-11.66,7.71,-11.83
102,2012,1,3,3,0,6.88,-11.79,7.44,-11.95
103,2012,1,3,3,30,6.92,-11.9,7.47,-12.07
104,2012,1,3,4,0,6.38,-11.99,6.93,-12.16
105,2012,1,3,4,30,6.6000000000000005,-12.05,7.13,-12.21
106,2012,1,3,5,0,6.13,-12.09,6.62,-12.25
107,2012,1,3,5,30,6.17,-12.16,6.69,-12.32
108,2012,1,3,6,0,6.03,-12.23,6.55,-12.39
109,2012,1,3,6,30,5.73,-12.27,6.22,-12.42
110,2012,1,3,7,0,5.48,-12.32,5.94,-12.46
111,2012,1,3,7,30,5.43,-12.36,5.8500000000000005,-12.48
112,2012,1,3,8,0,5.29,-12.23,5.67,-12.37
113,2012,1,3,8,30,4.6000000000000005,-12.08,4.73,-12.26
114,2012,1,3,9,0,4.0,-11.76,4.03,-11.95
115,2012,1,3,9,30,3.66,-11.35,3.68,-11.55
116,2012,1,3,10,0,3.48,-10.88,3.51,-11.08
117,2012,1,3,10,30,3.18,-10.34,3.22,-10.54
118,2012,1,3,11,0,3.61,-9.77,3.64,-9.98
119,2012,1,3,11,30,3.67,-9.29,3.7,-9.49
120,2012,1,3,12,0,3.61,-8.73,3.64,-8.93
121,2012,1,3,12,30,3.81,-8.2,3.85,-8.41
122,2012,1,3,13,0,3.7,-7.65,3.75,-7.86
123,2012,1,3,13,30,3.84,-7.16,3.9,-7.37
124,2012,1,3,14,0,4.45,-6.71,4.5200000000000005,-6.92
125,2012,1,3,14,30,4.86,-6.390000000000001,4.93,-6.6000000000000005
126,2012,1,3,15,0,5.47,-6.11,5.57,-6.32
127,2012,1,3,15,30,5.72,-5.94,5.83,-6.15
128,2012,1,3,16,0,5.86,-5.88,6.17,-6.07
129,2012,1,3,16,30,6.09,-5.87,6.43,-6.05
130,2012,1,3,17,0,6.96,-5.75,7.3,-5.94
131,2012,1,3,17,30,7.65,-5.64,8.13,-5.82
132,2012,1,3,18,0,8.290000000000001,-5.61,8.82,-5.78
133,2012,1,3,18,30,8.4,-5.53,8.84,-5.72
134,2012,1,3,19,0,8.82,-5.43,9.29,-5.61
135,2012,1,3,19,30,8.92,-5.28,9.41,-5.46
136,2012,1,3,20,0,9.23,-5.13,9.73,-5.3100000000000005
137,2012,1,3,20,30,8.97,-4.96,9.48,-5.14
138,2012,1,3,21,0,9.19,-4.76,9.74,-4.93
139,2012,1,3,21,30,8.700000000000001,-4.62,9.27,-4.79
140,2012,1,3,22,0,8.84,-4.51,9.46,-4.67
141,2012,1,3,22,30,9.2,-4.42,9.82,-4.58
142,2012,1,3,23,0,9.35,-4.32,9.99,-4.47
143,2012,1,3,23,30,9.24,-4.21,9.89,-4.36
144,2012,1,4,0,0,8.75,-4.0600000000000005,9.4,-4.21
145,2012,1,4,0,30,8.45,-3.89,9.08,-4.03
146,2012,1,4,1,0,7.96,-3.72,8.6,-3.85
147,2012,1,4,1,30,7.640000000000001,-3.5700000000000003,8.28,-3.7
148,2012,1,4,2,0,7.26,-3.45,7.930000000000001,-3.58
149,2012,1,4,2,30,7.29,-3.36,8.05,-3.47
150,2012,1,4,3,0,6.96,-3.29,7.640000000000001,-3.4
151,2012,1,4,3,30,7.3,-3.15,7.95,-3.27
152,2012,1,4,4,0,7.51,-2.98,8.2,-3.09
153,2012,1,4,4,30,7.72,-2.82,8.48,-2.92
154,2012,1,4,5,0,8.23,-2.71,8.98,-2.8000000000000003
155,2012,1,4,5,30,8.59,-2.75,9.38,-2.85
156,2012,1,4,6,0,8.46,-2.93,9.37,-2.96
157,2012,1,4,6,30,8.38,-3.0,9.28,-3.03
158,2012,1,4,7,0,8.07,-3.2,9.03,-3.2
159,2012,1,4,7,30,8.34,-3.27,9.29,-3.28
160,2012,1,4,8,0,7.87,-3.51,9.07,-3.46
161,2012,1,4,8,30,6.3100000000000005,-3.5,6.86,-3.59
162,2012,1,4,9,0,4.8,-3.18,5.58,-3.33
163,2012,1,4,9,30,4.54,-2.86,4.71,-3.04
164,2012,1,4,10,0,4.33,-2.36,4.38,-2.5500000000000003
165,2012,1,4,10,30,4.22,-1.85,4.26,-2.04
166,2012,1,4,11,0,4.0600000000000005,-1.29,4.1,-1.48
167,2012,1,4,11,30,4.19,-0.68,4.22,-0.88
168,2012,1,4,12,0,4.42,-0.03,4.47,-0.23
169,2012,1,4,12,30,5.05,0.54,5.11,0.33
170,2012,1,4,13,0,5.54,0.85,5.62,0.64
171,2012,1,4,13,30,6.140000000000001,1.14,6.22,0.93
172,2012,1,4,14,0,6.49,1.54,6.61,1.33
173,2012,1,4,14,30,7.15,1.59,7.28,1.38
174,2012,1,4,15,0,6.95,1.52,7.22,1.32
175,2012,1,4,15,30,6.94,1.47,7.37,1.31
176,2012,1,4,16,0,7.99,1.51,8.56,1.38
177,2012,1,4,16,30,8.870000000000001,1.25,9.67,1.13
178,2012,1,4,17,0,9.05,0.87,9.88,0.85
179,2012,1,4,17,30,9.45,0.72,10.2,0.72
180,2012,1,4,18,0,9.36,0.59,9.83,0.55
181,2012,1,4,18,30,9.31,0.09,10.19,0.14
182,2012,1,4,19,0,9.42,-0.11,10.19,-0.06
183,2012,1,4,19,30,9.27,-0.45,10.17,-0.37
184,2012,1,4,20,0,9.17,-0.6900000000000001,10.18,-0.56
185,2012,1,4,20,30,9.23,-0.75,10.29,-0.61
186,2012,1,4,21,0,9.17,-0.8200000000000001,10.25,-0.67
187,2012,1,4,21,30,8.41,-0.87,9.4,-0.72
188,2012,1,4,22,0,7.28,-0.98,8.14,-0.8300000000000001
189,2012,1,4,22,30,6.5600000000000005,-1.15,7.140000000000001,-1.05
190,2012,1,4,23,0,6.18,-1.19,6.57,-1.09
191,2012,1,4,23,30,6.07,-1.19,6.32,-0.97
192,2012,1,5,0,0,6.0,-1.24,6.05,-1.07
193,2012,1,5,0,30,5.67,-1.15,5.73,-0.92
194,2012,1,5,1,0,5.19,-1.11,5.2700000000000005,-0.78
195,2012,1,5,1,30,5.04,-1.13,5.25,-0.8300000000000001
196,2012,1,5,2,0,5.16,-1.43,5.33,-1.01
197,2012,1,5,2,30,5.42,-1.25,5.33,-0.77
198,2012,1,5,3,0,6.08,-1.19,5.82,-0.66
199,2012,1,5,3,30,6.51,-1.05,6.23,-0.59
200,2012,1,5,4,0,6.68,-0.99,6.54,-0.49
201,2012,1,5,4,30,6.33,-0.62,6.3,0.07
202,2012,1,5,5,0,6.71,-0.34,6.63,0.38
203,2012,1,5,5,30,7.72,-0.73,7.79,0.17
204,2012,1,5,6,0,7.92,-0.78,8.4,0.27
205,2012,1,5,6,30,8.4,-0.9,9.18,0.19
206,2012,1,5,7,0,8.68,-1.12,9.54,-0.4
207,2012,1,5,7,30,8.78,-1.37,9.62,-0.98
208,2012,1,5,8,0,8.26,-1.62,9.18,-1.3
209,2012,1,5,8,30,7.08,-1.45,7.71,-1.38
210,2012,1,5,9,0,6.33,-0.95,7.0600000000000005,-0.91
211,2012,1,5,9,30,5.37,-0.42,5.91,-0.56
212,2012,1,5,10,0,5.21,0.11,5.37,-0.07
213,2012,1,5,10,30,5.42,0.8300000000000001,5.53,0.65
214,2012,1,5,11,0,5.51,1.44,5.58,1.25
215,2012,1,5,11,30,5.58,2.13,5.64,1.94
216,2012,1,5,12,0,5.72,2.79,5.79,2.59
217,2012,1,5,12,30,5.79,3.4,5.86,3.21
218,2012,1,5,13,0,5.66,4.01,5.74,3.81
219,2012,1,5,13,30,5.71,4.48,5.8,4.28
220,2012,1,5,14,0,5.98,4.84,6.13,4.64
221,2012,1,5,14,30,6.62,5.16,7.05,4.99
222,2012,1,5,15,0,7.37,5.25,7.98,5.16
223,2012,1,5,15,30,8.75,5.51,9.4,5.5
224,2012,1,5,16,0,9.8,5.8100000000000005,10.41,5.83
225,2012,1,5,16,30,10.66,5.73,11.31,5.86
226,2012,1,5,17,0,11.42,5.6000000000000005,12.3,5.8
227,2012,1,5,17,30,12.0,5.08,13.3,5.41
228,2012,1,5,18,0,11.97,4.34,13.56,4.8
229,2012,1,5,18,30,12.01,4.0,13.65,4.5200000000000005
230,2012,1,5,19,0,12.48,4.26,14.11,4.8
231,2012,1,5,19,30,12.25,4.1,13.87,4.57
232,2012,1,5,20,0,11.53,3.77,13.35,4.39
233,2012,1,5,20,30,11.56,3.84,13.47,4.5
234,2012,1,5,21,0,11.87,3.85,13.7,4.44
235,2012,1,5,21,30,12.15,4.0600000000000005,14.1,4.71
236,2012,1,5,22,0,12.03,4.24,13.9,4.7700000000000005
237,2012,1,5,22,30,12.16,4.24,13.96,4.83
238,2012,1,5,23,0,12.44,4.2700000000000005,13.96,4.78
239,2012,1,5,23,30,12.37,4.42,13.81,4.8500000000000005
240,2012,1,6,0,0,12.08,4.28,13.43,4.76
241,2012,1,6,0,30,11.9,4.3100000000000005,13.23,4.79
242,2012,1,6,1,0,11.36,4.08,12.78,4.59
243,2012,1,6,1,30,10.99,3.81,12.36,4.26
244,2012,1,6,2,0,10.89,3.85,12.13,4.25
245,2012,1,6,2,30,10.45,3.73,11.81,4.23
246,2012,1,6,3,0,10.21,3.78,11.45,4.28
247,2012,1,6,3,30,9.45,3.53,10.7,4.0600000000000005
248,2012,1,6,4,0,9.19,3.52,10.27,4.0200000000000005
249,2012,1,6,4,30,8.93,3.33,9.85,3.79
250,2012,1,6,5,0,9.0,3.35,9.9,3.75
251,2012,1,6,5,30,9.33,3.18,10.29,3.52
252,2012,1,6,6,0,9.6,3.17,10.5,3.49
253,2012,1,6,6,30,9.06,3.0,9.94,3.42
254,2012,1,6,7,0,8.69,2.5500000000000003,9.67,3.0700000000000003
255,2012,1,6,7,30,8.69,2.42,9.84,2.94
256,2012,1,6,8,0,8.9,2.45,9.96,2.9
257,2012,1,6,8,30,7.94,2.18,8.94,2.36
258,2012,1,6,9,0,7.13,2.66,7.78,2.67
259,2012,1,6,9,30,5.71,2.9,6.74,2.86
260,2012,1,6,10,0,5.0200000000000005,3.43,5.45,3.29
261,2012,1,6,10,30,4.61,4.11,4.83,3.95
262,2012,1,6,11,0,4.08,4.93,4.17,4.75
263,2012,1,6,11,30,4.17,5.67,4.23,5.47
264,2012,1,6,12,0,3.94,6.24,3.99,6.04
265,2012,1,6,12,30,3.74,6.73,3.78,6.53
266,2012,1,6,13,0,3.64,7.17,3.68,6.97
267,2012,1,6,13,30,3.75,7.53,3.8,7.33
268,2012,1,6,14,0,4.1,7.86,4.15,7.66
269,2012,1,6,14,30,4.21,8.14,4.28,7.94
270,2012,1,6,15,0,4.17,8.32,4.29,8.120000000000001
271,2012,1,6,15,30,4.79,8.38,5.0,8.19
272,2012,1,6,16,0,5.46,8.38,5.73,8.22
273,2012,1,6,16,30,5.78,8.02,6.0,7.91
274,2012,1,6,17,0,7.69,8.06,7.8,7.930000000000001
275,2012,1,6,17,30,6.78,7.72,6.92,7.63
276,2012,1,6,18,0,7.21,7.66,7.38,7.56
277,2012,1,6,18,30,8.57,7.36,8.65,7.390000000000001
278,2012,1,6,19,0,9.13,7.05,9.3,7.21
279,2012,1,6,19,30,8.9,6.390000000000001,9.38,6.65
280,2012,1,6,20,0,8.69,6.2,9.43,6.24
281,2012,1,6,20,30,8.28,5.23,9.64,5.6000000000000005
282,2012,1,6,21,0,6.75,6.0,7.49,5.8
283,2012,1,6,21,30,7.24,5.29,7.51,5.17
284,2012,1,6,22,0,7.9,4.94,8.98,4.94
285,2012,1,6,22,30,8.89,4.71,10.02,4.73
286,2012,1,6,23,0,9.15,4.5200000000000005,10.25,4.57
287,2012,1,6,23,30,9.19,4.43,10.28,4.41
288,2012,1,7,0,0,9.05,4.12,10.05,4.04
289,2012,1,7,0,30,9.35,3.5500000000000003,10.46,3.49
290,2012,1,7,1,0,9.97,3.14,11.01,3.1
291,2012,1,7,1,30,9.72,2.76,10.76,2.71
292,2012,1,7,2,0,9.75,2.35,10.7,2.27
293,2012,1,7,2,30,9.2,1.85,10.17,1.77
294,2012,1,7,3,0,9.16,1.26,10.3,1.26
295,2012,1,7,3,30,9.07,1.01,10.15,1.07
296,2012,1,7,4,0,8.6,0.75,9.66,0.77
297,2012,1,7,4,30,8.27,0.27,9.32,0.35
298,2012,1,7,5,0,8.57,0.13,9.66,0.22
299,2012,1,7,5,30,8.66,0.01,9.75,0.09
300,2012,1,7,6,0,8.42,-0.16,9.48,-0.1
301,2012,1,7,6,30,7.88,-0.25,8.74,-0.23
302,2012,1,7,7,0,7.96,-0.48,8.8,-0.46
303,2012,1,7,7,30,7.76,-0.6900000000000001,8.53,-0.68
304,2012,1,7,8,0,7.08,-0.9,7.94,-0.86
305,2012,1,7,8,30,7.07,-0.53,7.66,-0.62
306,2012,1,7,9,0,5.67,-0.29,5.98,-0.47
307,2012,1,7,9,30,5.65,0.09,5.8100000000000005,-0.1
308,2012,1,7,10,0,5.79,0.44,5.89,0.24
309,2012,1,7,10,30,5.8500000000000005,0.77,5.95,0.56
310,2012,1,7,11,0,5.47,1.15,5.5600000000000005,0.94
311,2012,1,7,11,30,5.26,1.49,5.3500000000000005,1.27
312,2012,1,7,12,0,5.26,1.82,5.3500000000000005,1.61
313,2012,1,7,12,30,5.39,2.14,5.49,1.93
314,2012,1,7,13,0,5.44,2.39,5.54,2.18
315,2012,1,7,13,30,5.44,2.56,5.55,2.35
316,2012,1,7,14,0,5.57,2.67,5.68,2.46
317,2012,1,7,14,30,5.67,2.73,5.78,2.52
318,2012,1,7,15,0,5.73,2.73,5.8500000000000005,2.52
319,2012,1,7,15,30,5.21,2.64,5.49,2.44
320,2012,1,7,16,0,5.7,2.5500000000000003,6.03,2.37
321,2012,1,7,16,30,6.45,2.35,6.7,2.17
322,2012,1,7,17,0,6.82,2.19,7.03,2.02
323,2012,1,7,17,30,6.49,2.0,6.640000000000001,1.86
324,2012,1,7,18,0,5.91,1.7,6.18,1.59
325,2012,1,7,18,30,5.99,1.38,6.6000000000000005,1.34
326,2012,1,7,19,0,6.07,1.22,6.5200000000000005,1.2
327,2012,1,7,19,30,6.19,1.13,6.49,1.11
328,2012,1,7,20,0,6.51,0.93,6.91,0.9
329,2012,1,7,20,30,6.4,0.76,6.98,0.81
330,2012,1,7,21,0,6.16,0.46,6.98,0.55
331,2012,1,7,21,30,5.89,0.07,6.79,0.2
332,2012,1,7,22,0,6.53,0.06,7.1000000000000005,0.23
333,2012,1,7,22,30,6.8500000000000005,0.01,7.390000000000001,0.11
334,2012,1,7,23,0,6.61,-0.19,7.26,-0.07
335,2012,1,7,23,30,6.1000000000000005,-0.5,6.890000000000001,-0.39
336,2012,1,8,0,0,6.0200000000000005,-0.58,6.71,-0.54
337,2012,1,8,0,30,5.67,-0.6900000000000001,6.4,-0.65
338,2012,1,8,1,0,5.73,-0.75,6.29,-0.68
339,2012,1,8,1,30,5.48,-0.81,5.94,-0.68
340,2012,1,8,2,0,5.29,-0.9,5.78,-0.8
341,2012,1,8,2,30,5.33,-0.81,5.75,-0.61
