,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,10.6,2.96,12.0,3.12
1,2012,1,1,0,30,10.0,2.94,11.47,3.12
2,2012,1,1,1,0,9.97,2.98,11.4,3.16
3,2012,1,1,1,30,9.28,2.98,10.7,3.16
4,2012,1,1,2,0,9.36,2.93,10.79,3.13
5,2012,1,1,2,30,8.1,2.76,9.49,2.92
6,2012,1,1,3,0,7.38,2.33,8.86,2.52
7,2012,1,1,3,30,8.98,2.42,10.46,2.5500000000000003
8,2012,1,1,4,0,8.07,1.11,9.83,1.29
9,2012,1,1,4,30,10.82,1.37,11.66,1.29
10,2012,1,1,5,0,11.52,1.44,12.29,1.28
11,2012,1,1,5,30,12.85,1.18,13.56,1.01
12,2012,1,1,6,0,13.27,0.65,13.96,0.5
13,2012,1,1,6,30,13.65,0.97,14.39,0.8
14,2012,1,1,7,0,13.74,0.85,14.51,0.68
15,2012,1,1,7,30,14.12,0.47,14.92,0.29
16,2012,1,1,8,0,14.77,-0.16,15.59,-0.33
17,2012,1,1,8,30,14.69,-0.8300000000000001,15.4,-1.01
18,2012,1,1,9,0,15.29,-1.23,15.88,-1.44
19,2012,1,1,9,30,15.86,-1.56,16.32,-1.78
20,2012,1,1,10,0,15.83,-1.73,16.26,-1.95
21,2012,1,1,10,30,15.1,-1.74,15.51,-1.96
22,2012,1,1,11,0,14.72,-1.6,15.14,-1.83
23,2012,1,1,11,30,15.13,-1.53,15.56,-1.76
24,2012,1,1,12,0,15.13,-1.45,15.55,-1.68
25,2012,1,1,12,30,15.16,-1.42,15.6,-1.65
26,2012,1,1,13,0,14.98,-1.42,15.41,-1.65
27,2012,1,1,13,30,15.15,-1.48,15.59,-1.7
28,2012,1,1,14,0,15.16,-1.63,15.62,-1.85
29,2012,1,1,14,30,15.2,-1.67,15.66,-1.89
30,2012,1,1,15,0,14.33,-1.95,14.77,-2.17
31,2012,1,1,15,30,14.25,-2.17,14.76,-2.38
32,2012,1,1,16,0,14.62,-2.51,15.22,-2.71
33,2012,1,1,16,30,13.28,-2.72,13.95,-2.92
34,2012,1,1,17,0,14.29,-2.96,15.01,-3.15
35,2012,1,1,17,30,14.06,-3.17,14.78,-3.36
36,2012,1,1,18,0,13.66,-3.33,14.33,-3.53
37,2012,1,1,18,30,13.8,-3.51,14.42,-3.71
38,2012,1,1,19,0,13.08,-3.76,13.63,-3.96
39,2012,1,1,19,30,13.26,-3.91,13.85,-4.11
40,2012,1,1,20,0,13.24,-4.12,13.8,-4.32
41,2012,1,1,20,30,13.36,-4.3500000000000005,13.91,-4.5600000000000005
42,2012,1,1,21,0,13.17,-4.59,13.85,-4.79
43,2012,1,1,21,30,12.58,-4.8100000000000005,13.25,-5.0200000000000005
44,2012,1,1,22,0,12.39,-5.01,13.02,-5.22
45,2012,1,1,22,30,12.52,-5.2,13.15,-5.41
46,2012,1,1,23,0,12.74,-5.42,13.25,-5.63
47,2012,1,1,23,30,12.47,-5.62,12.91,-5.83
48,2012,1,2,0,0,12.84,-5.79,13.27,-6.0
49,2012,1,2,0,30,11.88,-5.96,12.23,-6.17
50,2012,1,2,1,0,11.69,-6.16,12.01,-6.37
51,2012,1,2,1,30,12.78,-6.3,13.14,-6.5200000000000005
52,2012,1,2,2,0,14.32,-6.68,14.74,-6.9
53,2012,1,2,2,30,12.93,-6.83,13.32,-7.04
54,2012,1,2,3,0,12.5,-7.07,12.85,-7.28
55,2012,1,2,3,30,12.86,-7.37,13.22,-7.59
56,2012,1,2,4,0,12.54,-7.6,12.92,-7.82
57,2012,1,2,4,30,12.79,-7.83,13.17,-8.05
58,2012,1,2,5,0,13.17,-8.040000000000001,13.54,-8.25
59,2012,1,2,5,30,13.47,-8.25,13.85,-8.46
60,2012,1,2,6,0,13.25,-8.45,13.62,-8.66
61,2012,1,2,6,30,13.35,-8.67,13.73,-8.88
62,2012,1,2,7,0,13.72,-8.91,14.11,-9.13
63,2012,1,2,7,30,13.25,-9.11,13.63,-9.33
64,2012,1,2,8,0,13.69,-9.27,14.06,-9.49
65,2012,1,2,8,30,13.95,-9.4,14.35,-9.62
66,2012,1,2,9,0,13.95,-9.44,14.32,-9.66
67,2012,1,2,9,30,13.6,-9.47,13.94,-9.69
68,2012,1,2,10,0,13.13,-9.47,13.46,-9.69
69,2012,1,2,10,30,12.27,-9.34,12.59,-9.57
70,2012,1,2,11,0,12.05,-9.21,12.36,-9.44
71,2012,1,2,11,30,12.15,-9.07,12.45,-9.3
72,2012,1,2,12,0,12.03,-8.93,12.32,-9.16
73,2012,1,2,12,30,11.68,-8.790000000000001,11.96,-9.02
74,2012,1,2,13,0,11.45,-8.71,11.73,-8.94
75,2012,1,2,13,30,11.47,-8.6,11.76,-8.82
